record_group,sample_type,concentration_molar,concentration_label,instrument,band,center_cm-1,window_cm-1,method,peak_value_mean_of_replicate_means,peak_value_sd_across_replicates,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_1078.5_height,1078.5,7,height,2919.1793102930897,725.10719547552026,3,24.839419521739433
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1759.2429533367595,831.69209276833431,3,47.275567663401027
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_392.32_height,392.31999999999999,10,height,2534.3094253345521,1941.2199198418475,3,76.597589088222279
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_1078.5_height,1078.5,7,height,8321.9803664846459,5073.0094970216251,3,60.959162045759015
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,8915.8508905269373,7583.5293146032391,3,85.056708638551967
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,3955.35768796296,3930.4702373085097,3,99.370791401996627
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_1078.5_height,1078.5,7,height,3657.6575439908502,871.31341625728987,3,23.82162369707812
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,3347.3687516818259,2444.0129182641949,3,73.01295732763964
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_392.32_height,392.31999999999999,10,height,3702.0477924803458,3152.904242322717,3,85.166492143265742
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_1078.5_height,1078.5,7,height,3795.9392056458146,2449.9705001412276,3,64.541879292937907
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,4450.0518668760151,5669.0121213444154,3,127.39204600156997
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_392.32_height,392.31999999999999,10,height,1920.9201143733517,1097.3408992244813,3,57.125795654571462
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_1078.5_height,1078.5,7,height,363.137690863057,,1,
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,314.61922532744592,,1,
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_392.32_height,392.31999999999999,10,height,225.89938031411089,,1,
