record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2918.2464490762363,264.05867814851104,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1340.0690936667588,100.75862219453876,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,3190.0733429410675,349.81472945759259,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_1078.5_height,1078.5,7,height,2467.0631327775145,287.22266514470851,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1288.1392176901954,96.287300280255636,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,2879.2358673945769,254.34545337887005,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_1078.5_height,1078.5,7,height,2734.2141910993923,148.5240036423863,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1748.324787338667,142.72213257762795,1584.8607491944731,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,3674.1324694296768,252.18868252504137,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2471.8870931226093,156.28080795163007,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1295.7068505378209,56.466316894078702,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,2658.1190077996544,216.18978770921328,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,2027.1237665973531,179.14967037775727,1081.9417454474369,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,992.05728459918953,168.11951796701894,1593.0081851903751,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,2020.3257799871517,127.02233670188252,398.29779779130399,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,1922.276515527489,204.70046059160347,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1088.6349634079702,111.74134952800475,1584.1200731948456,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,2226.9940561658932,121.59558394396136,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_1078.5_height,1078.5,7,height,1946.5125445354959,73.457550295901925,1078.2383654492996,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,979.02450111642634,60.582473018232562,1586.342101193728,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,1954.5666696502067,89.531315808355671,393.1130657939118,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1900.2633762364378,270.3417529574163,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1020.6653923143025,44.070477534056927,1588.5641291926104,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,2134.8626192573124,225.48684679365653,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_1078.5_height,1078.5,7,height,4021.4655190432741,311.84525663519685,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,2840.2327154488189,396.90197253982916,1583.3793971952182,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,4505.5610760256814,1454.1901321580365,397.55712179167654,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2131.8328524318135,215.09893381798813,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1101.8360374137039,100.11117384504462,1584.8607491944731,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,2505.884006365412,299.98719384927688,393.1130657939118,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_1078.5_height,1078.5,7,height,3344.9494813773395,287.02591401433534,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1692.7959957018279,140.66556206652371,1586.342101193728,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,5014.9902597913187,502.87074207908546,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_1078.5_height,1078.5,7,height,2319.0846141545749,476.582313060719,1076.7570134500447,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1326.8574419952142,83.523858503139664,1584.1200731948456,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-10,100 pM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,1984.3359179396223,281.85396509108415,400.5198257901863,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2247.7650809638567,155.54195638807536,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1138.3128695874707,130.73167817676276,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,2523.9567521728741,108.8726376209481,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1493.8574454338857,316.77106918050822,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,820.74471512933337,95.948162008997656,1586.342101193728,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,1830.8710023076328,213.3321358046509,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,4054.8685532376867,613.69868143286351,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,2514.835789006223,153.05968222585699,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-13,100 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,4765.0911759035316,835.18544219156843,395.33509379279417,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,3854.5041462193672,563.69998957969403,1076.7570134500447,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,16333.624751043239,2152.8690004640325,1582.6387211955907,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,403.0859894054289,36.808448268510155,397.55712179167654,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,2792.2924868619366,837.78294161885833,1076.0163374504173,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,2483.7038480634842,367.08168168595586,1583.3793971952182,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,367.97961539568433,117.59634983342382,397.55712179167654,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,3240.8079676483344,119.36834029113651,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,2113.1016830347503,230.95026095187015,1584.8607491944731,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,4192.6375305043493,241.34988359540861,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2124.4905533763649,50.677434986420586,1078.2383654492996,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,940.93376466626285,48.977643824663929,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,2202.0412045229959,108.27553542659682,393.85374179353926,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_1078.5_height,1078.5,7,height,3544.849726804468,82.911879032667045,1078.9790414489271,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1733.0938709399518,26.372465755189111,1585.6014251941006,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,4620.2177800903864,250.89077503873557,393.85374179353926,5
