record_group,sample_type,concentration_molar,concentration_label,instrument,raman_shift_cm-1,intensity_mean,intensity_sd,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,342.00642181961803,463.24524637299101,317.10368616800804,3,68.452658424623266
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,345.70980181775525,592.64224810296639,218.22632940418364,3,36.822607585389143
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,349.41318181589247,643.81495449556212,138.80557028816594,3,21.559854942624316
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,353.11656181402975,676.7201727281581,154.92860076656035,3,22.894042029510469
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,356.81994181216697,736.13145925385777,184.43777056318476,3,25.055004543635551
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,360.5233218103042,774.0157057917578,259.71638495548035,3,33.554407618875217
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,364.22670180844142,788.70868553511036,420.11373554437046,3,53.266021187447485
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,367.93008180657864,919.32804668433891,661.46187685127234,3,71.950581648945644
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,371.63346180471586,1267.1334987554628,1130.9274407870751,3,89.25085177669402
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,375.33684180285309,1801.0846876487212,2094.0851664129182,3,116.26800120913265
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,379.04022180099037,2702.5364408991359,3677.9449221995542,3,136.09233409544328
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,382.74360179912759,3981.2717096119363,5710.9406132152308,3,143.4451358702139
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,386.44698179726481,5171.1257742727348,7660.2221058644564,3,148.13451538880403
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,390.15036179540203,5812.4326084571412,8813.5094187191826,3,151.63202762807862
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,393.85374179353926,5808.2489579064668,8771.240932916262,3,151.01351537241578
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,397.55712179167654,5265.4598426699013,7742.5367698599057,3,147.04388602713149
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,401.26050178981376,4358.0629344941517,6297.8231831441944,3,144.50968877243153
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,404.96388178795098,3507.1867965753627,4885.6865927782301,3,139.30500073588669
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,408.6672617860882,2853.5706958690148,3643.3451700564883,3,127.67670958111513
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,412.37064178422543,2300.572520690092,2583.0334770397212,3,112.27785491695349
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,416.07402178236265,1891.0610784078092,1751.666307766144,3,92.628753654058087
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,419.77740178049987,1523.8061426857319,1185.5715984314745,3,77.803308781908854
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,423.48078177863715,1231.6833264022428,864.71501062369839,3,70.205952462597509
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,427.18416177677437,1094.9036267945348,760.28237261778713,3,69.438291554810846
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,430.8875417749116,1009.8163472953893,818.75069101342342,3,81.079167831487311
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,434.59092177304882,965.8922795425101,921.73932187419769,3,95.428790704360395
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,438.29430177118604,895.76848789264216,932.90709171842809,3,104.14600472418461
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,441.99768176932332,776.61252985541239,750.16536229500912,3,96.594547918853806
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,445.70106176746049,675.86776167592018,422.20064598622474,3,62.46793676610821
