peak_cm,model,method,sigma_blank_pre,lod_pre_M,loq_pre_M,sigma_blank_post,lod_post_M,loq_post_M
392.32,linear_log10,height,55.70777062303637,8.26725186140584e-14,1.6577674560277773e-13,112.63532432153056,1.1212303973683223e-13,4.577579813832581e-13
1078.5,linear_log10,height,124.24989673484106,5.945340121583525e-13,1.5239718873286194e-12,162.58361661127302,6.733326001780866e-13,2.3075621798024725e-12
1589.62,linear_log10,height,64.42929538020145,4.665864995118493e-13,1.2774190084987045e-12,139.9977845043613,7.741041938996027e-13,6.905962469626591e-12
392.32,exp_on_log10,height,55.70777062303637,2.227270358003609e-19,2.2005055817249484e-15,112.63532432153056,4.8277487899924667e-17,4.769734451576247e-13
1078.5,exp_on_log10,height,124.24989673484106,1.6190536970999557e-14,1.321846759670445e-11,162.58361661127302,7.237940830713867e-14,5.909284325098494e-11
1589.62,exp_on_log10,height,64.42929538020145,2.706555609753468e-13,1.0055988011449226e-10,139.9977845043613,1.2274265809212177e-11,4.560403982906586e-09
