type,concentration_M,concentration_label,replicate,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count
blank,0.0,Blank,1,211.8025024819362,98.107054003876,5,403.5886778964491,180.50439984019337,5,252.920951261172,166.06944255155526,5
blank,0.0,Blank,2,191.52206641565485,127.88160187557199,5,351.46029596619167,145.55685402102625,5,268.83305334831385,127.3217923653383,5
blank,0.0,Blank,3,208.861495352362,134.6274796177021,5,434.2879748831121,185.37784159708448,5,233.7093648307288,155.03101720460424,5
sample,1e-15,1fM,1,1523.824268769298,89.85443306732516,5,1013.654887596135,82.31261490906905,5,708.7404276724154,97.06080447840863,5
sample,1e-15,1fM,2,870.8643782170154,157.946828320139,5,509.8623381566143,130.38795480186045,5,498.4527309031799,88.67179388553484,5
sample,1e-15,1fM,3,905.7174025673837,86.35180533742621,5,640.6377959212352,69.76540338657084,5,495.4879359000244,68.95787295410376,5
sample,1e-14,10fM,1,1616.413291996489,55.15000834812936,5,1088.24767285137,61.72553307011849,5,858.6842801144605,60.81788321141922,5
sample,1e-14,10fM,2,775.3221304403444,196.6373862184567,5,406.414952899517,117.21936103088592,5,450.11338272281773,134.5371937156207,5
sample,1e-14,10fM,3,1330.6387183273057,64.23083506683241,5,932.2627424560476,103.63661136353292,5,743.1141280563918,47.123115811387976,5
sample,1e-13,100fM,1,720.4804989823795,186.976059898645,5,424.7814126386853,201.53660384433786,5,513.5496715264078,67.27223316735417,5
sample,1e-13,100fM,2,798.0954703563646,110.32711672705416,5,519.1016500872756,168.11042500975137,5,452.12815115675585,88.09052562791649,5
sample,1e-13,100fM,3,1815.6891630227915,104.22135601517435,5,1110.4386484045374,97.99368937683944,5,826.2581069298898,117.06709718772812,5
sample,1e-12,1pM,1,2610.8877665928635,111.86669129240876,5,1809.0888249577445,40.28508679487614,5,1191.148439169799,53.885727771118496,5
sample,1e-12,1pM,2,1317.438918690934,36.294258192473244,5,796.1196301603629,69.61938030036815,5,667.4791044255797,66.63248279000852,5
sample,1e-12,1pM,3,2145.58298584451,96.72036492965097,5,1311.1643580076816,82.107062219467,5,961.6803991065866,71.93259510051156,5
sample,1e-11,10pM,1,817.5835374352624,66.71634891510925,5,553.2126623712323,29.52061409272533,5,486.5992448731411,52.75930775373039,5
sample,1e-11,10pM,2,3500.4183715062222,94.91144667557519,5,2322.603668830451,159.2110799984217,5,1376.9141655427673,131.27195393835615,5
sample,1e-11,10pM,3,1815.0385369945943,247.13384423759598,5,1114.0433465105648,189.76130075065294,5,767.492408442539,141.51553368665975,5
sample,1e-10,100pM,1,2954.5184495939475,74.88232338330864,5,1887.0329855282555,89.64324235161041,5,1098.614801016474,122.35078527629678,5
sample,1e-10,100pM,2,828.7777878889056,58.70424019016712,5,491.8964008489776,55.64227400731797,5,453.7033804441553,60.3463789759095,5
sample,1e-10,100pM,3,2027.0866194237035,117.61693614786122,5,1401.3230250815022,130.36042885920847,5,845.8214935630567,76.39585661804006,5
sample,1e-09,1nM,1,2091.877049122004,252.76136922250848,5,1207.152454357593,115.98106122529526,5,852.9749100413935,134.83897192533544,5
sample,1e-09,1nM,2,1551.3886610598922,167.14769077254917,5,967.0494323208907,152.83409965906628,5,710.3451763282909,130.03673590145604,5
sample,1e-09,1nM,3,1477.9441277560977,96.88446276695109,5,848.768148200384,85.98409741797849,5,680.7149147964509,90.40782094766138,5
sample,1e-08,10nM,1,1296.8793214601778,128.2045787560748,5,1094.8235486549397,147.41895258052074,5,802.027245787438,108.0854100722329,5
sample,1e-08,10nM,2,3000.837667861094,381.2559805198924,5,2314.8633464187187,482.15076353825276,5,1459.8851842753259,94.81278020298937,5
sample,1e-08,10nM,3,1767.458648133835,55.548979200489164,5,1056.556070913584,92.0609690849157,5,791.1608190989624,86.5492040961372,5
sample,1e-07,100nM,1,1335.4888063464743,109.45737248717906,5,765.1672051859571,161.4729713326348,5,571.079685644588,102.5057277287781,5
sample,1e-07,100nM,2,7565.127847817445,558.7332902207439,5,5434.62993571915,386.5797040298168,5,2360.7996122309423,121.34642358162868,5
sample,1e-07,100nM,3,2844.088288364769,127.38225846290197,5,1836.718095901208,77.75035140670579,5,1147.8827429642822,16.565131620462683,5
sample,1e-06,1µM,1,14097.772308904434,2652.41475735818,5,29114.38521397016,4111.230152186842,5,8577.201676831064,422.7918101607344,5
