file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc1.csv,sample,1e-15,1fM,2,1,1024.9288079837957,596.9738879301087,460.7814512039896
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc2.csv,sample,1e-15,1fM,2,2,877.8615841575884,475.23215227005323,489.5268491468019
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc3.csv,sample,1e-15,1fM,2,3,612.2726613195975,310.1912900793938,485.4618554458865
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc4.csv,sample,1e-15,1fM,2,4,872.8412874174132,518.2058425455614,409.9086288584373
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc5.csv,sample,1e-15,1fM,2,5,966.4175502066828,648.7085179579548,646.584869860784
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc1.csv,sample,1e-15,1fM,3,1,792.4712610533221,583.4101894348751,422.3945152193431
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc2.csv,sample,1e-15,1fM,3,2,852.8032817700135,568.3784208802816,551.0758644068459
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc3.csv,sample,1e-15,1fM,3,3,974.8869771448349,739.803818514081,573.9122366022294
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc4.csv,sample,1e-15,1fM,3,4,905.6642264169292,637.3747917187163,429.0968918872386
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc5.csv,sample,1e-15,1fM,3,5,1002.7612664518194,674.221759058222,500.9601713844654
