type,concentration_M,concentration_label,peak_392.32_height_mean,peak_392.32_height_std,peak_392.32_height_count,peak_1078.5_height_mean,peak_1078.5_height_std,peak_1078.5_height_count,peak_1589.62_height_mean,peak_1589.62_height_std,peak_1589.62_height_count,peak_392.32_height_cv_percent,peak_1078.5_height_cv_percent,peak_1589.62_height_cv_percent
blank,0.0,Blank,204.062021416651,10.959025244259092,3,396.4456495819176,41.8732998319665,3,251.82112314673824,17.587654482080847,3,5.3704384422827545,10.562179172889174,6.984185545003855
sample,1e-15,1fM,1100.1353498512324,367.33895564867777,3,721.3850072246615,261.4226794248217,3,567.5603648252066,122.27450720206998,3,33.39034198822461,36.23899537787408,21.543877053452675
sample,1e-14,10fM,1240.791380254713,427.6832865930282,3,808.975122735645,357.24479335810827,3,683.9705969645566,210.60867147712895,3,34.46858943404589,44.160170482133346,30.792065099260792
sample,1e-13,100fM,1111.4217107871784,611.1468760896821,3,684.7739037101661,371.6408655609375,3,597.3119765376845,200.63748093839146,3,54.98784756119526,54.27205440326423,33.59006496092469
sample,1e-12,1pM,2024.636557042769,655.1515164560242,3,1305.457604375263,506.50870938205964,3,940.1026475673219,262.5006524924862,3,32.35896902962938,38.799322757360116,27.922552199140384
sample,1e-11,10pM,2044.3468153120264,1356.0373894568015,3,1329.9532259040827,904.2394265068763,3,877.0019396194824,455.147687630824,3,66.33108332207473,67.99031792205983,51.89813922513165
sample,1e-10,100pM,1936.7942856355187,1065.7428720672895,3,1260.0841371529118,708.2110138052915,3,799.3798916745621,324.9543073812511,3,55.02612641783937,56.20347030202712,40.650798295729984
sample,1e-09,1nM,1707.0699459793314,335.2698984994695,3,1007.6566782929558,182.61034758201106,3,748.0116670553784,92.1002165210117,3,19.640079733647237,18.122278303297346,12.31267112230659
sample,1e-08,10nM,2021.7252124850356,879.9756393659761,3,1488.7476553290808,715.6929867349223,3,1017.6910830539088,382.9898656276777,3,43.52597642507213,48.073492117555794,37.63321424399177
sample,1e-07,100nM,3914.901647509563,3249.9356277235797,3,2678.8384122687717,2445.985592432809,3,1359.9206802799374,913.5066606494311,3,83.0144897711799,91.30769445556987,67.17352518393847
sample,1e-06,1µM,8675.076935399107,4704.736384491731,3,15160.121089138362,12105.896537461696,3,4867.711574296436,3262.1161780935972,3,54.23279147293561,79.85356097277548,67.01539580362449
sample,1e-05,10µM,14261.118378792473,9932.61117300016,3,17399.40466813903,17444.736070128394,3,6236.877514759229,4996.038286096714,3,69.64819244310334,100.26053421283072,80.1048004273591
sample,0.0001,100µM,12468.44594574466,10978.635621036252,3,17086.653399457366,17340.895648633777,3,11846.95488954096,15822.869903003815,3,88.05135514729594,101.4879581345314,133.56064955538048
sample,0.001,1mM,18160.946895078563,3625.1789815093803,3,33134.64626687007,11004.033927281178,3,16620.947977249492,8175.73259126378,3,19.96139850225413,33.21005402820203,49.18932784372228
