peak_cm,method,model,A,B,n_points,sigma_blank_pre,sigma_blank_post,lod_pre_M,loq_pre_M,lod_post_M,loq_post_M
392.32,height,exp_on_log10,46180.108364465574,0.30138880875668106,13,55.70777062303637,112.63532432153056,2.227270358003609e-19,2.2005055817249484e-15,4.8277487899924667e-17,4.769734451576247e-13
1078.5,height,exp_on_log10,111622.2088100311,0.4134635783292595,13,124.24989673484106,162.58361661127302,1.6190536970999557e-14,1.321846759670445e-11,7.237940830713867e-14,5.909284325098494e-11
1589.62,height,exp_on_log10,69683.75340847665,0.4684704878937953,13,64.42929538020145,139.9977845043613,2.706555609753468e-13,1.0055988011449226e-10,1.2274265809212177e-11,4.560403982906586e-09
