peak_cm,method,mean_blank_pre,sigma_blank_pre,mean_blank_post,sigma_blank_post,n_blanks
392.32,height,109.68699775579792,55.70777062303637,204.062021416651,112.63532432153056,15
1078.5,height,299.0165659744164,124.24989673484106,396.4456495819177,162.58361661127302,15
1589.62,height,153.66644982037045,64.42929538020145,251.82112314673822,139.9977845043613,15
