Raman_shift_cm-1,1mM,100uM,10uM,1uM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
342.28007175846005,95.81703738588558,1091.1701119332454,360.20083160569175,325.76061753181614,158.40508822118306,149.644675325523,141.87656291848162,186.58588923486116,200.15454397546017,147.72077687944437,213.1830109490775,177.04137253447644,210.5563914029819,88.88756875339169
346.20575845060836,455.0654104335637,1398.178446769273,718.3552582454892,868.4003163535759,248.97523374963777,254.77396568268935,151.29070491002386,222.61521379594984,181.35276341648566,166.80784320736748,212.1351684902391,235.27045123166226,206.09290995632443,57.390784272301254
350.13144514275666,741.5132476926758,1653.0629286297583,981.7127114581049,1283.6875710858965,327.5673028749308,351.45170022242996,175.02757629365954,261.3867634513115,238.53734616286093,209.25750992006817,240.4221277532917,281.92442551068166,218.29245021556247,111.89983667437644
354.05713183490496,1033.2743754011847,1913.3075219500604,1203.8239057058536,1552.9094892726184,366.7084819047707,398.02283242189674,188.1561049017587,277.07770258322563,257.80652945417216,219.91615538080023,235.37456842737456,309.044495557209,205.8651710694168,126.64022979232506
357.9828185270532,1306.591797932377,2101.3250002949303,1353.9132862381098,1649.1338551096333,363.7047852964934,391.5968377336784,180.24582850337688,271.0497813338036,216.7037541301338,190.79475851467902,212.19216109857172,296.2075114739628,181.5648134037175,110.23071591754903
361.9085052192015,1568.0631557271251,2159.2837965249746,1417.15543615964,1621.2978154490506,371.49125428589474,394.47266574567885,188.67171426108965,289.3472745443351,236.19426404285824,225.38243835200112,236.38359109964534,300.9648358165119,203.9861766981465,156.07474302886536
365.8341919113498,2021.1845416345855,2236.1042969727437,1532.4694992266363,1600.7418722082778,393.36841541674426,416.22108692341203,217.13648457773553,313.7480866356092,292.9268974950245,278.3316831406772,255.95851592339582,322.2920550603103,234.2811022575382,229.94497803848955
369.7598786034981,3016.6323499275904,2631.807923535637,1972.0208976188405,1771.6496055160103,480.1277498543183,451.7310562616301,268.63689711638386,345.68395334886264,334.1072795130237,305.830511820642,265.4590494270887,317.7199097380256,258.6541500739445,232.2382095813129
373.68556529564637,4882.057031951905,3590.589905977709,2988.44490700554,2272.0019891121897,711.3128414270867,543.5922972999635,353.31387144534506,442.96980171456056,438.5023707806419,382.8712622946057,308.6742637150568,337.8428933133185,312.40451031564254,243.24029373848535
377.6112519877947,7947.084462255526,5377.124591017638,4921.813045687163,3349.844221487523,1194.7510112178275,753.4507178048532,529.5032862765612,671.6719193187382,687.3175745172113,604.6249884125391,415.3117942361801,451.21892584173736,419.45801753918647,267.8911208822883
381.536938679943,12016.946497427847,7926.8133219827805,7857.7480997624725,5082.218590790852,1969.284218351874,1096.0172991181907,852.2272950663172,1030.0195035896948,1057.4699942528891,977.74445737265,583.3468707329787,638.1925924543036,585.1090429067226,214.2217033255394
