Ramanshift[cm-1],Intensity,,,,,,,,
771.3186056,18119,,,,,,,,
775.770399,17029,,,,,,,,
780.215458,17517.8,,,,,,,,
784.6537939,16759.6,,,,,,,,
789.0854181,16654.6,,,,,,,,
793.510342,16759.6,,,,,,,,
797.9285769,17360.2,,,,,,,,
802.3401342,16752.2,,,,,,,,
806.7450253,16893.8,,,,,,,,
811.1432614,16872.8,,,,,,,,
815.5348538,16666.6,,,,,,,,
819.9198139,16323,,,,,,,,
824.2981531,16643.6,,,,,,,,
828.6698824,16828.8,,,,,,,,
833.0350133,16587,,,,,,,,
837.393557,16232,,,,,,,,
841.7455248,16600.2,,,,,,,,
846.0909278,16389.4,,,,,,,,
850.4297774,16347.2,,,,,,,,
854.7620848,16329,,,,,,,,
859.0878611,16674.4,,,,,,,,
863.4071176,15919,,,,,,,,
867.7198655,16480.6,,,,,,,,
872.026116,16875.2,,,,,,,,
876.3258802,17273.4,,,,,,,,
880.6191693,16784.4,,,,,,,,
884.9059946,16841.8,,,,,,,,
889.186367,17257.6,,,,,,,,
893.4602979,16062.4,,,,,,,,
897.7277982,16073.6,,,,,,,,
901.9888793,16504,,,,,,,,
906.2435521,16820,,,,,,,,
910.4918277,16215.4,,,,,,,,
914.7337174,16061.8,,,,,,,,
918.9692321,16022.4,,,,,,,,
923.1983831,16539.4,,,,,,,,
927.4211813,16329.2,,,,,,,,
931.6376378,16906.6,,,,,,,,
935.8477637,16432.6,,,,,,,,
940.0515701,16524.2,,,,,,,,
944.249068,16718,,,,,,,,
948.4402684,15919,,,,,,,,
952.6251825,16762.8,,,,,,,,
956.8038212,16335.4,,,,,,,,
960.9761955,17059.2,,,,,,,,
965.1423166,16369.8,,,,,,,,
969.3021953,16413.4,,,,,,,,
973.4558427,16474.8,,,,,,,,
977.6032699,16362.6,,,,,,,,
981.7444877,16390.4,,,,,,,,
985.8795072,16251.4,,,,,,,,
990.0083394,16309,,,,,,,,
994.1309953,16036.6,,,,,,,,
998.2474857,16480.8,,,,,,,,
1002.357822,15607.6,,,,,,,,
1006.462014,16158.2,,,,,,,,
1010.560075,15997.4,,,,,,,,
1014.652013,16378.2,,,,,,,,
1018.737841,16630.8,,,,,,,,
1022.81757,16089.6,,,,,,,,
1026.891209,15992.6,,,,,,,,
1030.958771,15799.6,,,,,,,,
1035.020266,16290.4,,,,,,,,
1039.075705,15916.2,,,,,,,,
1043.1251,15619.4,,,,,,,,
1047.16846,15968.6,,,,,,,,
1051.205797,15872,,,,,,,,
1055.237121,15427.2,,,,,,,,
1059.262444,15518.8,,,,,,,,
1063.281777,15359.6,,,,,,,,
1067.295131,15477,,,,,,,,
1071.302515,16724.2,,,,,,,,
1075.303942,16600.6,,,,,,,,
1079.299422,17514.6,,,,,,,,
1083.288966,16917.6,,,,,,,,
1087.272585,16481.4,,,,,,,,
1091.250289,16043,,,,,,,,
1095.222091,16009.8,,,,,,,,
1099.187999,15590.8,,,,,,,,
1103.148026,15709.8,,,,,,,,
1107.102183,15526.2,,,,,,,,
1111.050479,15664,,,,,,,,
1114.992927,15689,,,,,,,,
1118.929536,15566.2,,,,,,,,
1122.860318,15840.2,,,,,,,,
1126.785283,15260.2,,,,,,,,
1130.704443,15178.4,,,,,,,,
1134.617808,15898.8,,,,,,,,
1138.52539,15777,,,,,,,,
1142.427198,15679.6,,,,,,,,
1146.323244,15792.2,,,,,,,,
1150.213538,15418,,,,,,,,
1154.098093,15898.2,,,,,,,,
1157.976917,15293.4,,,,,,,,
1161.850023,15108.8,,,,,,,,
1165.717421,15719.2,,,,,,,,
1169.579121,15277.2,,,,,,,,
1173.435135,15871.4,,,,,,,,
1177.285474,14860.8,,,,,,,,
1181.130148,15194.8,,,,,,,,
1184.969169,15556,,,,,,,,
1188.802547,15460.2,,,,,,,,
1192.630292,14962.4,,,,,,,,
1196.452416,14738.2,,,,,,,,
1200.26893,14797,,,,,,,,
1204.079844,14535.2,,,,,,,,
1207.88517,14172.4,,,,,,,,
1211.684917,14888.6,,,,,,,,
1215.479098,14519,,,,,,,,
1219.267722,16097.2,,,,,,,,
1223.050801,14481.6,,,,,,,,
1226.828346,14525.2,,,,,,,,
1230.600366,14864.2,,,,,,,,
1234.366874,14864.2,,,,,,,,
1238.12788,14678.4,,,,,,,,
1241.883395,14710.6,,,,,,,,
1245.633429,15064,,,,,,,,
1249.377994,15009,,,,,,,,
1253.1171,14160.6,,,,,,,,
1256.850759,14743.8,,,,,,,,
1260.578981,14524.2,,,,,,,,
1264.301776,14644.6,,,,,,,,
1268.019157,14489.6,,,,,,,,
1271.731133,14259,,,,,,,,
1275.437715,14158.4,,,,,,,,
1279.138915,14692.4,,,,,,,,
1282.834743,14908.2,,,,,,,,
1286.52521,14414.2,,,,,,,,
1290.210328,14182.2,,,,,,,,
1293.890106,14268.2,,,,,,,,
1297.564555,14904.6,,,,,,,,
1301.233688,14187.8,,,,,,,,
1304.897514,14527.2,,,,,,,,
1308.556044,14558,,,,,,,,
1312.209289,14695.6,,,,,,,,
1315.857261,14013,,,,,,,,
1319.499969,14236.2,,,,,,,,
1323.137425,15088.6,,,,,,,,
1326.769641,14463.8,,,,,,,,
1330.396626,15051,,,,,,,,
1334.018391,14464.8,,,,,,,,
1337.634948,14536.8,,,,,,,,
1341.246307,14261.8,,,,,,,,
1344.85248,14212.6,,,,,,,,
1348.453477,14041,,,,,,,,
1352.049309,14071.8,,,,,,,,
1355.639987,14093.2,,,,,,,,
1359.225522,14590.8,,,,,,,,
1362.805925,14252.2,,,,,,,,
1366.381207,14319.2,,,,,,,,
1369.951379,14324.6,,,,,,,,
1373.516452,14432.4,,,,,,,,
1377.076436,14656.8,,,,,,,,
1380.631343,14446.2,,,,,,,,
1384.181184,14199.2,,,,,,,,
1387.725969,14230.6,,,,,,,,
1391.26571,13943.2,,,,,,,,
1394.800417,13828,,,,,,,,
1398.330102,14109.8,,,,,,,,
1401.854776,14302,,,,,,,,
1405.374448,14139.8,,,,,,,,
1408.889132,13680.2,,,,,,,,
1412.398837,13314.4,,,,,,,,
1415.903574,13764.4,,,,,,,,
1419.403355,14339,,,,,,,,
1422.89819,13913.4,,,,,,,,
1426.388091,13820.2,,,,,,,,
1429.873069,14399.6,,,,,,,,
1433.353134,13742.6,,,,,,,,
1436.828298,13882.6,,,,,,,,
1440.298571,14020.8,,,,,,,,
1443.763965,13762.8,,,,,,,,
1447.224491,13693.2,,,,,,,,
1450.68016,13661.8,,,,,,,,
1454.130983,14147.6,,,,,,,,
1457.576971,13945.4,,,,,,,,
1461.018135,14172,,,,,,,,
1464.454486,14270.6,,,,,,,,
1467.886036,13875,,,,,,,,
1471.312794,13861,,,,,,,,
1474.734774,13536,,,,,,,,
1478.151985,14226,,,,,,,,
1481.564439,13947,,,,,,,,
1484.972146,13842.4,,,,,,,,
1488.375119,13389,,,,,,,,
