Raman shift (cm-1),Intensity (a.u.),,,,
,Intensity 1,Intensity 2,Intensity 3,Intensity 4,Intensity 5
1886.06611,10446.8,10504.8,10527,10571,10590.4
1888.95849,10300,10252.6,10303.2,10283.4,10384.2
1891.84765,10237.6,10239.8,10184.2,10266.2,10291.6
1894.73363,10372.4,10393,10364.6,10447.2,10456
1897.61641,10445.8,10480.6,10457.2,10448.2,10520.4
1900.49603,9998.8,9987,10066.2,10054,10124.8
1903.37249,10328.6,10324.6,10375.4,10402.2,10341.8
1906.24581,10536.4,10559,10677,10665,10673.6
1909.11599,10552.8,10625.4,10636.4,10629.8,10710.6
1911.98305,10577.6,10548.4,10635,10667,10653.4
1914.847,10504.2,10476.6,10634.4,10542.8,10569.8
1917.70787,10560.2,10688.6,10691.8,10705.2,10767.2
1920.56565,10569.2,10603.8,10585.6,10670.8,10770.2
1923.42036,10172.2,10319,10214.2,10290.2,10351
1926.27202,10491.4,10444.2,10463.6,10512.2,10532.4
1929.12063,10232.8,10308,10296.2,10308.4,10365.6
1931.96622,10399.6,10485.4,10452.8,10487.4,10422.2
1934.80879,10258.2,10372.4,10334.6,10436.8,10433.4
1937.64835,10549.2,10610,10662.6,10750,10742.2
1940.48493,10546,10583.8,10541.4,10593.4,10599.2
1943.31852,10594,10618.8,10578.2,10671.4,10853.8
1946.14916,10832.6,10800,10913.8,10892,10907.8
1948.97684,11852.2,11866.8,11871.4,11923,11898.4
1951.80158,10908.6,10894,10955.6,10892.2,10956.6
1954.6234,10582,10758.6,10700.6,10716.8,10783.8
1957.44231,10754,10763.6,10841.6,10818.4,10898.2
1960.25832,10300.6,10300,10343.2,10340.6,10444.2
1963.07144,10345,10363.2,10468,10425.2,10422.6
1965.88169,10493.8,10533,10641.8,10597.8,10660.4
1968.68908,10615.8,10623,10720.6,10742.8,10775.2
1971.49362,10449.8,10582.2,10511,10589.8,10640.4
