Name,AAB_4 ATP_10^-10M_750_5_5_M_S3.csv
Date,2024/09/24 10:43:39
Tag,AAB_4 ATP_10^-10M_750_5_5_M_S3
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
347.112848630893,26004.6,25648.8,25476,25228.6,25234.4
352.211449846096,26459,26037,25781.8,25609.8,25598.4
357.302238512928,26158,25574,25468.8,25190.2,25159
362.385227653271,26117,25674.8,25366.4,25409,25308.8
367.460430263362,26365.8,25922,25888.4,25644.6,25570.4
372.527859313997,25976,25557.2,25355.6,25187.4,25047.6
377.587527750688,26338.6,25856.6,25683.6,25494.2,25460.4
382.639448493877,26196.2,25668.8,25471.8,25355,25169.8
387.683634439107,26262.2,25782.2,25661.2,25472.6,25525.4
392.72009845721,26709.2,26142.4,26102.2,25929.6,25674.2
397.748853394485,26326.2,25737.8,25659.4,25523.2,25374
402.76991207289,26645.2,26096.4,25838.6,25839.8,25626.4
407.783287290211,26076.2,25654.8,25453.4,25400.6,25301.4
412.788991820255,25749.4,25313.2,25311,25006.8,24903.6
417.787038413016,25497,25027.2,24905.4,24629.6,24637.8
422.777439794883,25554,25208.6,24977.2,24770.8,24718.4
427.760208668777,25582.6,25145.2,24902.8,24686.4,24484.6
432.735357714366,26067.8,25514,25216,24909,25013.8
437.702899588219,25955.2,25308.6,25241.2,25042.8,24942
442.662846924002,26177,25558.4,25324.8,25221.4,25094
447.615212332628,24999.4,24592,24463.8,24228.6,24091.2
452.560008402459,25120,24594.4,24482,24294.6,24174.6
457.497247699466,25232.2,24790,24644.6,24440.4,24430.8
462.42694276741,24757.8,24262.6,24090,23913.6,23874.8
467.349106127996,25201.8,24655.2,24632,24303,24445.6
472.263750281081,24759.2,24137.2,23950.8,23841.2,23679.2
477.170887704813,25237.6,24744.4,24615.2,24571.8,24367.8
482.070530855812,25308.6,24641.6,24598.2,24517,24198.8
486.962692169351,25377.4,24908.4,24844.8,24582.8,24677.8
491.847384059509,25238,24710.4,24747.6,24595.8,24463.4
496.724618919354,25030.8,24556.4,24541,24358.8,24131.2
501.594409121106,24975.8,24495.8,24534.8,24328.4,24201
506.456767016303,25358,24981.4,24781.6,24500,24532.4
511.311704935972,25018.4,24544,24342,24280,24130.4
516.159235190789,24328.8,23848.2,23750.6,23523.2,23337.4
520.999370071249,24739.8,24290,24148.6,24075,23883.6
525.832121847836,24612.6,24244.2,23999.6,24030.6,23802
530.657502771179,24612.4,24262,24069,23974.8,23824
535.475525072219,24208.6,23692.6,23507,23305.2,23419.8
540.286200962379,24435.8,24119,23923.2,23778.8,23641.6
545.089542633712,24732.6,24138.6,23973.6,23754,23738
549.885562259076,24230.8,23779.2,23540.4,23451,23406.8
554.67427199229,25236.6,24820,24449.8,24373.4,24196.6
559.455683968295,24123.2,23815,23567.6,23515.8,23412.2
564.229810303319,24008.4,23510.4,23359,23197.8,23148.6
568.996663095024,25222.6,24455,24453.2,24269,24172.8
573.756254422682,24602.8,24322.8,24162.2,23892,23811
578.508596347321,24158.6,23730.4,23594.8,23475,23349.8
583.253700911884,24609.6,24231,23969.8,23932.2,23809
