Name,BC_4 ATP_10^-3M_750_5_5_M_S3.csv
Date,2024/09/24 10:24:12
Tag,BC_4 ATP_10^-3M_750_5_5_M_S3
Comment,
Peak raman shift[cm-1],442.662846924002
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
347.112848630893,14373,14252.4,14247.4,14190.8,14114.6
352.211449846096,14544.2,14538.6,14452.4,14312.8,14335
357.302238512928,14224.8,14104.2,14042,13986.2,13890.4
362.385227653271,14454.2,14246.6,14190.2,14116,14106.6
367.460430263362,14775.2,14553.4,14527,14552,14447.4
372.527859313997,14384.2,14446,14148.6,14100.6,14062.4
377.587527750688,14733.8,14608.8,14564.4,14710.4,14567.4
382.639448493877,14478.6,14335.8,14327.2,14438,14288
387.683634439107,14327.2,14177.6,14312.2,14121.2,14057.8
392.72009845721,14597.2,14402,14329,14314.4,14216.6
397.748853394485,13999.2,13956,13830.2,13838.4,13830.2
402.76991207289,14407.2,14363.8,14285.4,14270.8,14213.8
407.783287290211,14178.6,14037,13977.2,13888,13830.2
412.788991820255,14032.6,14031.8,13913.2,13908.2,13741
417.787038413016,13841.4,13727.4,13638.6,13604.8,13550.6
422.777439794883,13926.8,13893.2,13840.6,13831.2,13811.2
427.760208668777,14104.4,14043.4,13976.6,13896.4,13844
432.735357714366,14539.8,14419.2,14348.6,14274.2,14252.6
437.702899588219,14760,14610.6,14657.8,14545,14379.4
442.662846924002,14764.2,14725.4,14742,14593,14574.4
447.615212332628,14058.8,13898.2,13831.8,13795.4,13690.2
452.560008402459,14063.8,13949.2,13923.8,13931.6,13804
457.497247699466,14397.2,14110.4,14123.6,14180.4,14218.2
462.42694276741,13671,13588.8,13451.6,13490.2,13302.4
467.349106127996,14241,14075.2,14056.4,13988.2,13957.6
472.263750281081,13542.4,13471.6,13410.4,13370,13269.4
477.170887704813,14043.6,13967.8,13838.8,13758.8,13909.4
482.070530855812,13893.2,13784.6,13776.6,13680,13695.2
486.962692169351,14311.6,14103.2,14140,14003.2,14091.8
491.847384059509,13960.2,13915.8,13764,13819.8,13772.4
496.724618919354,13889.6,13865.4,13771,13776,13551.6
501.594409121106,13896.2,13816.4,13674.6,13783.6,13770.8
506.456767016303,14335.4,14172.4,14200.4,14095.6,14084
511.311704935972,14039,13967,13753.6,13730.4,13869.4
516.159235190789,13488.6,13394.2,13388.8,13341.8,13259.4
520.999370071249,13949.8,13945.6,13847.6,13770.8,13790.6
525.832121847836,13988.2,13796,13797.4,13840.8,13723.6
530.657502771179,14031,13818.8,13752.2,13724,13671.6
535.475525072219,13434.8,13386.2,13307,13254.4,13226.4
540.286200962379,13753.8,13699.8,13670,13660,13499.4
