Name,AAB_4 ATP_10^-11M_750_5_5_M_S3.csv
Date,2024/09/24 10:45:57
Tag,AAB_4 ATP_10^-11M_750_5_5_M_S3
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017486,14454.8,14463.2,14447,14421,14335.2
-87.2943736183952,13033.6,13111.8,13077.6,13027.6,13038
-81.525937530123,12833.8,12876.2,12833.8,12824,12909.6
-75.7664569369681,12972.6,13001.8,12966.6,12956.8,12960.2
-70.0159160827698,13018.2,12992,12956.2,12964.6,13028.2
-64.2742992549156,12732.2,12687.8,12664.2,12685.8,12641.6
-58.541590784067,12771.4,12824.4,12723.4,12741.2,12720.4
-52.8177750439099,12890,12894.8,13003.2,12930.8,12880.4
-47.1028364508675,13066.2,13148,13164.8,13095.4,13126.8
-41.3967594638525,12980.6,13125,13149.8,13113.6,13068.4
-35.6995285840112,13539.4,13581.8,13567.8,13506.6,13563.2
-30.0111283544538,13649,13659.8,13605,13716.4,13641
-24.3315433599946,13245,13263.2,13282.6,13203.8,13244.8
-18.6607582269062,13377.4,13330.4,13387.2,13333,13331.4
-12.9987576226504,13061.2,13115.4,13074.8,13179.4,12983.8
-7.34552625563083,12814,12855,12753.4,12835.4,12819
-1.70104887494199,12594,12635.8,12591.2,12638.4,12676
3.93468972989649,13374,13342.6,13296,13315,13327.6
9.56170472916892,12599.4,12561.6,12652,12680,12608.8
15.1800112532474,13063.8,13158.6,13052.6,13062,13000.8
20.7896243928062,12541.6,12749.6,12627,12629.4,12668.2
26.3905591990933,12763,12842.8,12748.8,12797.8,12733.2
31.9828306841591,13249.8,13194.6,13244.6,13171.4,13255.4
