Raman shift cm-1,4ATP_100uM_rep2_acc2_processed_intensity
-93.47115107,346.01385074076074
-87.69374369,32.07874612005723
-81.9253076,-17.052222059630953
-76.16582701,39.27025991561144
-70.41528615,171.5195963758967
-64.67366933,-94.04972040646149
-58.94096086,-89.36177664444146
-53.21714512,-60.85057124929618
-47.50220652,1.9022487533163996
-41.79612954,108.95792985139661
-36.09889866,58.810543746489344
-30.41049843,58.25976520854948
-24.73091343,26.11788740892399
-19.0601283,-60.292684108813944
-13.39812769,54.149868198697476
-7.744896327,8.250173511858605
-2.100418946,-14.56213178781897
3.535319659,125.07512337942339
9.162334658,-154.95969544990902
14.78064118,26.225814237557103
20.39025432,-56.42299578321294
25.99118913,14.983495795950432
31.58346061,216.98215924407353
37.16708375,91.81783997265727
42.74207347,16.25645334858997
48.30844468,-47.42040013970122
53.86621222,-52.68142175105955
59.41539093,-72.34999078425939
64.95599558,-46.6591372403162
70.48804091,18.14252057003769
76.01154164,57.64593463646423
81.52651243,-107.96396847606974
87.03296792,105.2490238778261
92.5309227,198.43575622446272
98.02039134,51.27327096990801
103.5013884,-0.09161023442597127
108.9739282,6.054812298914229
114.4380255,26.662940752275958
119.8936944,32.21224356999535
125.3409495,282.7636084549977
130.779805,38.746962662864206
136.2102753,-82.1654722378821
141.6323747,-133.37896316528168
147.0461174,14.852772419476253
152.4515176,-33.42680679076882
157.8485895,18.578514328999972
163.2373472,-48.53550806667859
168.6178049,-77.50612275894888
173.9899766,104.32026094770933
179.3538764,114.15756986850536
184.7095182,106.51782977594135
190.0569161,155.8772756001219
195.396084,71.25318405887202
200.7270358,-79.09216166948812
206.0497854,33.47011880779438
211.3643466,-130.0274371444732
216.6707333,82.83430413017591
221.9689593,-28.364915490521902
227.2590382,29.513526614116287
232.5409839,-48.67712394040463
237.8148101,-5.078910600427818
243.0805303,-41.47634009899559
248.3381582,-32.40600207314015
253.5877075,62.35190040796449
258.8291917,83.14166574363394
264.0626244,-0.5666213225029466
269.288019,108.04463128878392
274.5053891,48.37524474440906
279.7147481,-83.92494563561665
284.9161094,-208.09742325718838
290.1094865,-42.64346189728704
295.2948927,388.2318668488845
300.4723414,1548.0795504901469
305.6418459,3276.9514355337615
310.8034194,4795.94447914435
315.9570752,6045.995129025927
321.1028267,6336.468579783514
326.2406869,6454.730233259771
331.370669,6656.124400025154
336.4927863,7076.549272995502
341.6070517,6907.377176171245
346.7134786,6857.344341317337
351.8120798,6428.181551007981
356.9028684,5863.34502311598
361.9858576,5552.118596602165
367.0610602,5550.038953236466
372.1284892,4959.837636733017
377.1881577,5076.0622969252545
382.2400784,5644.188907086215
387.2842644,6921.74220240675
392.3207284,8269.677120959723
397.3494833,8333.026054066446
402.370542,7647.631166911818
407.3839172,6696.487215746654
412.3896217,5655.085998750984
417.3876683,4899.8008742763295
422.3780697,3969.9046124923907
427.3608386,2831.525535738295
432.3359876,2240.377151893683
437.3035295,1709.904156201339
442.2634769,1667.1789026426877
447.2158423,814.0616497412084
452.1606383,675.2044343735297
457.0978776,327.17456162688177
462.0275727,23.4528143738371
466.9497361,119.66462172667616
471.8643802,309.7636658190295
476.7715176,984.3857878586105
481.6711608,2243.4280610850838
486.5633221,3526.2942900476455
491.448014,3846.0358876856153
496.3252488,3478.9900811134503
501.195039,2317.884594387582
506.0573969,1401.5301924563119
510.9123349,683.0780584706954
515.7598651,105.9830032424943
520.6,332.2946892920754
525.4327518,386.2352722044525
530.2581327,303.7025793698858
535.076155,355.84266905798177
539.8868309,914.0339154731305
544.6901726,1403.2336889534936
549.4861922,1372.3109809643347
554.2749019,1032.4766768794216
559.0563139,191.09470052695679
563.8304402,-348.4706721995717
568.597293,47.53826565551981
573.3568844,27.14573192853595
578.1092263,-84.80387716206951
582.8543308,-2.1193275169471235
587.5922101,129.42102189353636
592.322876,321.0641718857614
597.0463405,519.3722229371774
601.7626157,644.0228721765434
606.4717135,363.33784723456665
611.1736458,225.8288055456942
615.8684246,14.702425006100839
620.5560617,30.295459205548923
625.2365691,24.128485900517717
629.9099585,200.7642664269597
634.5762419,449.39105499907055
639.2354312,449.52387136235257
643.887538,464.82016019730236
648.5325743,340.4199378640046
653.1705518,246.36942865324954
657.8014823,380.64271962354314
662.4253775,-17.92326773527475
667.0422493,15.332645729022715
671.6521092,54.33234749559233
676.2549691,23.43303103143262
680.8508407,-86.44684009637558
685.4397355,6.135002417629039
690.0216654,-19.417819208605124
694.5966419,-14.228285650282714
699.1646767,373.8616172194079
703.7257814,582.3017356645178
708.2799676,1111.1734846418735
712.827247,1944.9069952586672
717.367631,2699.1083912049435
721.9011314,2728.391470031275
726.4277595,1875.4096085185706
730.9475271,1263.894625530464
735.4604456,751.2477439318598
739.9665264,573.5149850780667
744.4657813,355.190154172308
748.9582215,240.34247394952536
753.4438587,104.53531027796703
757.9227042,-37.237879161890305
762.3947696,67.98555587271744
766.8600662,-45.07616640238143
771.3186056,255.01260565771258
775.770399,56.931622892293035
780.215458,85.64816880324497
784.6537939,-108.22915291224615
789.0854181,-245.23858973474853
793.510342,6.390380798998535
797.9285769,103.52945213238422
802.3401342,377.85472440416345
806.7450253,347.69094975211885
811.1432614,394.99393579271634
815.5348538,526.1011409635327
819.9198139,476.4094309916653
824.2981531,748.2443148319545
828.6698824,477.3894520376824
833.0350133,365.001250551804
837.393557,276.8133347878097
841.7455248,224.77455675451972
846.0909278,115.33739200364039
850.4297774,-29.42627648812129
854.7620848,-35.07314957217636
859.0878611,44.217550906215365
