Raman shift cm-1,4ATP_100nM_rep2_acc4_processed_intensity
-93.47115107,574.2476313796966
-87.69374369,159.4966626867236
-81.9253076,-15.71540373738516
-76.16582701,21.146226065451472
-70.41528615,68.59765197106408
-64.67366933,25.986559944342144
-58.94096086,-34.73314606883371
-53.21714512,-18.96825004469981
-47.50220652,75.63552742954565
-41.79612954,177.79607129916775
-36.09889866,218.59956117046806
-30.41049843,190.69456682323312
-24.73091343,136.8316814811772
-19.0601283,82.29904841253632
-13.39812769,24.17009108454678
-7.744896327,-10.341272917664533
-2.100418946,20.88344518946363
3.535319659,83.79592615719675
9.162334658,85.99843460469647
14.78064118,16.531936196076508
20.39025432,-23.34465185162169
25.99118913,33.74382785097657
31.58346061,130.145621729158
37.16708375,176.46542568365834
42.74207347,152.18058446680604
48.30844468,81.12655454098785
53.86621222,-2.1413816875522063
59.41539093,-44.794192106860564
64.95599558,-24.316265669686054
70.48804091,3.0760757917481776
76.01154164,-7.1108358339108335
81.52651243,1.2661578020745488
87.03296792,73.28140878174362
92.5309227,131.95603711433964
98.02039134,98.41381385749284
103.5013884,25.65748454741546
108.9739282,28.585285118717103
114.4380255,143.32192103787267
119.8936944,270.05786834071216
125.3409495,254.56360799688218
130.779805,85.96996340500256
136.2102753,-45.067413912655866
141.6323747,5.434532749783271
147.0461174,128.53712890155725
152.4515176,136.7399172273617
157.8485895,35.280942716711536
163.2373472,-24.944171644389144
168.6178049,20.293522331174003
173.9899766,102.02178524642653
179.3538764,157.94862437689036
184.7095182,196.26439941694449
190.0569161,223.90808655857597
195.396084,215.69336768855933
200.7270358,167.5863057847119
206.0497854,109.22907408317454
211.3643466,61.6959466974132
216.6707333,25.13024092747969
221.9689593,-0.4990553261951334
227.2590382,-9.591346117950764
232.5409839,-3.4972236963235517
237.8148101,6.228798556689192
243.0805303,10.322726432977213
248.3381582,8.173437717703344
253.5877075,2.450684974886258
258.8291917,2.839875886131921
264.0626244,31.455547671348874
269.288019,86.78775900156707
274.5053891,100.54713634103135
279.7147481,-2.2959124015748174
284.9161094,-141.8568355698335
290.1094865,38.63031130668179
295.2948927,1071.9121539304685
300.4723414,3249.2497662761148
305.6418459,6186.740204337296
310.8034194,8923.958952275978
315.9570752,10628.942963021163
321.1028267,11230.896277645468
326.2406869,11300.962259547381
331.370669,11379.983830029978
336.4927863,11588.838745143637
341.6070517,11813.310760359198
346.7134786,11961.465187096388
351.8120798,11995.39072629542
356.9028684,11915.106473998021
361.9858576,11743.373572863698
367.0610602,11507.527429586597
372.1284892,11360.582009757629
377.1881577,11654.06977886282
382.2400784,12612.096923234969
387.2842644,13888.38161257705
392.3207284,14680.226051664675
397.3494833,14422.44247784379
402.370542,13260.02995313699
407.3839172,11776.744718935348
412.3896217,10442.351799265294
417.3876683,9415.714176303885
422.3780697,8689.406837605393
427.3608386,8217.644465125823
432.3359876,7897.7083352787095
437.3035295,7569.96474338984
442.2634769,7140.465501014078
447.2158423,6665.616721884757
452.1606383,6259.171037255453
457.0978776,5956.463219243091
462.0275727,5722.83645834694
466.9497361,5556.551606460623
471.8643802,5518.620104013805
476.7715176,5635.868697725654
481.6711608,5782.580966853596
486.5633221,5736.224194335142
491.448014,5411.951438871066
496.3252488,4956.7926981028595
501.195039,4540.679753278912
506.0573969,4170.627546781643
510.9123349,3801.140961075921
515.7598651,3473.7436972272544
520.6,3212.511285275551
525.4327518,2935.8650343460695
530.2581327,2612.0876690781215
535.076155,2356.621035406768
539.8868309,2255.09771260027
544.6901726,2204.2676776370336
549.4861922,2017.4931430004426
554.2749019,1641.974113456704
559.0563139,1234.5644529697838
563.8304402,999.681227201263
568.597293,954.3772110553591
573.3568844,936.1781556779397
578.1092263,831.9539551061371
582.8543308,673.3918492187731
587.5922101,540.3418578919518
592.322876,475.2619274179142
597.0463405,444.5346373455386
601.7626157,364.2130269850295
606.4717135,217.49546635077695
611.1736458,86.72555850759636
615.8684246,28.87858721064549
620.5560617,14.040966073953314
625.2365691,8.829591393708142
629.9099585,24.548151249211514
634.5762419,59.79968075578745
639.2354312,69.80426774702482
643.887538,27.35791666257319
648.5325743,-25.59833037430326
653.1705518,-31.842339107373846
657.8014823,0.214002012506171
662.4253775,23.806863618400712
667.0422493,26.037154357154577
671.6521092,15.143594250815113
676.2549691,-13.81453238823633
680.8508407,-50.528956655498405
685.4397355,-48.61558153866463
690.0216654,30.385849977591533
694.5966419,172.98398433901366
699.1646767,332.00777438142904
703.7257814,478.99670970574607
708.2799676,611.6867254211847
712.827247,695.2964775213713
717.367631,647.1956898217522
721.9011314,448.3435133442672
726.4277595,227.4394125549352
730.9475271,146.87256966790574
735.4604456,220.65566342566763
739.9665264,307.9822005469523
744.4657813,280.69018464362216
748.9582215,148.97203795922178
753.4438587,18.046584197691118
757.9227042,-26.1724311183807
762.3947696,34.93355529285145
766.8600662,156.49665684526371
771.3186056,241.66050345758458
775.770399,210.45147606373075
780.215458,85.24175423765564
784.6537939,-23.31840841987423
789.0854181,-11.935384042930764
793.510342,133.01480676747542
797.9285769,320.74994014453705
802.3401342,431.39900196592225
806.7450253,417.37682610173124
811.1432614,319.34611501884683
815.5348538,204.35563196489284
819.9198139,119.8825329576348
824.2981531,79.94627025529871
828.6698824,63.37858284820686
833.0350133,41.73818195241074
837.393557,10.647681180318159
841.7455248,-15.942907783476585
846.0909278,-22.554866749355597
850.4297774,-12.05640737754129
854.7620848,-13.40690236254568
859.0878611,-24.239059413611812
863.4071176,21.143012438559253
867.7198655,147.84665227576102
872.026116,270.28303844789457
876.3258802,310.2247321069467
880.6191693,293.05438286528624
884.9059946,246.28547746959248
889.186367,134.25837299158047
893.4602979,3.539229069980138
897.7277982,14.84683872583696
901.9888793,191.0852635997503
906.2435521,340.29434359577476
910.4918277,349.6838159421744
914.7337174,337.53865852971444
918.9692321,428.1385476682118
923.1983831,574.6114246553263
927.4211813,669.064505085945
931.6376378,685.4632217255655
935.8477637,667.9533746160525
940.0515701,656.116383135306
944.249068,661.5050270103702
948.4402684,699.9615376836094
952.6251825,798.4041180885922
956.8038212,939.5181778714448
960.9761955,1044.1921615670444
965.1423166,1053.7062248785705
969.3021953,993.751911892159
973.4558427,925.4681132782256
977.6032699,875.6043072951601
981.7444877,830.071387657751
985.8795072,767.5751778548282
990.0083394,703.9530462641322
994.1309953,688.7248487710317
998.2474857,747.0478066015262
1002.357822,854.7464819367983
1006.462014,945.8104841968518
1010.560075,934.4067994071135
1014.652013,778.2775205341095
1018.737841,517.8100782284394
1022.81757,250.1498935313374
1026.891209,72.77241760278699
1030.958771,9.714078984023347
1035.020266,-2.0125353596429125
1039.075705,-17.447614563666235
1043.1251,-22.046522297538534
1047.16846,4.952404041832565
1051.205797,61.896152975851805
1055.237121,245.54689473777665
1059.262444,828.4325347855313
1063.281777,2061.3913012184357
1067.295131,3823.7914459931044
1071.302515,5531.779983872999
1075.303942,6468.658064811379
1079.299422,6205.678537179117
1083.288966,4822.284285534308
1087.272585,2910.5976666647666
1091.250289,1261.1061941203786
1095.222091,328.3992930589542
1099.187999,16.722891355687068
1103.148026,-19.281549351469664
1107.102183,-3.559196886412849
1111.050479,37.49921589206474
1114.992927,142.66905861520905
1118.929536,338.8057656581677
1122.860318,726.9803341354333
1126.785283,1551.817197784052
1130.704443,2983.0135791869516
1134.617808,4715.197604225579
1138.52539,5939.2845471081155
1142.427198,5940.841382146634
1146.323244,4754.33421154289
1150.213538,3120.0674155365987
1154.098093,1810.47717258746
1157.976917,1111.0953455738556
1161.850023,879.5271570105728
1165.717421,856.6529674379763
1169.579121,860.1961476298363
1173.435135,852.0083361288787
1177.285474,915.0951933368326
1181.130148,1100.366392086946
1184.969169,1286.5752311503434
1188.802547,1279.1708383494024
1192.630292,1034.2299168665947
1196.452416,681.3933875872085
1200.26893,353.65968066777054
1204.079844,112.54337487231163
1207.88517,0.8725204719891053
1211.684917,27.530331984050406
1215.479098,101.29172863809272
1219.267722,95.79262119815509
1223.050801,7.729182047380441
1226.828346,-49.30645405299593
1230.600366,-20.582854976673154
1234.366874,44.75307422070077
1238.12788,110.14181934378647
1241.883395,181.1376779284256
1245.633429,237.10188119656067
1249.377994,235.99459050078733
1253.1171,187.93872218913083
1256.850759,154.1328542951373
1260.578981,153.7209727544356
1264.301776,124.74003675708188
1268.019157,23.400803438468046
1271.731133,-75.45143902222638
1275.437715,-60.73501676771984
1279.138915,45.531730618111325
1282.834743,105.78230472981363
1286.52521,61.80082927903378
1290.210328,6.339434099308349
1293.890106,39.62524666788856
1297.564555,159.856446442511
1301.233688,316.2230082419297
1304.897514,448.6559554598683
1308.556044,465.21916575074135
1312.209289,330.22963999476195
1315.857261,163.95582606659556
1319.499969,112.50692482924188
1323.137425,163.77934429643835
1326.769641,202.76338301398312
1330.396626,173.33748830352275
1334.018391,102.7153357076464
1337.634948,34.24500666813777
1341.246307,-9.701212708461725
1344.85248,-24.55777339818329
1348.453477,4.919046325036817
1352.049309,109.81838835297032
1355.639987,267.8668075371308
1359.225522,376.39311192752757
1362.805925,386.5602695007707
1366.381207,393.0430476978907
1369.951379,491.64386850612544
1373.516452,660.3968336117731
1377.076436,880.477949627903
1380.631343,1238.7305207110785
1384.181184,1765.4944527509315
1387.725969,2242.3435126750555
1391.26571,2335.9217497949403
1394.800417,1941.3567499893754
1398.330102,1282.262975719739
1401.854776,660.8759992204929
1405.374448,223.63490608537364
1408.889132,-6.458803919505044
1412.398837,6.180671605842996
1415.903574,327.9497296039865
1419.403355,982.3136363778989
1422.89819,1891.2546380458527
1426.388091,2835.9542024236107
1429.873069,3483.497304749074
1433.353134,3573.369326512414
1436.828298,3116.109494541499
1440.298571,2355.9008482902177
1443.763965,1570.3794193958856
1447.224491,940.5863141127916
1450.68016,532.9415689970813
1454.130983,332.40693736932394
1457.576971,283.46964726156085
1461.018135,301.66635935099856
1464.454486,297.5858491698603
1467.886036,253.1772948738718
1471.312794,233.9883232260598
1474.734774,267.7581710998198
1478.151985,267.1614429216306
1481.564439,152.03996436985616
1484.972146,0.17079307565338478
1488.375119,-37.53943333444649
1491.773368,43.378665301987766
1495.166904,95.10980887981492
1498.555739,39.90715286958175
1501.939883,-31.901582087117795
1505.319349,-17.81779869703017
1508.694146,66.7794851490859
1512.064286,158.9947550249763
1515.429781,251.56152012365777
1518.790642,347.3415552194215
1522.146879,384.8433424081214
1525.498505,331.4334828400284
1528.845529,282.0848855851891
1532.187965,336.1198744910256
1535.525822,461.5522155393775
1538.859112,572.8763788985285
1542.187846,658.7113023903868
1545.512036,764.9425495151097
