Wavelength,AAB_4 ATP_10^-10M_750_5_5_L_S1_I1,AAB_4 ATP_10^-10M_750_5_5_L_S1_I2,AAB_4 ATP_10^-10M_750_5_5_L_S1_I3,AAB_4 ATP_10^-10M_750_5_5_L_S1_I4,AAB_4 ATP_10^-10M_750_5_5_L_S1_I5
342.006421819617,-2.4144129478512433,-4.440383157569098,1.5921301387430304,6.870407604744951,39.94769058778568
347.112848630893,-9.532741821751673,18.537380379804212,-6.085462033244713,7.545645257418654,-17.308134427328504
352.211449846096,232.44439531326395,-6.050963269655057,-7.0946805225287335,-0.45670605377952533,156.50125823504285
357.302238512928,6.784287601317388,-33.12897386797055,-2.5059142700543617,-14.20169720184137,-51.2109540095538
362.385227653271,-50.44489301942905,16.37771217965523,14.411026631058434,-16.513207719434654,-49.78061081857965
367.460430263362,76.5754823405365,118.4100867716016,51.97604585080145,18.040148868649652,73.87142538715236
372.527859313997,-57.23509976093858,189.85150873729114,110.08787556488292,115.73943625302854,-18.683052663905634
377.587527750688,218.0371323417529,249.5107137699383,201.9357582179805,289.90994013708917,215.77780706899642
382.639448493877,444.94964208456645,397.2769701513087,355.30187952698685,519.758726745876,335.85175267822933
387.683634439107,548.2443703328134,649.1973133175668,570.7231105134978,742.325811871608,596.960898938298
392.72009845721,790.8774328623509,881.3032659071282,789.9833987162307,877.2433169898437,791.4777676764245
397.748853394485,659.7935560573651,946.6651942246092,913.7090012447685,871.5492878630737,640.8413285208645
402.76991207289,658.2454839173525,796.9268394653714,864.4441784994094,729.2192992768018,780.0530802596367
407.783287290211,520.2106497843221,500.3482861193534,656.6026413507275,506.1654792011127,400.4678707825766
412.788991820255,83.5006812440879,202.9128852485051,399.5659223886617,282.8857629670479,13.715415327089318
417.787038413016,17.84362107660354,34.985874437343206,208.66634999993917,131.871795207442,54.89505001532861
422.777439794883,-25.23328742742723,21.12851021972046,124.43057173084895,88.44089365585685,-53.3132639566058
427.760208668777,12.099417835457714,99.03297543661127,126.74967757086179,135.5390354085984,64.46079313020695
432.735357714366,93.12562398911967,193.74451594849108,178.40783585155927,213.1643121564139,16.437548206870336
437.702899588219,206.35304309852185,242.6841446365391,225.7681248337787,252.51857182399786,113.13149304943062
442.662846924002,268.85486459553357,193.00212353561238,210.9184336243826,218.71011532701795,282.26318324520395
447.615212332628,-96.508122740666,60.830322326579676,129.70222601929393,131.30546513708654,-43.88275043485563
452.560008402459,-112.47493537920568,-44.634424890069326,41.789885323658396,41.99784673976937,-40.959775578202866
457.497247699466,5.038373380991134,-54.536653783037465,-3.1721334018386216,-8.67924273667795,54.38292545097502
462.42694276741,-108.73677565014019,-16.074439578070663,-6.944665711942136,-13.298275229139463,-85.87254777426726
467.349106127996,44.67246318424649,12.164907583992758,12.990367572430742,12.947996617176898,26.63733257800091
472.263750281081,89.41393695613206,34.397514918870016,52.70264714586748,56.4556083652931,194.90028344964756
477.170887704813,42.805431834106,90.6121555955683,118.22788949889875,117.42382140252533,169.04509305921667
482.070530855812,234.02411065467015,198.67482692512584,213.76053796558654,195.74544116094444,250.85807693578957
486.962692169351,377.2712836625772,299.4981597658287,323.7017119643974,273.5907281256087,428.69051559221094
491.847384059509,405.05997441572214,320.2507055888575,416.922502122269,327.79681785940716,464.91404435197893
496.724618919354,394.2776237159619,300.98803635198874,475.7432397130746,350.12402721221025,397.63745090948885
501.594409121106,382.54959587758617,307.928080545455,489.42433167119634,338.9830974502733,387.2762520633088
506.456767016303,534.8011832460229,274.0531035749257,433.0506105193862,287.46282280512713,606.8329558723816
511.311704935972,361.75396487790874,140.6677068603,313.78809678376325,202.14136905663864,385.621448832817
516.159235190789,31.74777601058824,34.18490988032724,207.16859202779267,117.00369348032186,12.516633303985316
520.999370071249,198.87715359603698,64.45880088777699,168.1036970680962,61.84426473785801,245.6910438117078
525.832121847836,369.6425948990948,120.98689846613843,154.6762485893917,32.21428471818035,406.30687753499416
530.657502771179,193.5407255963629,84.07738781606062,115.85372643448652,14.777617959530348,233.63381829848123
535.475525072219,-8.515069406857862,28.370972539859494,84.5135737727829,19.27758236329997,61.13724164684847
540.286200962379,202.098912361216,60.270168182391004,115.52022046900896,55.14399427509214,260.83880188133764
545.089542633712,274.2274203821353,157.58656976178057,188.51191071089832,95.41216918576305,305.1189353735698
549.885562259076,219.43409556753858,214.3156822870472,215.57720922913012,95.4422776310434,170.34673478548763
554.67427199229,365.6120026137952,130.0185309441933,138.28818399932348,45.739625309007316,298.39254771766304
559.455683968295,-23.04646738822339,-26.537343826114046,16.970087102644356,-10.957867123308354,-13.388275248528316
564.229810303319,-73.08278736804581,-35.130963203494396,-22.673832553975146,-24.685674129306705,-48.782133025624574
568.996663095024,385.9128024319197,101.79975310575348,44.33091404611028,7.355346397747056,377.42170184287795
573.756254422682,238.9244262576539,151.5043562445583,117.66914277652057,47.70528030516564,165.38181759232555
578.508596347321,4.362614485689178,86.79034134360195,124.12914986937909,68.61241242993727,-39.01585770184596
583.253700911884,161.62732329569783,47.7267338910136,88.91621409390294,69.20352267821042,205.75716247911873
587.991580141394,209.45643626380112,33.128059866283905,60.21510984676827,55.01786175177032,156.26246480141305
592.722246043097,13.984411389386963,12.283040381289247,48.50897285483902,30.797782384306302,-49.87284754330737
597.445710606635,83.43962906691439,21.01895380440226,34.87694130147812,6.813226316682282,62.36992326845811
602.161985804183,86.05440392248687,16.939140328462845,7.305065965057789,-6.979999029245661,69.16216305801538
606.871083590626,-111.64557633300535,-40.708533607788006,-12.508227341517287,-8.317122219937822,-35.85665711829391
611.573015903688,-26.423804256783193,-62.50077053629127,5.564566405974368,4.050791915754239,-47.19436639225352
616.267794664109,21.611666291649872,2.768299585641871,55.40046519619543,36.63622188658658,-2.367006922001467
620.955431775774,-36.04570034809512,82.12557454685333,108.5862356005347,93.36972122194342,125.12494174749811
625.635939125892,-51.8173824447782,149.58320798502714,155.68834758540913,165.37453194658312,-27.38694605955098
630.309328585123,164.45582204922948,236.84123969738383,197.6776430967108,233.6025453159675,49.873405518971154
634.975612007751,261.72213913301636,297.8948021543011,226.4655644138695,280.8164922159898,242.44754537864762
639.634801231821,94.96379053044924,276.57223151178414,241.09998788832223,298.5280519073691,40.89269001135564
644.286908079293,251.7439927738768,206.47609381239567,246.93628275030267,284.19209826443915,153.30827455546662
648.931944356194,93.57977547096746,140.54971316013905,234.2394382102133,240.10511545227087,59.04148509429649
653.569921852761,-137.0112565936819,86.57804956045702,195.55399709854274,179.84960341632598,-116.68790420914353
658.200852343592,24.51416540839945,33.78350734010999,154.47019552418155,128.48893472392248,77.49924901821414
662.824747587809,-27.280820005589348,4.127522624591194,148.2164890728419,109.30483198008186,-29.94654169512475
667.441619329178,-4.425980115227453,29.972361870944013,184.7924697107155,127.71043494471446,-29.63230250684188
672.05147929628,63.42205991383292,88.49771453655536,228.65506239431656,163.78630870728674,56.181646625468034
676.654339202636,1.3049496593809025,130.79018767178326,231.8902194517018,181.2941383814009,-7.796305466092839
681.250210746879,23.62702523948004,121.34113678977624,176.75866149264542,152.66190158428574,41.66843475385026
685.839105612884,23.950792030186932,49.229673439030236,88.41781371220753,84.1122780710349,15.247492602381705
690.421035469903,-67.21266912635028,-19.200934649445266,12.17735374835734,18.51681941417256,-66.97905605432848
694.996011972729,-81.64576182828083,-5.125190979106044,-19.283106139926872,6.524766369189896,-25.8310673617274
699.564046761832,5.077581790783572,59.77368184512016,-2.277455031325374,65.25585098276214,-16.730472952951956
704.125151463501,56.68867570119141,113.94637035591553,41.85666660477422,160.29724245730816,5.946329556322922
708.679337689982,82.87450352152884,161.21127779922293,82.34171245984285,226.44769071792365,108.93915789927715
713.22661703964,124.13639537440585,180.72404039904166,96.29124930645523,212.36421533732798,64.54267189990713
717.767001097078,139.52412618341566,118.05026807260067,75.70384432129406,119.68278511731607,100.8437243570817
722.300501433285,5.2724547903650745,16.1189892605326,35.25411571831634,8.634360402842773,36.08549553106867
726.827129605783,-66.7710867557541,-10.13175684180931,20.62095105301976,-41.46645878066914,-86.60090110650846
731.34689715877,7.770721829411066,78.80991885420559,78.65754131369474,6.167324932334793,141.13197786417845
735.859815623244,227.06307256206497,227.40336845906785,196.26952934847472,114.85898930234943,296.30574264863327
740.365896517156,426.4404397130224,343.1999197792961,287.53632035342866,203.59832265158812,224.21529867569123
744.865151345544,434.592591444686,332.2050492665829,267.46757089850155,210.96324256874811,234.23200715060318
749.357591600676,307.40466430729964,178.27934228135746,143.26837380596564,138.12965453729416,252.15299319489714
753.843228762184,-80.28732895514514,0.8814816744809661,15.774001809353809,43.285265664950316,-2.3460860318605086
758.322074297195,-55.961017818505624,-56.25033266162029,-18.592116428017626,-1.0908722403662239,-2.9085466016676094
762.794139660487,59.904937659572774,31.78401095935547,53.7850820923107,42.543681379187454,44.19799932344537
767.2594362946,28.191185862060713,187.23826634966682,181.10314300866287,149.54938785080844,-4.651755078775992
771.717975629996,371.16312467139846,299.623936808663,289.6649990416508,243.45108996130463,332.2010674362144
776.169769085182,273.59711449946116,284.3213119549932,310.28636042877037,246.91912322364917,372.9271205266905
780.614828066839,83.74038447160238,157.06410897530287,219.53609522820636,147.80745513969373,296.93849639404976
785.05316396998,31.22225513205265,23.654416537915957,73.23171328827651,20.386317478563207,140.47813077274105
789.484788178057,-175.1580928906114,-12.251925733784063,-19.95748373968807,-34.191925131870605,-119.14043644857314
793.909712063116,-45.808091293826436,65.6957226723926,16.111023983953203,19.858903269884628,47.55550651827134
798.32794698591,90.32385154310754,167.5026832640409,147.928772177803,124.15163632408711,205.54418609121552
802.739504296052,47.76384928462662,207.4922523480668,256.91526298748494,187.78152630464297,249.7110035438047
807.144395332138,79.22008116491173,181.52707485216484,255.2901326822382,167.94735109335392,194.83687499074549
811.542631421878,126.81016283185613,98.56048477767952,162.02749748236258,91.68452942672972,107.79960330327422
815.934223882232,-47.75218457301478,-2.0177410510933242,69.78348756093443,21.054308350153157,36.07222160257712
820.31918401953,-149.12340137524836,-7.258559361155193,54.90039515728307,3.130790283838955,-52.996477477228915
824.697523129624,47.825959529122784,97.12284667323112,113.99336678506891,36.79983863547765,21.915149973550566
829.069252497993,99.89213568005309,163.32477973311128,181.9838141602478,81.22932055369282,108.38857698665936
833.43438339989,-12.176845277805539,131.00562422339792,207.13832195385416,99.46254840220925,68.19667315658403
837.792927100469,-28.637789236488214,100.54114259311095,189.24319027908,88.43169004921205,-16.554084870343793
842.14489485491,61.52764553394624,107.63488733204402,150.08206610807034,64.89118042321897,54.04493606544979
846.490297908544,11.459483805684856,90.73844749452707,103.61884136094082,37.806014949713855,48.23530349588428
850.829147496994,-43.59374486576181,50.69779763775838,55.79175504003139,6.411736805485411,-63.392356295082415
855.161454846289,21.440272851731272,18.614169492044056,6.784993984168491,-21.89656111503801,-19.45981972223109
859.487231173005,-24.918919764850607,-10.594646131427979,-27.244687455542447,-22.203851325972842,-9.689450406534348
863.806487684371,-25.669891682989025,25.237674554501176,8.148189045527829,33.3196687485122,-5.751128285384716
868.119235578417,10.437730746067068,189.4621144259985,139.92990081040142,142.1962986240979,118.01860884699543
872.425486044092,221.31945142928424,345.7909559353045,290.09327567314847,257.7106913977354,435.4944289809755
876.725250261385,421.5406242467646,340.95153683144423,359.67120407093205,323.6176561671686,493.0533247732377
881.018539401459,273.2924955818941,286.0708813786754,351.0151866613936,316.6826510137062,139.26884418251518
885.305364626767,345.0943649322188,308.82517169371255,305.5324747865663,246.37803516347094,218.29343434588037
889.585737091185,366.842434791647,267.91229912208036,208.1145682660174,138.165034138285,376.9976711674262
893.859667940127,50.13568174306267,74.54672117355489,73.25647421956363,36.12015574273654,62.890766786313634
898.127168310677,-107.42029703257201,-40.78518239787897,8.223866525294355,-11.1352074146234,-61.91027758413247
902.388249331707,65.21413362504434,68.90881285644002,59.02671060018622,0.6521867714766927,158.37743395106492
906.642922124003,347.8042164499234,174.18865143341657,112.3232462026698,20.278201385299248,265.0664530483821
910.891197800389,51.447381286158496,84.82265701648367,68.44881477700031,7.311615893327858,21.666717482232755
915.133087465836,-235.14117212658226,-28.170194063700343,-5.419082312901772,-13.080607897369699,-177.86866768667778
919.368602217606,66.29842931656745,20.376813320559755,6.507267083665383,10.957078347103902,71.3698190654213
923.597753145354,99.61428673149949,137.00014227598143,108.09572027503353,86.37070184301757,206.8212443505202
927.820551331259,162.86617148869425,187.317529169485,225.04421751589598,169.6618455301213,172.76486232532835
932.037007850138,261.9649306660393,212.74302123929306,303.8027780768481,214.61792471160032,204.86860785193844
936.247133769581,148.8564851809857,272.5337116080957,320.6072554049346,202.402186942287,122.46261283796107
940.450940150044,313.4079962802039,276.5139942832958,264.78730283515523,144.01248883076366,187.56728490387215
944.648438045002,81.66189541688647,142.49220201333935,167.60115700109674,78.5670377415865,61.2918242712755
948.839638501038,-27.878364482109703,8.440597381912301,107.8934295430825,54.59420855314781,-94.52959331753374
953.024552557976,322.32873091698065,56.553888175867485,137.66598707304166,85.31466363490168,50.13942678354998
957.203191249007,216.49340084671147,206.85995256310878,218.757172399532,127.93548574211351,51.118928184545624
961.375565600785,280.4580106869272,231.1368314337393,265.37607380703525,126.80665033134277,146.33101660537068
965.541686633571,215.2689076707399,104.84276198827376,236.9312460889056,74.44581075493718,70.49066974526625
969.701565361323,-43.50656573595653,12.260031221220896,168.63532013046216,17.750579433210902,-104.34510783653738
973.855212791839,163.45245599233527,32.630173913781626,119.72302798116564,7.55131489962074,62.7675321548907
978.002639926852,26.57793719527521,67.4470377485899,117.35404409018324,53.182530138396544,53.79450463710884
982.143857762165,-57.85399327208464,55.69869389867845,146.31800343270345,120.16370386422346,69.15388560638915
986.278877287752,198.7090180587674,31.69044413157306,165.5670714667783,156.64151199959238,146.54303203192384
990.407709487881,67.7023416008104,18.019307840584183,140.42511059145374,129.75499693629746,-41.25230119867254
994.53036534123,32.87466957225139,-3.0491935426049253,73.293977550528,54.436369565786464,-1.7566137488777755
998.646855820994,-27.639344179585407,-38.90146388260963,7.030508038709776,-11.55665889164598,-1.324138671560135
1002.75719189501,-214.74715244948058,-32.398680257976054,4.445575025052435,-9.907370080509281,-168.1708053601082
1006.86138452586,27.994660889513156,91.43236550702909,93.63751641573086,69.80612746126337,31.698803629043994
1010.95944467101,127.75116731245704,294.67795756852337,216.58293880213512,178.32209334540556,238.20374307032213
1015.05138328288,11.732238971068533,424.18513404456746,280.00506371306835,250.21155017533349,286.2721616367986
1019.13721130899,59.483827685538856,379.3113100693686,260.0958827487878,262.5081927435177,327.61343221945936
1023.21693969209,61.18545611215136,247.48837121762563,212.14784043135006,246.12468208519934,253.18154392114883
1027.2905793702,-8.566211431155665,203.9151814128381,194.58611252253561,244.55048662951327,192.55794127129758
1031.3581412768,57.25109449719439,271.1798994269825,214.93809430296966,270.8248257512408,328.0187340483899
1035.41963634092,197.17364245851962,317.23221542666965,237.47732049927063,303.9213279402753,388.4511511869558
1039.47507548723,65.69210859977574,292.6311670731433,235.39157550417184,316.2499526009573,162.95551836120148
1043.52446963617,-67.47548730463306,274.0738602757156,219.38367364921504,291.9311398715896,53.69373886974384
