Wavelength,blank_rep1_acc3_I1
402.3169694,264.00566403031735
407.3303446,111.9623161336931
412.3360492,-35.93684520130955
417.3340958,-108.54879074012024
422.3244971,-69.93777063721609
427.307266,111.03180769239043
432.2824151,286.99042373643715
437.2499569,480.9373697543833
442.2099043,470.2405980573312
447.1622697,-44.28778143445015
452.1070657,74.52365493451907
457.044305,129.86017800818263
461.9740001,-98.8984743261044
466.8961635,-5.057443236670224
471.8108076,-219.926709333693
476.717945,-79.67041598961805
481.6175882,178.80123058412937
486.5097495,112.77436565393873
491.3944414,64.77581829559495
496.2716763,60.09895207608133
501.1414665,49.15672674994494
506.0038244,172.83063511826185
510.8587623,35.874196629309154
515.7062925,-100.95710232151578
520.5464274,79.02688372923876
525.3791792,77.97105604806893
530.2045601,87.53482019751937
535.0225824,-249.29818165623146
539.8332583,-20.772668416750093
544.6366,132.79371155137414
549.4326196,-102.99072741158125
554.2213293,481.32625780730814
559.0027413,48.52057194088593
563.7768676,-97.30781652086262
568.5437204,656.7565042201004
573.3033118,284.54977568627874
578.0556537,-4.8062422199636785
582.8007583,291.3038319910447
587.5386375,304.7710181184739
592.2693034,59.580407800840476
596.9927679,194.0997885361612
601.7090431,302.9711552936842
606.4181409,84.45520381059032
611.1200732,-59.163471688483696
615.814852,-10.431781365061397
620.5024891,175.45144213176718
625.1829965,-63.16278268666247
629.8563859,302.518114138129
634.5226693,544.4328787076774
639.1818586,9.04110804600532
643.8339654,137.9207071592682
648.4790017,-1.221564884592226
653.1169792,48.033537725557835
657.7479097,49.77038461077973
662.3718049,-265.9056703199112
666.9886767,-29.361002489771636
671.5985366,-59.141552343466174
676.2013965,81.13243054089071
680.7972681,23.011869189345816
685.386163,-12.837579041459321
689.9680928,25.214297257209182
694.5430693,-8.995975573974647
699.1111041,259.7154239926458
703.6722088,54.49430532449878
708.226395,164.36267417922681
712.7736744,239.4757240922645
717.3140584,122.83913015301732
721.8475588,27.75669982299405
726.3741869,-125.63700551372676
730.8939545,45.44483785333796
735.406873,232.68766897386558
739.9129539,339.68651613940347
744.4122087,315.46112866046496
748.9046489,229.84088269038875
753.3902861,-194.3837241811907
757.8691316,23.553689003256295
762.341197,96.03661906285015
766.8064936,36.357615793063815
771.265033,711.8898930844589
775.7168264,424.666763274854
780.1618854,280.2450645220524
784.6002213,218.97906382628207
789.0318455,-200.47119195630512
793.4567694,92.5384510866752
797.8750043,239.019279431006
802.2865616,10.194490734927967
806.6914527,57.97407119223317
811.0896888,92.65651287298533
815.4812812,-36.916823695024505
819.8662414,-37.1487490472864
824.2445805,-15.649420254318102
828.6163098,197.23381404129577
832.9814407,88.65667340639448
837.3399844,-177.4425695808859
841.6919522,97.85618452609742
846.0373552,98.56454754494189
850.3762048,-114.09834069971294
854.7085122,215.0004129596291
859.0342885,258.7772368896567
863.353545,-40.50388177970126
867.6662929,123.85724587554432
871.9725434,393.51867988158483
876.2723076,584.2293666014066
880.5655967,401.2257171070087
884.852422,352.4098178519507
889.1327944,615.0134691885651
893.4067253,66.95372471857445
897.6742257,-237.3530221867004
901.9353067,273.02719173876176
906.1899795,312.8235937194968
910.4382551,67.80649693104715
914.6801448,-157.54731954333147
918.9156596,-13.022913738004718
923.1448105,107.07271788483195
927.3676087,69.2034008787632
931.5840652,309.9574210036335
935.7941911,-56.70044461215002
939.9979975,123.13969325662401
944.1954954,116.5833112956534
948.3866958,-245.32616588900783
952.5716099,86.96747879149734
956.7502486,-10.96137991514479
960.9226229,86.43333646439896
965.088744,31.640825260479687
969.2486227,-83.81947844813112
973.4022701,30.332796904665884
977.5496973,-31.144928541856643
981.6909151,-39.951988360337054
985.8259346,62.82377073344651
989.9547668,27.006905880843988
994.0774227,31.25709590307997
998.1939132,90.91810609620552
1002.304249,-250.1871902205985
1006.408442,-110.1236563615712
1010.506502,-73.6015890786457
1014.598441,83.05902244917888
1018.684269,404.8787875748585
1022.763997,135.09066294772674
1026.837637,75.00474714224947
1030.905199,-1.745409986220693
1034.966694,101.2843241242008
1039.022133,88.32806788624112
1043.071527,-157.5875598731891
1047.114887,60.375406075592764
1051.152224,37.06416305814491
1055.183549,-80.46345615973587
1059.208872,107.11730598996837
1063.228205,-249.66323009275584
1067.241558,-168.6684011319685
1071.248943,258.60426620539147
1075.250369,70.53573825761305
1079.245849,312.2307625121375
1083.235393,288.6791064059489
1087.219012,33.56391539165634
1091.196717,302.9986203321587
1095.168518,250.65580384876012
1099.134427,2.160456492747471
1103.094454,48.25099138891346
1107.04861,53.98410019993207
1110.996907,87.08640958304568
1114.939354,81.73786426663537
1118.875963,30.893436491702232
1122.806745,271.5127100790687
1126.731711,-92.50474242960809
1130.650871,-244.19327862885802
1134.564236,346.78852893659496
1138.471817,191.05226992656026
1142.373625,134.3907029976126
1146.269671,205.6259493506077
1150.159966,110.51160594041176
1154.04452,362.9149007704673
1157.923344,-34.006588046342586
1161.79645,-25.49067572865897
