Name,060624_Si_Calibracion.csv,,,,
Date,06/06/2024 17:38,,,,
Tag,060624_Si_C,,,,
Comment,,,,,
Peak raman shift[cm-1],520.3599736,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7368217,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
596.8063142,10289.2,10311.2,10299.4,10395.6,10460
601.5225894,10551.4,10568.4,10608,10647,10636.2
606.2316872,10212.6,10172.2,10177.8,10252,10313
610.9336195,10252.8,10229.6,10188.8,10252.6,10381
615.6283982,10234.6,10345.4,10310,10406.6,10388.8
620.3160353,10544.2,10599.2,10562.4,10651.6,10623
624.9965427,10311.2,10331.6,10285.6,10400,10370.8
629.6699321,10810.8,10689.4,10798.6,10807,10824.6
634.3362156,11023.2,10979.8,11091,11061.2,11201.6
638.9954048,10350.4,10354.8,10354,10437.4,10476.8
643.6475116,10669,10635.6,10674.4,10709,10775.4
648.2925479,10433.6,10420.6,10417.6,10502.6,10468
652.9305254,10335,10400,10366.4,10369.8,10476.6
657.5614559,10593.2,10606.8,10592.8,10714.2,10668.6
662.1853511,10007.8,9965.6,10042.2,10036,10166.8
666.8022229,10305.6,10328.8,10291,10414.4,10431
671.4120829,10308.4,10330.2,10382.2,10356.2,10449
676.0149428,10429.8,10509.2,10590.6,10586.4,10663.8
680.6108143,10492.4,10575.8,10557.4,10649,10545.6
685.1997092,10348,10341.2,10417.6,10373.8,10561
689.781639,10453.6,10472,10466.8,10615,10657
694.3566155,10299.8,10279.2,10311.4,10379,10402.2
698.9246503,10793,10752.6,10792.4,10751.6,10879
703.485755,10365.6,10498.2,10444.2,10434.6,10564.2
708.0399413,10679.4,10685.4,10612.6,10601.6,10685.4
712.5872206,10761.4,10734.2,10775.2,10766.6,10732.2
717.1276047,10476.6,10456,10474.2,10480.8,10626.2
721.661105,10467.4,10589.2,10587.2,10504.2,10600.2
726.1877332,9979.6,10066,10034,10093,10085
730.7075007,10564.6,10626.6,10649.4,10584.4,10663
735.2204192,10505,10587.6,10541.6,10536.8,10588.4
739.7265001,10988.6,11035.6,11030.2,11035.4,11070.8
744.2257549,10458.6,10563.2,10570.8,10553.8,10664.6
748.7181952,10528,10599.8,10601.6,10617.2,10679
753.2038323,10170.8,10286.4,10186,10291.2,10244
757.6826779,10075.2,10053.8,10104.2,10103.6,10136.8
762.1547432,10535.8,10580.2,10606.2,10666.8,10627.4
766.6200399,10106.2,10170.6,10241.2,10255,10250.8
771.0785792,11447.2,11488.2,11546.4,11564.8,11522.4
775.5303726,10510.4,10508.2,10627.2,10630,10639.2
779.9754316,10895.2,10944,10987.6,11036.6,11049
784.4137675,10302.4,10342,10259.8,10365.6,10339
788.8453917,10230,10311.8,10273.4,10256,10263.4
793.2703156,10141,10208.4,10302,10304.2,10330.2
797.6885505,10802.8,10768.6,10810.2,10869.2,10914.2
802.1001079,10179.4,10305,10259.4,10293.6,10335
806.5049989,10372,10493.8,10483.8,10501.8,10560.6
810.903235,10427.4,10499.8,10441.8,10491,10589.6
815.2948274,10380.2,10383.6,10437,10454.2,10484.8
819.6797876,10125.4,10153.8,10130.8,10176.8,10201.4
824.0581267,10393.2,10438.8,10479.6,10457.4,10455.2
828.4298561,10553.4,10499.6,10591,10658.8,10533.8
832.794987,10448.8,10530,10494.6,10622.6,10549.2
837.1535307,10229.4,10203.2,10296.6,10197.6,10382.2
841.5054984,10506.6,10509.4,10536.2,10496,10598
845.8509015,10342.2,10413.4,10397.8,10479,10472
850.1897511,10295.8,10263.2,10340.4,10346.4,10372.6
854.5220584,10308.4,10364,10385.8,10448.6,10367.8
858.8478347,10630.8,10662.8,10646.2,10628.8,10733.8
863.1670912,10057.8,10013.8,10098.4,10086.8,10072
867.4798391,10413.6,10521.4,10517.2,10553,10529.2
871.7860896,10766.6,10779.2,10757,10752.8,10862.2
876.0858538,11065,11079,11209.8,11208.6,11289.8
880.379143,10724.6,10712.6,10789.6,10820.4,10801.4
884.6659682,10677.6,10815.8,10791.2,10783.8,10846.8
888.9463407,11158,11147.6,11270,11284.4,11223.6
893.2202715,10177,10147.2,10270,10302.2,10253.8
897.4877719,10054,10167.6,10117.8,10225,10155.2
901.7488529,10459,10545.2,10521.2,10543.6,10561.6
906.0035257,10755,10801.2,10822.2,10801,10883.6
910.2518014,10160.4,10261.6,10279.4,10270.2,10358.8
914.493691,10261.4,10385.8,10365.6,10402.4,10383.4
918.7292058,10044,10114.2,10062.2,10160,10191.6
922.9583567,10543.2,10672.6,10661.4,10750.8,10747.8
927.1811549,10336.8,10398.4,10483.4,10538.4,10499.4
931.3976114,11004,11099,11054,11084.2,11084.4
935.6077373,10505.2,10534.2,10523.6,10567.8,10635.4
939.8115437,10731.6,10710.8,10820,10819.4,10892.6
944.0090416,10638.4,10748.8,10799.8,10832.2,10810.2
948.2002421,10064.8,10061,10012.6,10043.6,10021
952.3851561,10812.4,10793.6,10720.6,10909.6,10853.4
956.5637948,10355,10437.8,10378.6,10421,10407.6
960.7361692,10967.2,10973.4,10939.4,11004,11052.4
964.9022902,10421.4,10453.6,10436.4,10498.8,10460.8
969.0621689,10514.2,10556,10511,10511.8,10542.2
973.2158164,10449.8,10445.2,10499.6,10537,10551.2
977.3632435,10243.2,10314.4,10249.6,10320.4,10364.4
981.5044613,10462.2,10479.8,10409.8,10533.8,10592.6
985.6394808,10323,10329,10373.2,10352.6,10429.8
989.768313,10583.4,10575,10588.2,10660,10690.2
993.8909689,10164.4,10143.4,10271.6,10251.4,10192.8
998.0074594,10530,10589.8,10607.2,10662.6,10607
1002.117795,9816.8,9785.6,9862.8,9828.4,9850.6
1006.221988,10250.4,10311.8,10327.4,10381.2,10454.4
1010.320048,10056.4,10114.6,10172.4,10124.2,10288.8
1014.411987,10522,10583,10648.8,10602.6,10651.4
1018.497815,10748.6,10898.6,10891,10957.6,10993
1022.577543,10372,10424.6,10504.6,10434,10464.2
1026.651183,10253.4,10289.8,10394.6,10427.2,10413.2
1030.718745,10197.6,10228.8,10283.2,10231,10273
1034.78024,10603.6,10619.2,10692,10650.6,10700.6
1038.835679,10344.8,10313.4,10429.8,10326.2,10415.2
1042.885073,10092,10218,10193.8,10143.6,10130.8
1046.928433,10394.6,10461.6,10448,10539.2,10522.6
1050.96577,10373.6,10325.8,10363.2,10410.2,10436.4
1054.997095,10062,10139.4,10052.6,10154.6,10265.4
1059.022418,10030.4,10048,10135.8,10055.2,10137.4
1063.041751,9742.6,9886.4,9831,9911.6,9928
1067.055104,9837.4,9764.6,9825,9864.6,9864.8
1071.062489,10681.4,10684.6,10699.8,10785,10768.2
1075.063916,10063.2,10118.6,10101.8,10174,10157.2
1079.059396,10804,10905.8,10909.8,10848.6,10925.4
1083.04894,10398,10494.6,10427.2,10497.4,10588.4
1087.032558,10299.6,10363.2,10384.6,10499.6,10458.6
1091.010263,10414.4,10526.8,10548.2,10544,10531
1094.982064,10438.8,10500.2,10521,10563.4,10578.8
1098.947973,10246.8,10232.6,10296.6,10381,10348.8
1102.908,10410.4,10435,10466.6,10487.6,10508.6
1106.862156,10269.4,10345.8,10368.8,10437,10354.8
1110.810453,10485.2,10612.4,10551.6,10531,10534.4
1114.7529,10352.8,10493.4,10546.6,10411.4,10485
1118.689509,10228.6,10274.4,10282,10384.6,10275.6
1122.620291,10603,10592.2,10614.8,10584.6,10650.2
1126.545257,9983.8,10065.2,10082.4,10142.2,10209
1130.464417,10005.6,9972.2,10039.8,10120.4,10091.8
1134.377782,10730.2,10742,10783.2,10737.4,10785.6
1138.285363,10509,10586.6,10633.6,10680.4,10665.8
1142.187171,10572.2,10439.4,10540.4,10616.6,10599.2
1146.083217,10674,10667.4,10607.8,10738.8,10687.6
1149.973512,10292,10278,10306,10391.8,10330.4
1153.858066,10730.6,10781.8,10655.8,10707.6,10804.2
1157.736891,10211.8,10274.8,10226.8,10239.4,10273.6
1161.609996,10036.8,10147.4,10250,10216.2,10209.6
1165.477394,10666,10708.2,10699,10725.8,10828.4
1169.339095,10386.2,10394.6,10402,10518.2,10462
1173.195109,10750.6,10772.2,10799.2,10857.6,10789.8
1177.045448,9925.2,9942.6,9969.4,10009.2,9971.2
1180.890122,10030.4,10052.8,10032.4,10067.4,10005.4
1184.729143,10370,10355.8,10454,10463.6,10539.4
1188.56252,10407,10447.4,10464.6,10441.2,10471
1192.390266,10141,10182,10211.8,10219.8,10302
1196.21239,9940.8,10013.2,10032,10050.6,10031.6
1200.028904,10033,10107.6,10076.8,10214.6,10202.2
1203.839818,9836.6,9933.8,9962.8,10013.2,9949.4
1207.645143,9567.4,9551,9600.8,9642.4,9603.6
1211.444891,10135.8,10185.2,10253.8,10308.2,10258
1215.239071,9872,9882.4,9851.4,9912.4,10031.6
1219.027696,11304.2,11301,11392.2,11330,11350.6
1222.810775,9938.8,9969.2,10070.4,10039.4,10041
1226.588319,9963.2,9996.2,10024.4,10002.8,9999.6
1230.36034,10245,10257.6,10304,10325.4,10318.8
1234.126848,10323.6,10388.8,10393.4,10478,10399
1237.887854,10037.6,9974.8,10116.6,10191.2,10165
1241.643368,10083.4,10187.2,10115.6,10137.4,10164.8
1245.393403,10273,10352.2,10353.8,10460.6,10532.4
1249.137968,10284.6,10427.8,10423.8,10412.6,10487.4
1252.877074,9595.6,9586.6,9711.8,9707.6,9694.6
1256.610733,10017.4,10099,10100.2,10120.6,10220
1260.338954,10087.2,10038.4,10090.8,10125.2,10049.8
1264.06175,10134,10116.8,10223.2,10086.2,10183.2
1267.77913,9980.8,10055.6,10032.4,10100.6,10145
1271.491106,9853.4,9836.4,9845.4,9894.6,9944.2
1275.197689,9675,9746.8,9788.8,9824.6,9747.8
1278.898889,10356.2,10330.8,10369.8,10353.6,10387.4
1282.594717,10400.8,10481.4,10354.8,10415.4,10462.6
1286.285184,9940.6,9981,9938,10044,10015.6
1289.970301,9866.2,9827,9889.2,9916.4,9990.8
1293.650079,10057,10035.2,10075,10087.2,10142.6
1297.324529,10445.2,10530.6,10531.8,10598.8,10632.6
1300.993661,9827.8,9892,9929,9965.8,9965.6
1304.657487,10226.4,10277.8,10212.8,10223,10246.6
1308.316017,10277.2,10313.2,10322,10383,10403.2
1311.969263,10302,10298,10276.2,10403.8,10425
1315.617234,9881.6,9837.8,9903,9863.8,9912.2
1319.259943,9977.8,9928,9994.8,10052.6,10050
1322.897399,10638,10684.2,10711.8,10774.2,10731.4
1326.529614,10163,10148.2,10310.6,10238.8,10246.4
1330.156599,10751.8,10834.4,10824.6,10785,10756.2
1333.778365,10198,10125.2,10239.6,10175,10227.4
1337.394922,10269.2,10324.8,10371,10310.8,10375.6
1341.006281,10036.6,10041.8,10100.8,10129.4,10149.2
1344.612454,9943.8,10052,9988.4,10070.8,10091.4
1348.213451,9834.2,9870.8,9986.4,9942,9908.4
1351.809283,9850.4,9832.8,9949.8,9971.8,10005.2
1355.399961,9914.8,9875.8,9943.2,9982,9978.2
1358.985496,10518.4,10471.6,10513.6,10550.6,10579.8
1362.565899,10088,10155.4,10144.4,10185.2,10234.2
1366.141181,10121.6,10210.6,10190.4,10287,10287
1369.711353,10189.2,10220,10209.6,10254.8,10306.6
1373.276426,10178.4,10263.2,10287.6,10305.6,10301.6
1376.83641,10396,10335.4,10326.2,10449,10428.2
1380.391317,10242,10190,10257.8,10272,10310
1383.941158,10098.2,10110.4,10109,10180.8,10132.6
1387.485943,10202,10169,10231.6,10175.6,10268.8
1391.025684,9925.8,9918.4,10012.4,9957,10025
1394.560391,9887.4,9869,9900,9917.2,10031.4
1398.090076,10107,10096.6,10149.4,10127,10154.4
1401.614749,10281.8,10324,10339.4,10382.4,10370
1405.134422,10133.6,10213.2,10196.2,10191,10163.8
1408.649105,9695.6,9824,9777,9942,9867.4
1412.15881,9442.8,9530.4,9509.6,9534.8,9550.6
1415.663548,9848.6,9886.8,9861.8,9847.6,9931
1419.163328,10379.2,10415.2,10414.2,10381.2,10434
1422.658164,9956.4,9968.2,9919,9992.4,10010.2
1426.148065,9889,9911.8,9892,9918.4,9968.8
1429.633042,10380.4,10356.6,10419.2,10466.2,10466.4
1433.113107,9799.8,9763.2,9769.8,9865.2,9842.8
1436.588271,9834.2,10018.2,9918.6,9965.4,9977.2
1440.058545,10094,10103.6,10202.6,10207,10098.6
1443.523939,9837.8,9830,9939.8,9856.2,9931
1446.984465,9670.4,9780.8,9823.6,9796.2,9842
1450.440134,9728.6,9813.4,9862.4,9813.4,9877
1453.890957,10328.8,10252.4,10269.4,10377,10383.2
1457.336945,10193.6,10247.4,10244.2,10279.8,10256.4
1460.778109,10318,10371.8,10373.6,10457.8,10498.8
1464.21446,10454.2,10480.2,10561.6,10570.6,10526
1467.646009,10056.4,10040.6,10134.2,10092.4,10189.6
1471.072768,10148.2,10127.4,10153.2,10292.2,10278.6
1474.494748,9874.8,9878,9923.6,9944.8,9952.4
1477.911959,10594.6,10554,10584.4,10678.6,10670.6
1481.324412,10272.4,10314.2,10312.8,10303.4,10379.6
1484.73212,10100.8,10229.4,10190.2,10359.4,10293
1488.135093,9896.2,9986.2,10053,10051.4,10024
1491.533342,10208.6,10194.6,10233.2,10273,10347.4
1494.926878,10812.2,10860.2,10878.4,10866.8,10919.6
1498.315713,10089.6,10159.6,10143.6,10169.6,10193.2
1501.699857,10197.4,10289.2,10220.4,10248.2,10312.2
1505.079322,9917.8,9927,9850.2,9957.4,9981.6
1508.454119,10221.2,10209,10274,10273.2,10261.4
1511.82426,10259.2,10319.4,10291.6,10346.8,10401.8
1515.189755,10111,10240.4,10214.4,10193.6,10241.6
1518.550615,10075,10058.8,10084,10094.2,10073.2
1521.906853,10238.2,10301.8,10309,10347.6,10305.4
1525.258478,9861,9901.6,9911.6,9893,9957.2
1528.605503,9920.8,9903.2,9939.2,9922.2,10011
1531.947938,10488.2,10539.2,10595.2,10510.2,10602.4
1535.285795,10176.6,10176.2,10164.2,10108.6,10256.2
1538.619086,10196.6,10184.6,10132,10234.2,10233
1541.94782,10683.4,10711.8,10745,10806.2,10871.8
1545.27201,9903.4,9891.4,10001.2,9986.6,9956.2
1548.591667,11094,11107,11107.2,11163.2,11237.4
1551.906802,10507.2,10635.4,10611,10651.2,10698.2
1555.217427,9898.2,9866.4,9914,9952.4,9976.4
1558.523552,9591.4,9641.6,9591.8,9635.2,9672.4
1561.82519,9981.6,10063.4,10025.6,10065.8,10050
1565.122351,10196.8,10308.8,10246,10341.6,10242.8
1568.415047,10418.8,10475.2,10525.2,10559.4,10529.2
1571.703289,10213.6,10240.6,10163.2,10332,10306.8
1574.987088,10175,10187,10271,10182.2,10253.8
1578.266456,10042,10140,10068,10138.8,10261.2
1581.541405,10558,10499.8,10520.6,10683.2,10642.6
1584.811945,9953.6,10108.6,10052,10124.6,10203.4
1588.078088,10134.6,10245.6,10164,10196,10162
1591.339845,10120,10097.8,10087.2,10219,10124.4
1594.597228,10012.8,10076.2,10124,10188.2,10161
1597.850249,10033.4,10050,10039.2,10091.6,10145.2
1601.098918,10063,10120.4,10088.6,10109.4,10180.2
1604.343248,10381.4,10467.6,10524.2,10537,10687
1607.583249,10255,10153.6,10239,10302.6,10293.2
1610.818933,9848,9870.2,9867.4,9925.4,9861.2
1614.050311,10317.2,10272.4,10391,10429.2,10523.4
1617.277396,9819,9866.4,9806.4,9872.2,9838.4
1620.500198,10194.8,10122,10218,10287.6,10226.6
1623.718729,9809.2,9916.6,9830,9913.6,9962.6
1626.933,10028.4,9994.8,10023,10117.2,10099.8
1630.143024,9836.6,9893.4,9862.6,9941.2,9855.8
1633.348811,10114.6,10155.2,10166,10187.2,10182
1636.550374,9906.8,9928.8,9899,9972,9977
1639.747723,10087,10144.6,10146.4,10205.4,10178.8
1642.94087,10295.2,10246.4,10238.4,10309.6,10406.8
1646.129827,9749.4,9780.4,9750.8,9769.6,9790
1649.314606,10538.2,10601.2,10503.2,10617.6,10684.4
1652.495217,9936.8,9937,10075.2,10003,10007.6
1655.671674,9614.4,9676.4,9620.8,9713.2,9710.2
1658.843986,9982.2,10045.8,10038.8,10093.8,10155
1662.012167,10581.6,10600.6,10563,10640.8,10674
1665.176227,9787,9791.6,9824.6,9822.8,9914.8
1668.336179,9940,10012.6,10046,10099.6,10111.8
1671.492033,10361.4,10322.8,10367.2,10370.2,10390.6
1674.643802,10402.4,10334.4,10436,10404.2,10389
1677.791497,9934.4,9982.2,9966.8,9980.6,10037.4
1680.93513,10046.2,10059.2,10068,10081,10132.2
1684.074713,10058.2,10070.8,10140.4,10156.4,10129.8
1687.210257,10030.4,9995,10056.8,10155.6,10158.6
1690.341775,9968.6,9972,10050,10034.8,10068
1693.469278,9791.8,9845.8,9789.4,9913.6,9911.4
1696.592777,9837.8,9819.8,9918.4,9794.2,9926.8
1699.712284,10043.6,10048,10048.6,10144.6,10144.6
1702.827813,10108,10069.4,10146.8,10175.8,10150
1705.939373,10110.6,9953.6,10025.2,10095.4,10109.6
1709.046977,10371.6,10460.2,10493.2,10546,10456.8
1712.150636,10032.8,10074.8,10091.6,10106,10135.6
1715.250364,10027.2,10073.4,10084.8,10144.8,10150.2
1718.346171,10408.4,10372.6,10401.8,10442.2,10485.8
1721.438069,10217.6,10255.8,10254.4,10266.2,10279.8
1724.52607,10252.8,10288.6,10293,10363.6,10387.6
1727.610186,9731.4,9762.6,9840,9791.6,9776.4
1730.69043,10072.4,10132.6,10084.8,10100,10158.8
1733.766812,9971,9885,9911.8,10009.6,9961.4
1736.839345,10218.2,10267.4,10270.6,10324.6,10452.4
1739.908041,9872.4,9940.6,9930,9997.8,9941
1742.972912,10897,10826,10869,10951.8,10895.8
1746.033969,10108.2,10193,10154.4,10258.4,10164.2
1749.091225,10067.2,10123.8,10181.6,10146,10162.8
1752.144692,10098.8,10191.8,10166.8,10237.6,10284.8
1755.194382,10207.8,10236,10235,10246.8,10382.2
1758.240306,10230.4,10176.6,10212.8,10267.6,10290
1761.282477,10262.8,10258.8,10235.8,10233.2,10304
1764.320907,10070,10119,10177.2,10125.8,10188.4
1767.355607,9837.2,9861,9838.8,9913.8,9888.4
1770.386591,10403.6,10476.2,10504.4,10504.2,10500.8
1773.41387,10356.4,10508.4,10516.8,10475.6,10541.6
1776.437456,10136.6,10157.6,10148,10205.4,10249
1779.457361,10089,10111,10148.6,10151.2,10181.2
1782.473598,10622.6,10650.2,10736,10716.2,10759
1785.486179,10498,10570,10614.6,10648.6,10706.8
1788.495115,10528.2,10551.2,10569.6,10506.8,10561
1791.500419,10063.4,10122.4,10197.2,10046.2,10212.8
1794.502103,10059.4,10026.8,10114.4,10092.6,10123.6
1797.50018,10478,10577.4,10535.2,10616.2,10589
