Name,HS_AAB_P2_750_5_5_H_S3.csv
Date,2024/09/30 12:41:11
Tag,HS_AAB_P2_750_5_5_H_S3
Comment,
Peak raman shift[cm-1],367.061060192105
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.722040841446
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
346.713478559637,15622.8,15342.2,15589,16335.2,15311.8
351.81207977484,15956.6,15527.4,15791.4,16702.8,15624.4
356.902868441672,15635.6,15264,15539.8,16514,15322
361.985857582014,15765.6,15421.4,15605.4,16499,15403.6
367.061060192105,15928.6,15610.8,15932.4,16674.4,15642
372.128489242741,15796.2,15285.8,15629.6,16525,15358.2
377.188157679431,16004,15566,15784.8,16606.6,15712.2
382.240078422621,15666.4,15319,15539.4,16407.6,15356.4
387.28426436785,15587,15217.4,15238,16176,15137.6
392.320728385954,15585.6,15358,15595.6,16271.2,15284.2
397.349483323229,15259.4,14998,15255.8,15991.2,14932.2
402.370542001634,15514.8,15242.2,15480.4,16123.8,15284.2
407.383917218955,15417.4,15160.8,15179.4,16108,15007.4
412.389621748998,15226.6,15001.6,15152.8,15857,15041.8
417.38766834176,15013.2,14695.4,14919.8,15609,14735.6
422.378069723627,15111.2,14870.4,15094,15882.4,14803
427.36083859752,15196.6,14928.6,15119.4,15812.4,14785
432.33598764311,15439,15246,15384.8,16044.8,15195.2
437.303529516963,15590.2,15269.4,15517.8,16206.2,15255.4
442.263476852746,15553,15317.4,15661.6,16230.8,15337.4
447.215842261372,15021,14676.4,14983,15614,14736.4
452.160638331203,15090.8,14671.4,15065,15573.2,14737.8
457.09787762821,15168,15012,15021,15713.6,14792.6
462.027572696154,14759.6,14446.6,14639.2,15260,14398
466.94973605674,15059.6,14818.4,15074.4,15613.4,14741.6
471.864380209825,14640,14239.2,14503.6,14971,14243.6
476.771517633557,15068,14685.6,14825.2,15324.8,14654
481.671160784555,15013.2,14671.6,14783,15357.2,14614
486.563322098094,15203.2,14899,14976,15537,14939.4
491.448013988253,14990.4,14690.4,14893,15408.8,14625
496.325248848098,14947.8,14608.6,14788.4,15303.4,14565.4
501.19503904985,14875.8,14549.4,14777.8,15304,14565.8
506.057396945047,15147.4,14916.6,15012,15612.4,14797.8
510.912334864715,14852.4,14656,14792.2,15266,14631
515.759865119533,14452.6,14285,14314,14772.6,14181.8
520.599999999993,14928.8,14600.8,14696.6,15207.8,14626.2
525.43275177658,14686.6,14404.2,14536.8,15061.2,14396.2
530.258132699922,14763.4,14423.6,14651.4,15294.8,14485.8
535.076155000963,14341.4,14175.2,14175,14754.8,14098.8
539.886830891122,14564.8,14346.4,14456.2,15004,14335
544.690172562456,14601,14374.6,14532.6,15140,14388.8
549.48619218782,14376,14063.8,14283.8,14755.4,14101
554.274901921033,15028,14828,14989.6,15553,14853.6
559.056313897039,14378.4,14141.8,14310.8,14859.2,14152.4
563.830440232063,14210.2,14012.4,14081.8,14589.8,13860.2
568.597293023768,15042.8,14760.8,14826.6,15379.6,14666.6
573.356884351426,14571.2,14417.8,14549,15109.4,14408.4
