Name,AAB_4 ATP_10^-8M_750_5_5_L_S1.csv
Date,2024/09/24 11:09:48
Tag,AAB_4 ATP_10^-8M_750_5_5_L_S1
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
-93.0717810017486,14523.8,14515,14466.2,14577.4,14561
-87.2943736183952,13172.2,13100.4,13079.8,13127.6,13163.6
-81.525937530123,12962.6,12962.2,13017,12962,13035.8
-75.7664569369681,13061.2,13040,13053.4,13068.8,13057
-70.0159160827698,13079.4,13132.8,13122.4,13141.8,13129.6
-64.2742992549156,12830.2,12722.8,12858.6,12780.6,12781.2
-58.541590784067,12951,12818.8,12764,12964.2,12789
-52.8177750439099,13069.4,13037,13027.8,13021.4,13025.6
-47.1028364508675,13107.2,13139.8,13109,13151.2,13116.6
-41.3967594638525,13182,13175.2,13137.6,13203.6,13191.8
-35.6995285840112,13661.2,13654,13669.4,13635.4,13619.4
-30.0111283544538,13691,13776.4,13747.2,13756.4,13757.2
-24.3315433599946,13387.6,13351.8,13344.8,13425.4,13370.8
-18.6607582269062,13368.6,13424.2,13349.4,13415,13390.6
-12.9987576226504,13173.8,13182.4,13231.6,13182,13145.4
-7.34552625563083,13032,12858.8,12927.4,12931,13011.2
-1.70104887494199,12710,12726.4,12732.2,12775.8,12766.4
3.93468972989649,13510.8,13426.6,13380.4,13432.2,13365.8
9.56170472916892,12737.6,12777,12739.4,12751,12777.4
15.1800112532474,13185.8,13214.4,13197.4,13065.6,13128.2
20.7896243928062,12815.8,12723.6,12748.6,12803.8,12812.4
26.3905591990933,12842.6,12856,12866.8,12856,12836
31.9828306841591,13365.2,13346.4,13265.2,13260.6,13293
37.5664538211258,13066.8,13231,13086.8,13137.2,13137
43.1414435444076,12723.8,12723,12717,12709.4,12778.6
48.7078147499742,12814.2,12676.8,12814.4,12796.8,12817.4
54.2655822955694,12616.8,12638.4,12794,12657.4,12677
59.814761000991,12400.4,12345,12268.6,12343,12392.8
65.3553656482818,12344.6,12304.4,12222.6,12259,12290.4
70.8874109820135,12755.8,12638.4,12755,12650,12651.2
76.4109117094977,12903.6,12765.8,12811.4,12878,12773
81.9258825010347,12238.2,12161.4,12162.4,12178.2,12235.6
87.4323379901416,12702.6,12709.8,12744.6,12740,12720.6
92.9302927737936,13037.4,13119.4,13053.2,13188.4,13095
98.419761412657,12393.4,12334.4,12374,12434.4,12416.6
103.900758431322,12684.6,12757.6,12648,12655,12612.2
109.373298318533,12558.8,12400.6,12448.2,12436.8,12528.4
114.837395527415,12477.4,12485,12498.8,12532.4,12476.6
120.293064475716,12693.6,12741,12733.8,12764.4,12680.4
125.740319546025,13628.6,13672.6,13596.4,13623.8,13629.2
131.179175085999,12412.2,12415.6,12428,12338.8,12440.8
136.609645408595,12181.2,12166,12161.4,12122.4,12089.8
142.031744792304,12238.8,12226.6,12200,12238,12251.4
147.445487481351,12797.2,12848,12873.4,12842.2,12821.8
152.850887685943,12309.8,12260,12438.4,12421,12353.6
158.247959582481,12441.6,12366.8,12402.8,12311.8,12365.8
163.636717313779,12184.4,12324.4,12235,12347.6,12320.2
169.017174989298,12568.8,12659.6,12481.6,12557,12532.2
174.389346685342,12820.4,12878,12926.8,12866.2,12861
179.753246445305,12471.8,12406.8,12298.4,12406,12425.6
185.10888827987,12468.8,12458,12516.6,12494.2,12515.6
190.456286167238,12712,12769.6,12659.8,12628.2,12647.8
195.795454053326,12803.6,12822.8,12824.6,12848.8,12952.4
201.126405852005,12284.6,12211.4,12266.8,12236.8,12284.6
206.449155445292,12281.2,12285.8,12329,12370,12334.6
211.763716683583,12090.8,12056.4,12110,12049.2,12061
217.070103385846,12403.2,12386,12458.4,12543,12359.4
222.368329339855,12095.8,11955.2,12047.4,11988.6,12008.6
227.658408302384,12219.4,12246.8,12266,12221.2,12187.4
232.940353999415,12160.6,12184.6,12307.6,12236.4,12240.2
238.214180126355,12133.2,12081.6,12058.2,12082.2,12128.8
243.479900348242,12195.4,12210.4,12305.2,12219.4,12320.2
248.737528299953,12204.6,12209,12172.6,12187,12185
253.987077586402,12023.8,12114,12107.4,12029.8,12017.8
259.228561782755,12332.8,12188.4,12179.2,12188.4,12144.8
264.46199443463,12217.2,12337,12272.8,12292.6,12252.4
269.687389058301,12494.6,12434.2,12485.4,12481,12487.2
274.904759140896,12656.6,12647.6,12670.8,12593.6,12650.8
280.114118140607,12334.2,12379.4,12219,12181,12281.6
285.315479486881,12068,11984.4,12047.6,11926.8,12082.6
290.508856580633,12185.6,12150.2,12187.4,12193.4,12179
295.694262794426,12712.2,12681,12606.6,12645.2,12692.2
300.871711472693,14059,13903.6,13840.2,14034.2,13933
306.041215931913,14775.2,14513.6,14659.2,14748,14585.4
311.202789460824,15635.4,15377.4,15257.4,15543.6,15266.4
316.3564453206,16663.2,16264,16416.2,16668,16425.6
321.502196745068,16938.6,16574,16579,16878.8,16607.4
326.640056940885,17094.2,16619.2,16675,16880.8,16692.2
331.770039087738,17292.2,16724.2,16849.6,17091.2,16775
336.892156338543,17148.2,16847.2,16891,17083,16814.4
342.006421819617,17310.8,16987.2,16934.6,17341.6,16915.8
347.112848630893,17168.6,16820.4,16800.2,17331,16720.8
352.211449846096,17406.6,16996,17091.4,17462,16997.6
357.302238512928,17025.8,16609.8,16603.4,17006.2,16579.8
362.385227653271,17137.4,16797.6,16763.8,17082.6,16744.2
367.460430263362,17637.2,17169.2,17034,17443.4,17111
372.527859313997,17207,16842.2,16783.4,17221,16748.2
377.587527750688,17511.4,17290.8,17188.6,17803.4,17125.2
382.639448493877,17660.6,17267.6,17117.4,17656,17137.2
