Name,AAB_4 ATP_10^-10M_750_5_5_L_S2.csv
Date,2024/09/24 11:15:30
Tag,AAB_4 ATP_10^-10M_750_5_5_L_S2
Comment,
Peak raman shift[cm-1],392.72009845721
Integration[ms],750
Averaging,5
Measure data Count,5
Source wave length,784.697448855189
Calibrate value 0,778.657113
Calibrate value 1,0.3511058614
Calibrate value 2,-0.000114611915
Calibrate value 3,-1.39683906E-08
Calibrate value 4,-6.349040836E-12
Calibrate value 5,6.469782684E-14
Sensor pixel num,512
Count monitor raman shift,0
Count monitor value,0
Dark name,
Ramanshift[cm-1],1,2,3,4,5
347.112848630893,17086.2,16931.2,16791.2,16774.4,16752
352.211449846096,17493.4,17333.2,17173.8,17228.6,17157.8
357.302238512928,17070,16949.2,16810,16747,16824.6
362.385227653271,17098,16987,16989,16877.4,16896.4
367.460430263362,17489.8,17391.8,17247.6,17230.2,17211
372.527859313997,17171.6,17038.4,16950.4,16887,16912.6
377.587527750688,17854.6,17649,17622.8,17410.2,17501.2
382.639448493877,18545,18262,18084.8,18003.2,18175.8
387.683634439107,19677.6,19511.4,19444.2,19367.8,19363
392.72009845721,20941.2,20740,20565,20606.6,20675.4
397.748853394485,20165,20164.2,19956.8,20016.8,20017.2
402.76991207289,19651,19633.4,19451.6,19536.8,19645.8
407.783287290211,18392.8,18463.6,18381.2,18251,18399
412.788991820255,17386.2,17426.6,17326.8,17344.2,17246.4
417.787038413016,16674,16665.4,16555.6,16491.4,16556.6
422.777439794883,16540.8,16417.4,16344.2,16242.6,16374.6
427.760208668777,16426.2,16428.6,16262.4,16210.2,16233.2
432.735357714366,16771.8,16697.6,16563.8,16539.8,16646
437.702899588219,16914.4,16847,16687.4,16624,16724.4
442.662846924002,16969.8,16777.2,16716,16709.8,16685.6
447.615212332628,16179.8,16100.6,15922.2,15903.4,15975.8
452.560008402459,16193.8,16118,16092,15952,15927
457.497247699466,16373.6,16290.6,16351.2,16251.2,16176
462.42694276741,15837.8,15646.4,15529.6,15473.8,15599.4
467.349106127996,16393.4,16114.2,16083.2,15995,15976.2
472.263750281081,15751.8,15626.8,15460.6,15405.2,15473.6
477.170887704813,16203.6,16082.6,16058.4,15978.2,16050.2
482.070530855812,16058,16034.2,15864.8,15849.6,15923
486.962692169351,16465.8,16342.6,16215.6,16262.4,16231.2
491.847384059509,16126.8,16083.8,15993.4,15950.2,16080.4
496.724618919354,16118,16031.4,15947.6,15873.2,15873.8
501.594409121106,16197.2,16103.2,15979.2,15969.2,15877
506.456767016303,16528.2,16491.8,16316,16385,16263
511.311704935972,16257.4,16144.8,16044.6,16018.4,15960.2
516.159235190789,15639,15568.4,15513.6,15381.8,15357.6
520.999370071249,16231.6,16056.4,16036,15978,15824.6
525.832121847836,16082.8,16028.8,15996.8,15876.4,15854.8
530.657502771179,16177.2,15908.2,15959.8,15896.8,15966.2
535.475525072219,15665,15486.2,15377.4,15476,15423.8
