shift_cm-1,Y0,k,R2,LOD_M,LOQ_M,CV_mean_pct,CV_sd_pct,delta_log10C_mean,delta_log10C_sd,status,source
392,5700.0,0.3,0.92,2.5e-16,2.5e-13,38.8,24.1,-3.76,1.46,publication_snapshot,manuscript
1078,25000.0,0.5,0.99,2.3e-12,2.5e-10,41.5,21.3,-1.28,1.35,publication_snapshot,manuscript
1590,58000.0,0.5,0.98,1.2e-11,4.1e-09,35.2,18.6,-1.69,1.27,publication_snapshot,manuscript
