comparison_id,left_lineage,right_lineage,interpretation,level,file,concentration_molar,concentration_label,replicate,accumulation,band,center_cm-1,window_cm-1,left_peak_value,right_peak_value,absolute_change,percent_change_from_left,left_observed_shift_cm-1,right_observed_shift_cm-1,left_n_points,right_n_points
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,1e-13,100 fM,2,1,peak_392.32_height,392.31999999999999,10,2869.5099150979295,1852.8917672301461,-1016.6181478677834,-35.428284896973032,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,1e-13,100 fM,2,1,peak_1078.5_height,1078.5,7,1468.9028243542657,1540.6251088713275,71.72228451706178,4.8827113222136473,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,1e-13,100 fM,2,1,peak_1589.62_height,1589.6199999999999,8,783.80940453027415,775.79802026246955,-8.0113842678046012,-1.0221087194795411,1591.579872,1591.579872,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,1e-13,100 fM,2,2,peak_392.32_height,392.31999999999999,10,2867.979479436724,2027.3248909265262,-840.65458851019775,-29.311736521744702,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,1e-13,100 fM,2,2,peak_1078.5_height,1078.5,7,1468.5457274107796,1410.7520446791477,-57.793682731631861,-3.9354363744279848,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,1e-13,100 fM,2,2,peak_1589.62_height,1589.6199999999999,8,919.36290839159653,739.55869383366678,-179.80421455792975,-19.557479741323579,1591.579872,1588.3181139999999,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,1e-13,100 fM,2,3,peak_392.32_height,392.31999999999999,10,2583.2559222636601,1915.2161447168421,-668.03977754681796,-25.860379213276975,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,1e-13,100 fM,2,3,peak_1078.5_height,1078.5,7,1461.0822194808502,1514.0460119586528,52.963792477802599,3.6249700237007625,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,1e-13,100 fM,2,3,peak_1589.62_height,1589.6199999999999,8,864.40944175801928,785.79474569681861,-78.614696061200675,-9.0946133005344798,1588.3181139999999,1588.3181139999999,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,1e-13,100 fM,2,4,peak_392.32_height,392.31999999999999,10,2574.5964934629501,1815.4689254342793,-759.12756802867079,-29.485302646692006,392.32072840000001,392.32072840000001,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,1e-13,100 fM,2,4,peak_1078.5_height,1078.5,7,1628.4389934171488,1523.446672365722,-104.99232105142687,-6.4474212098734442,1079.299422,1079.299422,3,3
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,1e-13,100 fM,2,4,peak_1589.62_height,1589.6199999999999,8,706.98578690702857,746.27614012917684,39.290353222148269,5.5574459840329302,1591.579872,1585.0519710000001,5,5
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,scan,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc5.csv,1e-13,100 fM,2,5,peak_392.32_height,392.31999999999999,10,2770.5810746988691,1882.5740299007634,-888.00704479810565,-32.051292521537995,392.32072840000001,392.32072840000001,3,3
