scope,center_cm-1,window_cm-1,n_points,historical_blank_files,confirmed_blank_exports,confirmed_blank_channels,grid_basis,rmse,mae,max_abs,mean_signed_difference,pearson_r,nrmse_percent_of_left_range,relative_l2_percent
overall,,,512,15,1,5,prepared_sample_axis_linear_interpolation,930.58034223889854,789.7776945569791,1906.7665778109349,789.7776945569791,0.99899272137931838,17.276267419068713,9.0620206328443622
peak_392.32_height,392.31999999999999,10,3,15,1,5,prepared_sample_axis_linear_interpolation,1795.1186749834742,1795.0328053342164,1818.1441957771749,1795.0328053342164,0.98955094326852699,735.80792349387082,13.714830713539046
peak_1078.5_height,1078.5,7,3,15,1,5,prepared_sample_axis_linear_interpolation,932.28303423442219,931.27457383989531,985.19898761118202,931.27457383989531,0.98150234410240178,176.07463184607414,8.5265504842789035
peak_1589.62_height,1589.6199999999999,8,5,15,1,5,prepared_sample_axis_linear_interpolation,537.2189675968707,536.52888963782675,570.66521636449397,536.52888963782675,0.9778557960250871,153.42668346610429,5.8232493548068502
