comparison_id,left_lineage,right_lineage,interpretation,file,concentration_molar,concentration_label,replicate,accumulation,grid_basis,n_points,x_min_cm-1,x_max_cm-1,axis_max_abs_difference_cm-1,rmse,mae,max_abs,mean_signed_difference,pearson_r,nrmse_percent_of_left_range,relative_l2_percent
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc3.csv,1e-13,100 fM,3,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,2880.4357510316881,1407.9829220119764,8613.5546850391602,-1390.0915958627743,0.96813433967494034,8.3033691764878963,29.006283378516645
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc4.csv,1e-13,100 fM,3,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,254.069124813115,130.3607506350549,1160.1574848117452,-92.58025152601455,0.99986148488256343,0.74231221053403595,3.2049067555107955
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep3_acc5.csv,1e-13,100 fM,3,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,5106.8906831262066,2337.1559603187657,16133.654666979837,-2316.0565564086623,0.8844388466315336,14.621979969216907,49.781274679799658
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc1.csv,1e-07,100 nM,1,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,519.79660297271619,193.07249025226579,2099.1793511992769,-170.4405763704172,0.95745193655284677,6.264087566810022,39.948462413817587
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc2.csv,1e-07,100 nM,1,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,232.47138084370425,107.96949522544944,1314.6664052844121,1.0789265662498124,0.98988174037349486,3.0788277120179273,20.277251319248997
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc3.csv,1e-07,100 nM,1,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,250.65072478718943,135.35915514016773,1355.5395032693364,-15.27051336727018,0.98861973512578316,3.3673900834671704,21.049275586184859
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc4.csv,1e-07,100 nM,1,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,277.33240368805048,133.44839850972889,1435.7046801505712,-21.36632659804431,0.98887019871172244,3.6465700352152473,22.277665847171281
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep1_acc5.csv,1e-07,100 nM,1,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,302.18407432157494,134.22815218691559,1423.5528475657043,-61.288835387493066,0.98778792127565973,4.3183483229320672,25.74035239275209
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc1.csv,1e-07,100 nM,2,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,252.56547433390389,119.1472498204985,1311.0081297795994,9.3726091471123425,0.9745711852412664,2.8199909971094996,23.374428830584211
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100nM_rep2_acc2.csv,1e-07,100 nM,2,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,218.58290103583258,86.67793544644249,1267.0306052710657,-29.040608493585381,0.98498866640866389,2.3760247496644813,19.886952536499368
