comparison_id,left_lineage,right_lineage,interpretation,concentration_molar,concentration_label,grid_basis,n_points,n_replicates,n_scans,x_min_cm-1,x_max_cm-1,rmse,mae,max_abs,mean_signed_difference,pearson_r,nrmse_percent_of_left_range,relative_l2_percent
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,0.001,1 mM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,962.14148606385413,480.99645907278762,2752.6172045618241,-425.80353725835459,0.99865114440801706,2.072540468490085,7.7464847021464731
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,0.0001,100 µM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,274.97621242719572,135.62060983457272,1286.6029717555284,-43.229813672698164,0.99953838824299901,0.81443673649050419,3.2626963487747216
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-05,10 µM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,412.84777311348086,234.4451796776888,1178.666458168369,-156.73730702674766,0.99901678712087216,1.5143169987934779,5.9867877873460316
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-06,1 µM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,1070.7877426568712,519.87988010430877,3207.2119604946356,-492.20738557820408,0.99573471729598229,3.5122611843810567,13.369776985294674
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-07,100 nM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,340.41400748981482,171.32832467630462,1428.6889165759312,-53.916437931689124,0.99917036381097457,1.9029222897568139,8.3750590391580158
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-08,10 nM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,334.55869632107101,173.85824521820695,1412.0342098721285,26.842576549009593,0.9982736106334491,1.9087859578235402,8.2989150139901771
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-09,1 nM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,317.78944511920872,127.50946022110421,1404.9976688706993,-96.208385611888545,0.99964447283142366,2.4086227619601148,11.307538459670626
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-10,100 pM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,403.02174233005792,179.54381046316959,1556.5108466977817,-150.43870561432362,0.9995052128614309,2.5067207279392192,10.83531613396296
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-11,10 pM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,303.36661119737511,130.11476527644163,1403.730989659005,-107.22684917116102,0.99986478012534885,1.6448595138151751,7.0701888531063126
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-12,1 pM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,436.15672709176846,193.70050453003415,1555.8204881169677,-165.00735865524581,0.99871743729009377,2.3653708238190498,10.710863611054611
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-13,100 fM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,1031.9727986325602,485.13394403861889,3106.3708565122333,-469.20750085430956,0.96522948910573603,7.5376773904119316,31.217000501107822
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-14,10 fM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,268.36995908798127,100.70443648895562,1390.2220377810881,-77.982698555977933,0.99993191182815599,0.73185107069800148,3.2753238277729633
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,1e-15,1 fM,controlled_legacy_native_grid,512,3,15,-93.471151070000005,1971.4936210000001,276.65287139017283,98.960795624400149,1423.8316123473041,-68.466422678540283,0.99828047383482243,3.6957064440841467,18.905142238305739
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,0.001,1 mM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,12686.107680216182,7613.7923025707014,42726.848728592755,-3075.2721063014701,-0.17352566515490389,29.241627917599647,99.216519597202108
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,0.0001,100 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,8450.4655712370113,4621.9729441640211,30265.603792059941,-2254.6800767223485,0.0010536298560333388,25.742577857300095,92.791351502322712
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-05,10 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,6537.4863268036834,3978.1874790548468,23696.05146508323,-585.07855340928506,0.18751316361312903,24.967320441034694,90.845613089747246
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-06,1 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,7787.631076671888,4596.6960789800441,27971.53106482061,-1499.1140551633152,-0.1596602806303771,27.372759764950974,98.968787159947112
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-07,100 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,3872.916778037687,2143.0500582571863,15199.492309001382,-777.34416204245622,-0.035080276880975064,23.640185909353089,94.908665072383528
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-08,10 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,3893.4059512998047,1652.4698464792334,15604.597526314143,-1467.6048838709935,0.4994167887126994,24.250932730426797,91.304292704572418
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-09,1 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,2464.2483304723191,1009.112510942645,10323.515418547217,-815.68058352667867,0.54759720043593996,20.753530029120771,87.900288705955731
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-10,100 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,3380.7923665256722,1435.977695163042,13694.37680283503,-1219.3253800924942,0.50737878744484011,23.284545268989202,90.590798389123435
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-11,10 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4106.092929492359,1782.1591429201535,16311.919288009316,-1472.679785625591,0.2806397359707527,24.697962033664218,93.599167641516814
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-12,1 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4369.2979783792734,2970.8425474445262,15431.520366437009,329.01686677485418,-0.2520534177417787,27.320289109795091,112.99055938814774
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-13,100 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,2575.1631721690933,1096.7558529196845,10361.191251402373,-822.98207549920653,0.50305057634255623,21.677613104805683,88.814093365613331
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-14,10 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,8598.5314717126766,4582.7320716099748,33428.997448017581,-1465.8203069642634,-0.24357240737296282,25.30483509664132,101.28904673031377
controlled_legacy_vs_reference_2026,controlled_legacy_confirmed_blank,reference_2026,workflow_effect,1e-15,1 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,1095.1698659394558,479.06178820512793,5281.8206759171871,-171.53431994214219,0.50000068949695731,17.204008085783371,83.590344120533032
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,0.001,1 mM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,13646.311559415879,8213.5927752540883,44552.081521739325,-3675.077633352375,-0.19947310823632378,30.188647881438513,99.125889927395249
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,0.0001,100 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,8579.6915845610947,4640.5525660913136,31504.401730465212,-2289.7180088598043,0.0038372033308456824,25.483329229426417,92.82792748240486
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-05,10 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,6900.7256908701274,4182.1979216222635,24760.683728592685,-844.94399222826257,0.16253934139117684,25.328107486366779,90.955060944792493
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-06,1 µM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,8773.0904677837898,5198.4944153611586,29839.215360511669,-2183.1695074116133,-0.18762497139867496,28.878916881521921,98.293235275543012
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-07,100 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4192.0773958136242,2246.4009822843473,16598.539340148563,-837.23756885331238,-0.02125978710502251,23.779867604119218,95.127938523412908
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-08,10 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4133.0375244624465,1692.8613696144337,16979.94296439951,-1427.2263517631613,0.50163540309077193,23.653988903610156,91.960727357438458
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-09,1 nM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,2810.3361103398956,1146.0419574232321,11704.267426492941,-938.24248066507528,0.53131775620695831,21.532188906399472,89.362987434983566
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-10,100 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,3827.313296487654,1655.9497422006914,15189.117504019565,-1423.5801246027984,0.49358503654755781,24.046879424729109,91.626633492458907
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-11,10 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4426.8118509786727,1891.0081450077698,17677.37185396054,-1605.3807178582622,0.27832260170187739,24.591332856890311,94.018231093095281
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-12,1 pM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,4759.4512117427057,3202.4118258630515,16945.528414109718,101.16079440422023,-0.27358080212607805,27.165293392056071,110.04966711520238
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-13,100 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,3464.8502400317439,1712.7240800727084,11976.25132663249,-1480.8556034019728,0.42246640459223234,25.520967425110239,91.361320599751338
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-14,10 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,8847.2528813212557,4653.7625843339274,34739.365091664382,-1554.4231623194066,-0.24112270730773169,25.066036996229531,101.10147178624632
historical_vs_reference_2026,historical_mixed_blank_legacy,reference_2026,combined_blank_and_workflow_effect,1e-15,1 fM,reference_2026_grid_linear_interpolation,441,3,15,342.00642181961803,1971.4936210000001,1379.6106067819132,581.85287601623429,6658.5664271563464,-255.5468758446151,0.45762366262943671,18.613205692393006,86.859989726797636
