record_id,sample_type,analyte,matrix,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analysis_lineage,baseline_lambda,blank_replication_design,file,manifest_row,provenance_status,record_group,source_axis_status,source_record_group,band,center_cm-1,window_cm-1,method,peak_value,observed_shift_cm-1,n_points
row00005__4ATP_100fM_rep1_acc4__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc4.csv,5,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,1016.3281096660472,1591.579872,5
row00006__4ATP_100fM_rep1_acc5__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc5.csv,6,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2881.7415453981266,392.32072840000001,3
row00006__4ATP_100fM_rep1_acc5__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc5.csv,6,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,2124.549928276459,1079.299422,3
row00006__4ATP_100fM_rep1_acc5__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,1,5,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep1_acc5.csv,6,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,1014.4824155454835,1588.3181139999999,5
row00007__4ATP_100fM_rep2_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,7,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,1852.8917672301461,392.32072840000001,3
row00007__4ATP_100fM_rep2_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,7,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,1540.6251088713275,1079.299422,3
row00007__4ATP_100fM_rep2_acc1__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,1,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc1.csv,7,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,775.79802026246955,1591.579872,5
row00008__4ATP_100fM_rep2_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,8,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,2027.3248909265262,392.32072840000001,3
row00008__4ATP_100fM_rep2_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,8,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,1410.7520446791477,1079.299422,3
row00008__4ATP_100fM_rep2_acc2__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,2,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc2.csv,8,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,739.55869383366678,1588.3181139999999,5
row00009__4ATP_100fM_rep2_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,9,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,1915.2161447168421,392.32072840000001,3
row00009__4ATP_100fM_rep2_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,9,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,1514.0460119586528,1079.299422,3
row00009__4ATP_100fM_rep2_acc3__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,3,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc3.csv,9,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,785.79474569681861,1588.3181139999999,5
row00010__4ATP_100fM_rep2_acc4__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,10,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_392.32_height,392.31999999999999,10,height,1815.4689254342793,392.32072840000001,3
row00010__4ATP_100fM_rep2_acc4__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,10,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1078.5_height,1078.5,7,height,1523.446672365722,1079.299422,3
row00010__4ATP_100fM_rep2_acc4__Intensity,4atp,4-ATP,AuAgBC substrate,1e-13,100 fM,2,4,portable_raman,750_5_5_H,controlled_legacy_confirmed_blank,3000,,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100fM_rep2_acc4.csv,10,raw_unverified,optimisation_750_5_5_h_confirmed_blank_reanalysis,prepared_axis_differs_from_vendor_original_approx_0.39937_cm-1,optimisation_750_5_5_h,peak_1589.62_height,1589.6199999999999,8,height,746.27614012917684,1585.0519710000001,5
