record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,raman_shift_cm-1,intensity_mean,intensity_sd,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,136.21027530000001,-94.395314476244025,63.995817918540936,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,141.63237470000001,52.506537896850112,34.099334548401949,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,147.04611740000001,66.847754885612332,61.092609159225333,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,152.45151759999999,50.165330683150287,46.835011745374182,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,157.8485895,21.076726106468165,56.914292610656403,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,163.23734719999999,2.139747852267226,85.989481188079623,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,168.61780490000001,121.08167127334654,102.59672505635048,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,173.98997660000001,172.90940450184027,137.56159843160586,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,179.35387639999999,100.73253228935937,140.98054347797029,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,184.70951819999999,139.29416239953676,126.41278872875499,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,190.0569161,187.64148282085824,187.6711433404065,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,195.396084,152.10355535576241,227.4385170196864,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,200.72703580000001,152.10290637666461,190.52184993799978,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,206.04978539999999,143.72911005293955,271.44464721138945,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,211.3643466,172.81267177084061,284.48306370983403,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,216.67073329999999,219.79808978064221,281.45431479289641,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,221.96895929999999,136.27044730365054,261.69851193693961,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,227.25903819999999,168.51882053364449,231.95216918596682,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,232.54098389999999,174.31359109992997,249.1843035040495,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,237.81481009999999,139.93837713540211,254.61485211154331,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,243.08053029999999,157.49175679959964,231.96311748148739,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,248.33815820000001,103.59634725615979,204.81824916196035,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,253.58770749999999,61.086113752147391,190.66579738951631,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,258.82919170000002,60.742335995653512,131.98512145927396,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,264.0626244,42.88631376007222,86.178906647930972,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,269.28801900000002,21.335106201954922,38.682796048259405,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,274.5053891,-29.232295248279151,63.916677256408761,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,279.71474810000001,-183.25543398832923,156.94642927877234,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,284.91610939999998,99.188321930058351,105.18198305639046,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,290.1094865,1233.1349819227378,198.28771263428817,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,295.29489269999999,5566.067709206869,305.7501847271792,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,300.4723414,15147.80850298829,1063.7703676069282,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,305.64184590000002,28779.813832879579,2669.0786618336042,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,310.8034194,40197.635175702846,3729.5682593221904,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,315.95707520000002,43883.373250525452,2328.9402410211278,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,321.10282669999998,43972.517248376236,1554.3342601595177,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,326.24068690000001,43854.17627581265,1341.5215284862695,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,331.37066900000002,43644.007356427923,1350.2602271856272,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,336.49278629999998,43480.02402074678,1388.1794201114822,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,341.6070517,43204.025065864247,1751.865266802004,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,346.71347859999997,43020.604847301242,1974.6787170583466,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,351.81207979999999,42495.464280142347,2377.406640272598,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,356.90286839999999,42236.981737277158,2569.580337894924,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,1,361.98585759999997,41738.783125785645,2854.185847820489,5
