record_group,sample_type,concentration_molar,concentration_label,instrument,band,center_cm-1,window_cm-1,method,peak_value_mean_of_replicate_means,peak_value_sd_across_replicates,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_1078.5_height,1078.5,7,height,2913.5913404671351,751.9210155457539,3,25.807360322027819
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1207.5629894626745,362.52575289789553,3,30.021270613734814
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,peak_392.32_height,392.31999999999999,10,height,16487.151670852854,17647.311209290503,3,107.03674935245886
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_1078.5_height,1078.5,7,height,6888.126191928005,6743.396838707692,3,97.898857407840225
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,3727.4307137080846,1335.0880003986269,3,35.817915957194771
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-07,1 µM,portable_raman,peak_392.32_height,392.31999999999999,10,height,28496.833423758177,16638.293580006684,3,58.386464673422715
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_1078.5_height,1078.5,7,height,2956.1312177274535,2030.6228462857418,3,68.691904950240925
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1662.399219143578,591.50113001089494,3,35.581172271941988
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999995e-08,100 nM,portable_raman,peak_392.32_height,392.31999999999999,10,height,16699.766344868691,16713.800546715931,3,100.08403831261718
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_1078.5_height,1078.5,7,height,1642.6637924886538,1353.5785473115145,3,82.401435613359936
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,1392.2961747018987,620.07657710209003,3,44.536255171056055
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999998e-13,1 pM,portable_raman,peak_392.32_height,392.31999999999999,10,height,14903.205881418244,17148.850362914687,3,115.06819740238829
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_1078.5_height,1078.5,7,height,306.97281297396745,,1,
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_1589.62_height,1589.6199999999999,8,height,157.13652662700298,,1,
optimisation_750_5_5_h_confirmed_blank_reanalysis,blank,,Blank,portable_raman,peak_392.32_height,392.31999999999999,10,height,3816.4995086180948,,1,
