record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2932.009065701156,163.92133987940278,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1320.3930869049686,59.099375408370662,1585.0510915999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,7431.5431466778955,586.03407475278118,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_1078.5_height,1078.5,7,height,2444.9674905019992,147.43801917205545,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1117.0287954130322,56.563476274067362,1583.7428756000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,8983.5352786657422,206.28019476956234,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_1078.5_height,1078.5,7,height,2745.3418359769348,114.64435691880112,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1365.3602108115281,247.07484337046179,1584.3961042000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-09,1 nM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,19371.473900068871,1810.3575187540062,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2421.2900934546306,106.1383834562214,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,1236.4664243323941,116.91145361723419,1583.743755,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,6939.1446069235126,664.00864306589244,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1685.7855187265382,191.40181669317434,1082.4910572000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,823.9855318960183,100.82352540599453,1592.2313486,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,2314.6943190947172,655.24902623481989,396.34373231999996,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,1752.5635954653267,120.02675618122284,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,903.34500705303947,74.993217144649577,1586.3557924000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1.0000000000000001e-15,1 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,9953.4734028001512,453.83859180154053,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_1078.5_height,1078.5,7,height,1904.0076533128747,50.578979137567423,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,908.40855879525111,71.850637748935284,1583.0896470000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,8386.8141091874095,553.50344666622414,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_1078.5_height,1078.5,7,height,1969.101044659652,73.647175136080634,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,954.5252773935556,94.0057900959535,1590.2751687999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,5642.7088299890611,521.33619174055036,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_1078.5_height,1078.5,7,height,3909.27008185057,507.44320930036452,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-08,10 nM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,2572.732044646903,730.05312562451707,1581.7814310000001,5
