record_group,sample_type,concentration_molar,concentration_label,instrument,raman_shift_cm-1,intensity_mean,intensity_sd,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-93.471151070000005,308.69027035932913,24.393907901054909,3,7.9023896259053839
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-87.693743690000005,-20.236494063443669,15.215497570379258,3,-75.188407254126986
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-81.925307599999996,-10.939633925948762,22.275783841263355,3,-203.62458188317709
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-76.165827010000001,47.451301066241406,33.374331310668268,3,70.333859263580848
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-70.41528615,50.539459264281014,8.8645295236012984,3,17.539818693442857
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-64.673669329999996,-38.129197675757062,19.498877280395245,3,-51.13896559326983
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-58.940960859999997,-45.105539784753944,29.470213986304341,3,-65.336129723616608
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-53.217145119999998,-0.75148478872770141,17.292334142317628,3,-2301.0890442099767
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-47.502206520000001,-41.420720916501104,15.087627633870808,3,-36.425313949232176
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-41.796129540000003,25.301744510542335,18.739395826476091,3,74.063651297514497
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-36.098898660000003,114.91650401354487,10.22250876867516,3,8.8955967260109681
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-30.410498430000001,76.281796861524626,16.444849942289625,3,21.558026447832873
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-24.730913430000001,57.239006550001626,15.528280736054169,3,27.128843898590912
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-19.060128299999999,44.59348858415126,9.8011472941506543,3,21.978875403872369
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-13.398127690000001,2.6140773195644167,12.730922558679659,3,487.01400159047364
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-7.7448963270000002,-56.321397119848115,13.987535910010472,3,-24.835207621440823
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,-2.100418946,-3.5245209863165439,26.586673275432574,3,-754.33437277438793
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,3.5353196589999998,45.939165261308325,26.36731497751704,3,57.396156041443298
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,9.1623346580000007,-25.508731839211706,26.194149951361467,3,-102.686994071168
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,14.78064118,-5.7672013986416149,14.709831069017467,3,-255.06012452560032
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,20.39025432,-36.011035660811473,27.356937648765662,3,-75.96820570905291
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,25.991189129999999,25.57237984563076,32.265196356771838,3,126.17205184477423
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,31.583460609999999,171.222410201819,26.535533219730677,3,15.497698688187707
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,37.167083750000003,81.383415627393404,18.348237777212301,3,22.545426037680755
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,42.742073470000001,-20.294356102111362,14.181427861611924,3,-69.878678536327314
