Wavelength,4ATP_10nM_rep3_acc1_I1
402.370542,3345.3468949105363
407.3839172,1980.9856535847393
412.3896217,918.4572319415402
417.3876683,550.9945431804699
422.3780697,279.6528709968179
427.3608386,37.19475051772952
432.3359876,99.5710222632697
437.3035295,45.90731355030766
442.2634769,342.0902442136003
447.2158423,-119.41986243534484
452.1606383,-18.81341559246357
457.0978776,-31.449116604480878
462.0275727,-160.77574485584773
466.9497361,197.5353072943626
471.8643802,-37.90487509909963
476.7715176,21.287681008056097
481.6711608,49.04940755054304
486.5633221,473.9854343934621
491.448014,114.16053137841482
496.3252488,70.20226978658957
501.195039,161.4490281422477
506.0573969,66.18006531287119
510.9123349,196.25319235464212
515.7598651,-231.0120358053082
520.6,171.8056603396317
525.4327518,141.42918809906132
530.2581327,85.87345691137398
535.076155,-52.07865827643673
539.8868309,99.78831267723672
544.6901726,218.02676977708325
549.4861922,17.917050301836753
554.2749019,103.58912427620453
559.0563139,-49.78525873693525
563.8304402,-98.06658241914465
568.597293,139.297973507807
573.3568844,91.20929828594308
578.1092263,-194.74537692466038
582.8543308,188.7270992967069
587.5922101,65.03256291919024
592.322876,2.647667735709547
597.0463405,156.6910526970869
601.7626157,187.1660299748546
606.4717135,15.78436286075248
611.1736458,-108.63199677690591
615.8684246,8.570991005888573
620.5560617,43.23999143288165
625.2365691,44.87349983868535
629.9099585,39.54507578632365
634.5762419,177.38581492143567
639.2354312,-17.600045204059825
643.887538,144.778177952423
648.5325743,89.2073314479976
653.1705518,-89.75374859598651
657.8014823,100.69184364661123
662.4253775,-85.47387673175217
667.0422493,-8.474888486951386
671.6521092,18.681376850189736
676.2549691,39.950666832376555
680.8508407,20.691802408965486
685.4397355,-83.19336520027446
690.0216654,-28.413879303464455
694.5966419,-61.29231276252813
699.1646767,240.51997768304955
703.7257814,183.37348578600086
708.2799676,199.72854036690296
712.827247,178.99842994987284
717.367631,17.05490326261497
721.9011314,110.54461854866804
726.4277595,-54.659228945487484
730.9475271,11.91424969617401
735.4604456,100.9411347000214
739.9665264,286.0068497449374
744.4657813,290.7576045209162
748.9582215,249.2894921883326
753.4438587,-67.553385384791
757.9227042,-21.79703599939694
762.3947696,62.467321631824234
766.8600662,-100.16830597410262
771.3186056,495.44353907381446
775.770399,273.03192717173624
780.215458,228.60792089309507
784.6537939,295.5814484870134
789.0854181,-5.239094535943877
793.510342,338.7592847618571
797.9285769,424.1356914481612
802.3401342,487.32363626147253
806.7450253,373.7506056597913
811.1432614,249.5009618094091
815.5348538,242.4780159519005
819.9198139,74.53842378343415
824.2981531,165.75854505044754
828.6698824,-5.205968021354238
833.0350133,56.85464615702767
837.393557,32.15649029711676
841.7455248,-45.80424428257993
846.0909278,61.17881129391117
850.4297774,-97.46861969227757
854.7620848,-6.82022905679969
859.0878611,14.867798252075772
863.4071176,-82.25083710825857
867.7198655,206.7804256012896
872.026116,383.39222521013926
876.3258802,422.38939553948876
880.6191693,216.33675827764546
884.9059946,304.9331786747607
889.186367,369.0402798143432
893.4602979,-6.341652433627132
897.7277982,-33.06029379725078
901.9888793,170.1256137392529
906.2435521,294.3539636641999
910.4918277,56.083005270682406
914.7337174,-82.46719464660873
918.9692321,-1.219407439333736
923.1983831,135.6916850468706
927.4211813,-21.32321624494307
931.6376378,90.61163190938805
935.8477637,-20.914936328362273
940.0515701,103.02657222036578
944.249068,-7.871636061746358
948.4402684,-110.75315653247253
952.6251825,205.61449787910442
956.8038212,46.136802912221356
960.9761955,259.77413959740716
965.1423166,68.43525212324585
969.3021953,-31.889518240481266
973.4558427,-23.58426265774051
977.6032699,-9.070073554337796
981.7444877,30.792742237839775
985.8795072,85.14983324537025
990.0083394,-25.101825357019152
994.1309953,-12.888637507609019
998.2474857,98.17836710765641
1002.357822,-171.24791968672162
1006.462014,200.33122912870385
1010.560075,95.6172514735672
1014.652013,3.7841699675364
1018.737841,169.18210535184062
1022.81757,-30.15053016890033
1026.891209,-53.290030423791904
1030.958771,-75.24006914186339
1035.020266,88.63108609749906
1039.075705,27.199144173023342
1043.1251,-85.10272087661906
1047.16846,9.401681277985517
1051.205797,66.50849294003092
1055.237121,-126.35824854410203
1059.262444,66.84897453481153
1063.281777,229.4830039688568
1067.295131,957.1703765148741
1071.302515,2176.5926343494584
1075.303942,2718.9985023558365
1079.299422,3047.256106293097
1083.288966,2303.2605915757813
1087.272585,1213.7072917828164
1091.250289,557.5429324374172
1095.222091,176.32122444127617
1099.187999,15.885039140287518
1103.148026,78.42703092241572
1107.102183,45.567379575644736
1111.050479,-52.25501509748483
1114.992927,-121.58296088924544
1118.929536,16.47131274358071
1122.860318,57.871240093599226
1126.785283,-170.87063876064803
1130.704443,88.57917941308278
1134.617808,513.9948412398708
1138.52539,493.76001689525947
1142.427198,386.0590756241254
1146.323244,310.7766894412407
1150.213538,32.057406173991694
1154.098093,163.4419986304756
1157.976917,63.97395318791769
1161.850023,40.711581596590804
1165.717421,308.44364601808047
1169.579121,284.7805189742912
1173.435135,385.50871690118674
1177.285474,525.5592051253379
1181.130148,648.6022156437793
1184.969169,854.2259493666652
1188.802547,497.18024960670755
1192.630292,209.53547992856784
1196.452416,42.12128090279566
1200.26893,-44.374821887040525
1204.079844,-96.61483362328818
1207.88517,-59.31412221555638
1211.684917,-8.020042997182827
1215.479098,-3.8633621341014077
1219.267722,427.86875837896787
1223.050801,77.14421134395434
1226.828346,-19.895155183314273
1230.600366,167.22983153623954
1234.366874,250.13889058556651
1238.12788,237.6520885018308
1241.883395,31.189127895116144
