Wavelength,blank_rep2_acc3_I1
402.3169694,128.01738032762114
407.3303446,39.879309543623094
412.3360492,-94.77337361432001
417.3340958,-160.35794263762727
422.3244971,-46.11320028170485
427.307266,141.99342561029152
432.2824151,314.9723024755767
437.2499569,523.870284070872
442.2099043,504.0897745172497
447.1622697,47.751477095609516
452.1070657,262.9171291852108
457.044305,309.815715138433
461.9740001,-79.07082396308397
466.8961635,-10.546726352740734
471.8108076,-144.56058474139354
476.717945,-25.69217185047455
481.6175882,199.01188243848446
486.5097495,49.37075942973752
491.3944414,69.75435429663048
496.2716763,110.12979029007874
501.1414665,39.046971769848824
506.0038244,347.0314354847269
510.8587623,135.0023448970478
515.7062925,-180.32288887609684
520.5464274,48.275198822057064
525.3791792,108.94372692895195
530.2045601,224.27812128618643
535.0225824,-164.71815307632642
539.8332583,74.15096601420919
544.6366,214.98943264415902
549.4326196,-76.32463095106687
554.2213293,605.4154804346235
559.0027413,36.29898436708754
563.7768676,-224.38756014642422
568.5437204,587.372057638795
573.3033118,279.99778699905437
578.0556537,85.68569564152494
582.8007583,327.1664604758571
587.5386375,225.22379861340778
592.2693034,3.3018081557092955
596.9927679,108.38122867455422
601.7090431,177.3492341098281
606.4181409,49.88714150418309
611.1200732,-44.301825379185175
615.814852,37.59868197346623
620.5024891,213.5442767198001
625.1829965,12.563178245956806
629.8563859,410.79192552051245
634.5226693,513.6190936196108
639.1818586,-25.580214401672492
643.8339654,245.37437028920795
648.4790017,45.349137085389884
653.1169792,-4.53761410540028
657.7479097,111.4267054060947
662.3718049,-238.07013159127382
666.9886767,-103.261757856837
671.5985366,-134.1313283995969
676.2013965,73.2759446756063
680.7972681,88.47976322018985
685.386163,-38.29089490928891
689.9680928,34.46191490031197
694.5430693,-26.22466228405574
699.1111041,112.88891422076267
703.6722088,25.84377230111022
708.226395,102.29537229369816
712.7736744,42.30467370970837
717.3140584,125.11848039450888
721.8475588,-70.89670929425665
726.3741869,-297.02263266047885
730.8939545,130.31287257446274
735.406873,209.85657971114597
739.9129539,386.3215220365546
744.4122087,252.7008530463827
748.9046489,121.27291451242672
753.3902861,-126.14382533970638
757.8691316,-178.84406594808934
762.341197,68.44785662831237
766.8064936,114.99221263527943
771.265033,678.6467311947399
775.7168264,456.6932980211441
780.1618854,267.7347482507648
784.6002213,300.9359868879292
789.0318455,-176.09466051076015
793.4567694,94.48508273345578
797.8750043,257.051657016993
