Wavelength,4ATP_1fM_rep3_acc2_I1
402.370542,3864.8407046322586
407.3839172,2186.2196644908954
412.3896217,824.0640362369672
417.3876683,343.1126643213961
422.3780697,93.05211055698419
427.3608386,29.22451434075947
432.3359876,18.892065600553906
437.3035295,38.30239964181828
442.2634769,266.5299334281158
447.2158423,-56.118702051310265
452.1606383,-152.9489919035641
457.0978776,-12.355649093815828
462.0275727,-130.9896438005826
466.9497361,-14.27704281505521
471.8643802,44.2213026876334
476.7715176,15.523445106044164
481.6711608,21.71602149942646
486.5633221,41.06441664744989
491.448014,-20.833226973487854
496.3252488,35.2170852561585
501.195039,40.111101704021166
506.0573969,21.62936031850404
510.9123349,67.81996106974657
515.7598651,-88.20409361436532
520.6,-12.277186327848995
525.4327518,173.38330422252966
530.2581327,99.41386719126012
535.076155,-124.81050056347567
539.8868309,93.87877732838297
544.6901726,241.0871806361206
549.4861922,154.76195541562265
554.2749019,377.5969385787125
559.0563139,36.23967769146611
563.8304402,-73.40591799872072
568.597293,400.7789571786193
573.3568844,184.220991600057
578.1092263,-51.2960997039072
582.8543308,155.05872566050402
587.5922101,82.32169192767606
592.322876,-63.93305987372969
597.0463405,66.12693383366377
601.7626157,-1.3108667718611287
606.4717135,-110.50951061385695
611.1736458,27.984737595962997
615.8684246,-19.748218023014033
620.5560617,-36.833453362448836
625.2365691,-41.99994514766831
629.9099585,94.76387951099241
634.5762419,265.34780111449027
639.2354312,95.70581898481805
643.887538,161.32211736921317
648.5325743,11.541815754945674
653.1705518,-39.83957878781757
657.8014823,56.17616307858134
662.4253775,-147.60460617270837
667.0422493,29.99147346970858
671.6521092,78.38668829683229
676.2549691,54.898437029537035
680.8508407,22.70057715659823
685.4397355,-120.17650662784581
690.0216654,-70.22996891524599
694.5966419,32.658087145648096
699.1646767,251.02741139331465
703.7257814,307.1125856149224
708.2799676,237.69760232071894
712.827247,101.53390975934462
717.367631,-2.5974091691487047
721.9011314,-85.57610750913454
726.4277595,-13.095931094787375
730.9475271,42.85124229537723
735.4604456,90.91858412580359
739.9665264,324.1337407453393
744.4657813,126.82490876557085
748.9582215,64.97702681532792
753.4438587,-181.3386604899233
757.9227042,-175.80836923522338
762.3947696,86.32395046186139
766.8600662,19.713394172067183
771.3186056,315.24345946203766
775.770399,64.31442327382138
780.215458,84.3651490830971
784.6537939,103.52605413272204
789.0854181,-235.36707566262976
793.510342,182.1146386033888
797.9285769,512.7715049415724
802.3401342,487.48915242436624
806.7450253,267.6826237733717
811.1432614,150.63683720119798
815.5348538,71.86775028329748
819.9198139,49.055710056696626
824.2981531,50.271616314445964
828.6698824,14.307966921257048
833.0350133,76.69147512412928
837.393557,-104.34374246216794
841.7455248,-27.69654735462109
846.0909278,98.13385590692587
850.4297774,-76.19304161437913
854.7620848,-41.66270255991594
859.0878611,31.309749208016456
863.4071176,-70.25416220530042
867.7198655,-12.498708233183152
872.026116,339.2719659707941
876.3258802,436.8166311060022
880.6191693,283.7066230990363
884.9059946,345.8026832484243
889.186367,352.3267414164493
893.4602979,49.12417701734739
897.7277982,-159.67053681451443
901.9888793,35.28292592149592
906.2435521,220.33397257214574
910.4918277,40.84077880245877
914.7337174,-170.94309270315625
918.9692321,19.54278509050482
923.1983831,78.69677266011513
927.4211813,74.20413511943025
931.6376378,221.5485213961956
935.8477637,19.964024293972216
940.0515701,81.11219073407119
944.249068,17.54838649022531
948.4402684,-121.97594504040717
952.6251825,0.0794825332786786
956.8038212,45.28523915242022
960.9761955,279.1836018231461
965.1423166,87.21484086724558
969.3021953,-20.9380202946395
973.4558427,168.8820293766048
977.6032699,-1.7458554372815343
981.7444877,31.49598179309214
985.8795072,226.2044611561123
990.0083394,-27.194988128945624
994.1309953,-66.44176274723577
998.2474857,71.17782308838196
1002.357822,-105.41730448009457
1006.462014,29.825718053093624
1010.560075,85.35154173133196
1014.652013,44.044050929531295
1018.737841,-5.992606249508299
1022.81757,-94.36422819543623
1026.891209,-59.50484911511285
1030.958771,-46.880900490656586
1035.020266,98.56940403357066
1039.075705,76.1202166607809
1043.1251,-1.7281589203398653
1047.16846,-9.511261800043485
1051.205797,-61.193449170114945
1055.237121,-121.87991579541813
1059.262444,-35.17595716267897
1063.281777,86.26992184648361
1067.295131,789.2605383590999
1071.302515,2192.1900949805745
1075.303942,3153.089326395182
1079.299422,3543.4539438875195
1083.288966,2691.5313221929714
1087.272585,1301.6152660679932
1091.250289,602.4352108563335
1095.222091,100.02967647357264
1099.187999,72.39435755577824
1103.148026,128.6428896916268
1107.102183,-24.596159846228147
1111.050479,25.404110669589045
1114.992927,-45.17317387342973
1118.929536,-84.42024922998053
1122.860318,29.164128676252858
1126.785283,-100.46411165589916
1130.704443,22.76574362934025
1134.617808,496.86357722388493
1138.52539,500.848757869152
1142.427198,431.69416348353207
1146.323244,415.3927878546215
1150.213538,230.2845381461716
1154.098093,330.7220651280272
1157.976917,93.42546384265461
1161.850023,5.003145195370962
1165.717421,343.3678393897594
1169.579121,251.78488296080923
