Wavelength,4ATP_10pM_rep2_acc3_I1
402.370542,2762.848261641084
407.3839172,1716.3957167529516
412.3896217,715.4818508246171
417.3876683,171.30809295773724
422.3780697,68.14778116037814
427.3608386,60.74280403953344
432.3359876,22.22335500195004
437.3035295,165.35648574135666
442.2634769,243.6015977591269
447.2158423,-42.74038941037725
452.1606383,-124.05343941175124
457.0978776,-5.6598976615059655
462.0275727,-63.036525399124
466.9497361,42.23552697616469
471.8643802,247.92739562291717
476.7715176,271.70699943437467
481.6711608,337.9213600179264
486.5633221,527.4517786415308
491.448014,648.0952011739591
496.3252488,636.1773695591219
501.195039,680.1987746618197
506.0573969,764.7530254533212
510.9123349,532.7498987810905
515.7598651,226.82452869082226
520.6,369.6555588473966
525.4327518,548.2418431787446
530.2581327,275.32990145683834
535.076155,80.85586856618102
539.8868309,218.03981432126056
544.6901726,184.9812712511157
549.4861922,214.31654026382785
554.2749019,353.1587385348921
559.0563139,18.9378357003352
563.8304402,-103.59801616901495
568.597293,275.72071563144164
573.3568844,181.01616120103245
578.1092263,-46.77517132183311
582.8543308,115.67373334343574
587.5922101,59.94927827438187
592.322876,-41.92372777152377
597.0463405,154.3889084258608
601.7626157,175.2060717743916
606.4717135,50.57547252393124
611.1736458,46.73929316457543
615.8684246,26.763366497170864
620.5560617,-56.441807602825065
625.2365691,-54.23347228179591
629.9099585,144.74980605033852
634.5762419,209.20636716739136
639.2354312,72.6269055136163
643.887538,72.70766522924714
648.5325743,30.417980010499377
653.1705518,-11.85779832141634
657.8014823,31.24589307302267
662.4253775,-81.96974243849036
667.0422493,-75.15860309076015
671.6521092,45.05453375021352
676.2549691,-27.6158597413978
680.8508407,-47.824499504267806
685.4397355,46.04121341493919
690.0216654,16.031137207655775
694.5966419,-23.11487195461632
699.1646767,125.87372170718118
703.7257814,293.89957302359835
708.2799676,259.13455915810664
712.827247,183.336270344078
717.367631,260.5400478447518
721.9011314,235.1454381005169
726.4277595,22.11063931060744
730.9475271,42.34853657720305
735.4604456,255.50685871635687
739.9665264,280.4236524933094
744.4657813,262.07955185726496
748.9582215,198.88352082639722
753.4438587,-32.85669288294048
757.9227042,-51.04251353576183
762.3947696,18.931418293575916
766.8600662,-19.10343096262295
771.3186056,184.20434620830747
775.770399,348.92693978301213
780.215458,193.88759060927805
784.6537939,7.886870797743541
789.0854181,-65.94247314218774
793.510342,77.62703663867069
797.9285769,313.7495472948267
802.3401342,315.98848225098845
806.7450253,261.0796084529047
811.1432614,255.65647651629297
815.5348538,69.02059791121246
819.9198139,4.0366615436669235
824.2981531,147.01556286923187
828.6698824,68.03869597909215
833.0350133,-79.15851282370022
837.393557,-2.997632324215374
841.7455248,135.46179153186858
846.0909278,68.22443550978824
850.4297774,-66.3800833711357
854.7620848,19.261369614507203
859.0878611,13.793560498123043
863.4071176,-142.64362665611407
867.7198655,41.43533810078952
872.026116,405.3407444119712
876.3258802,407.55301652785784
880.6191693,188.37629731405286
884.9059946,223.3199065227218
889.186367,296.0872694154277
893.4602979,33.763685759207874
897.7277982,-154.58963088876226
901.9888793,54.55369942080688
906.2435521,244.00658477622892
910.4918277,72.21100719262176
914.7337174,-93.58355455617311
918.9692321,20.900154102726447
923.1983831,73.49576096205965
927.4211813,-4.499040086018795
931.6376378,-1.788681850561261
935.8477637,163.8525651234704
940.0515701,285.5655491559064
944.249068,41.11324550462268
948.4402684,-111.37710691457687
952.6251825,26.098692114846926
956.8038212,62.05163972786431
960.9761955,156.93670314180963
965.1423166,149.42575714988743
969.3021953,-0.91802537383046
973.4558427,62.26219090610539
977.6032699,15.314949326559145
981.7444877,-16.702902785991682
985.8795072,118.124035347666
990.0083394,4.121024537873382
994.1309953,-6.34581847080517
998.2474857,63.294025794522895
1002.357822,-116.71684072594871
1006.462014,-7.487815467868131
1010.560075,219.31131791272674
1014.652013,131.40140335850265
1018.737841,56.17910137310173
1022.81757,5.5010164188206545
1026.891209,-67.02012840592033
1030.958771,2.2763356297746213
1035.020266,81.2425630119451
1039.075705,-21.3757710113332
1043.1251,-115.20834861273761
1047.16846,14.395705299595647
1051.205797,47.74874355887732
1055.237121,-47.02765126847953
1059.262444,44.995052728067094
1063.281777,356.1473181133297
1067.295131,1153.4423176209675
1071.302515,2306.9442244477395
1075.303942,3221.7234618861676
1079.299422,3611.2689552797747
1083.288966,3074.680342233116
1087.272585,1883.7749913069492
1091.250289,913.378300377748
1095.222091,358.1988925133883
1099.187999,140.6267906108078
1103.148026,71.63987922268097
1107.102183,-28.435974277332207
1111.050479,-81.88917709290217
1114.992927,-81.40911807273187
1118.929536,23.960543370740197
1122.860318,83.88868739388454
1126.785283,39.32901015396055
1130.704443,284.15508293135645
1134.617808,693.75967375646
1138.52539,896.0765496869972
1142.427198,840.4433189039792
1146.323244,549.6088831305715
1150.213538,442.1774328263091
1154.098093,541.0737275623815
1157.976917,402.19326878071297
1161.850023,354.4333009682632
1165.717421,555.0314969397587
1169.579121,679.9663725968767
1173.435135,764.040811039029
1177.285474,785.026557998186
1181.130148,856.0046904454939
1184.969169,987.6791354933503
1188.802547,770.2632315105384
1192.630292,385.62112495297606
1196.452416,193.5061966548783
1200.26893,47.46984914189761
1204.079844,-50.17858258409342
1207.88517,-67.8447760730287
1211.684917,-27.210678278714113
1215.479098,191.10732842980178
1219.267722,230.37023743629288
1223.050801,-11.503689352332913
1226.828346,9.2706048747159
1230.600366,162.25333269845487
1234.366874,144.1216183453098
1238.12788,68.50091587730822
1241.883395,37.377624617597576
1245.633429,163.97261667983094
1249.377994,203.9180628296681
1253.1171,32.302955205705985
1256.850759,-29.995890312713527
1260.578981,15.61402630036082
1264.301776,39.04733619605577
1268.019157,18.45978842369732
1271.731133,-69.4004877371508
1275.437715,-82.13399223445413
1279.138915,65.30430325942325
1282.834743,196.1167893979382
1286.52521,71.71895312239394
1290.210328,-126.6202267790095
1293.890106,-2.7805211426539245
1297.564555,159.3554214742735
1301.233688,58.66923215429597
1304.897514,151.03890830537694
1308.556044,412.2999541928293
1312.209289,211.3473691096833
1315.857261,-129.06753289846074
1319.499969,48.65239527267113
1323.137425,298.9303142693434
1326.769641,260.1812473733635
1330.396626,240.47498371492202
1334.018391,190.4668407047202
1337.634948,88.41892124876085
