Wavelength,4ATP_1uM_rep2_acc5_I1
402.370542,3183.5367603903906
407.3839172,2055.4528570558978
412.3896217,1012.6982090881102
417.3876683,544.5369369283217
422.3780697,117.55070129560045
427.3608386,64.52700668854231
432.3359876,-1.9076924289875024
437.3035295,60.68362592374251
442.2634769,354.7139057542918
447.2158423,-76.39123370030575
452.1606383,-184.3791234078817
457.0978776,-63.310440428656875
462.0275727,-31.155856990739267
466.9497361,245.27679226024338
471.8643802,322.9806585456099
476.7715176,623.4613023968086
481.6711608,1171.2277526881335
486.5633221,1380.3853213577713
491.448014,1205.664947802712
496.3252488,926.9725149777569
501.195039,718.2646179081567
506.0573969,763.6577523034575
510.9123349,504.77640585098925
515.7598651,145.21472133520183
520.6,315.51343375685065
525.4327518,409.320937962686
530.2581327,127.46056031951775
535.076155,-93.47015253697282
539.8868309,235.3551536175164
544.6901726,252.77607790866386
549.4861922,125.94547633442198
554.2749019,200.54978502996346
559.0563139,-172.2711989177442
563.8304402,-113.96321397159772
568.597293,286.6259497928895
573.3568844,207.7831462303002
578.1092263,-79.98875712642803
582.8543308,127.75229204125208
587.5922101,119.86508796670569
592.322876,-252.2044458131095
597.0463405,139.16310539701044
601.7626157,184.1982097148375
606.4717135,29.957836925203083
611.1736458,49.994545450781516
615.8684246,-195.9904285086086
620.5560617,48.03631039931679
625.2365691,9.905512078063111
629.9099585,73.55950686880533
634.5762419,299.5596298212422
639.2354312,50.9990490048076
643.887538,121.90836275688162
648.5325743,-45.86271605574075
653.1705518,-48.50188175326184
657.8014823,52.34607755532852
662.4253775,-97.13651124541502
667.0422493,57.982377638943944
671.6521092,-52.41757833616066
676.2549691,-63.23677612525171
680.8508407,-10.412753175989565
685.4397355,-47.18486101230155
690.0216654,23.068204080915166
694.5966419,65.44462932464376
699.1646767,198.1597336615905
703.7257814,310.0214118090589
708.2799676,527.1163431888235
712.827247,628.9312500740707
717.367631,547.171029310739
721.9011314,245.07467419651766
726.4277595,26.06930311015276
730.9475271,28.421917228701204
735.4604456,143.93750537012238
739.9665264,405.6041432166312
744.4657813,350.9739278634861
748.9582215,232.74191465191507
753.4438587,-167.9042158475877
757.9227042,-184.9651416571105
762.3947696,86.15377681698374
766.8600662,65.885731073231
771.3186056,445.19218947307127
775.770399,327.3168136462609
780.215458,96.291175303626
784.6537939,-25.912097705393535
789.0854181,-175.2464899827719
793.510342,109.0208281592295
797.9285769,342.95445824976014
802.3401342,427.70600639435906
806.7450253,361.4535403695645
811.1432614,398.1734531882121
815.5348538,121.34879710546556
819.9198139,-82.01902929509015
824.2981531,298.88274284133695
828.6698824,256.597735798754
833.0350133,-9.883991260217954
837.393557,-32.69387392932913
841.7455248,13.769569193429561
846.0909278,97.69845742787766
850.4297774,48.58940646280462
854.7620848,-52.88225649987726
859.0878611,-41.82952151974496
863.4071176,8.409586229758133
867.7198655,231.5274948005299
872.026116,426.087973402231
876.3258802,350.25849855209344
880.6191693,215.510806892009
884.9059946,259.13589187006255
889.186367,355.73403159046575
893.4602979,-39.37304954071806
897.7277982,-297.8554444024794
901.9888793,85.32286535354979
906.2435521,263.0136827600727
910.4918277,15.741257701169161
914.7337174,-119.76607842821613
918.9692321,116.32856480295413
923.1983831,85.1756393865926
927.4211813,80.98838302033437
931.6376378,204.78104263273417
935.8477637,-23.969565438661448
940.0515701,133.25765875768593
944.249068,9.878019174160727
948.4402684,-104.46409006981958
952.6251825,247.93872540807024
956.8038212,204.5719543323885
960.9761955,308.653282512998
965.1423166,217.55771961095888
969.3021953,-35.33993733308307
973.4558427,131.80115274229865
977.6032699,35.383852839369865
981.7444877,-48.39616511355962
985.8795072,177.81957740336657
990.0083394,-39.04230081707283
994.1309953,23.384771400349564
998.2474857,213.97680479403607
1002.357822,-35.44224457238488
1006.462014,382.17155285339686
1010.560075,507.0234317750492
1014.652013,117.76455280548362
1018.737841,60.26901882368111
1022.81757,-99.97791416457221
1026.891209,-158.70828925675414
1030.958771,-33.82803902307933
1035.020266,25.160690342918315
1039.075705,-42.14200866955434
1043.1251,-104.96322595356469
1047.16846,19.10743207215819
1051.205797,123.32081178721455
1055.237121,133.9108710932851
1059.262444,619.6276151355232
1063.281777,1687.6646025624723
1067.295131,3383.969842348548
1071.302515,5193.202545723048
1075.303942,6008.470158224773
1079.299422,6141.58755587242
1083.288966,5033.962066935337
1087.272585,2773.7539530569466
1091.250289,1272.235894342959
1095.222091,438.5873225303767
1099.187999,34.70850255837286
1103.148026,-30.02823936461391
1107.102183,-239.07963208291767
1111.050479,-32.23142025713787
1114.992927,46.12660018233146
1118.929536,22.273486525833505
1122.860318,547.8965341892672
1126.785283,1032.9982222780272
1130.704443,2213.889369044022
1134.617808,4098.317125022317
1138.52539,5221.931990661591
1142.427198,5281.959163255375
1146.323244,3954.9168218225823
1150.213538,2232.814701593521
1154.098093,1308.928131413777
1157.976917,368.0399192353452
1161.850023,103.9453449343564
1165.717421,293.2079179637112
1169.579121,94.73092102318151
1173.435135,108.79092609378858
1177.285474,45.0578124679796
1181.130148,555.1083003586809
1184.969169,1048.5651197214447
1188.802547,1051.5856458845337
1192.630292,966.8347115101406
1196.452416,480.19022075289104
1200.26893,254.35950580618191
1204.079844,-62.16625928684698
1207.88517,-70.58018857755269
1211.684917,-31.100447907059788
1215.479098,-0.9363788083101099
