Wavelength,4ATP_1mM_rep2_acc2_I1
402.370542,10716.72573787254
407.3839172,6503.393311836548
412.3896217,3709.792751960462
417.3876683,2391.793262984904
422.3780697,1550.1463716996577
427.3608386,781.4339260145298
432.3359876,549.9250313684124
437.3035295,437.3900829107506
442.2634769,453.2430664664098
447.2158423,154.55301975659404
452.1606383,-23.38752693114111
457.0978776,65.5951348287972
462.0275727,-34.715744143185475
466.9497361,269.6588153480834
471.8643802,229.93089179463914
476.7715176,362.12992691531326
481.6711608,777.4018752239845
486.5633221,1245.5429509616006
491.448014,972.5439826770594
496.3252488,1032.2795492665882
501.195039,990.5409443416324
506.0573969,903.0089375361185
510.9123349,1071.2517624970073
515.7598651,541.5742349536549
520.6,564.1067520723054
525.4327518,591.0982945407632
530.2581327,584.0179707598181
535.076155,394.2436105556658
539.8868309,715.5521155702991
544.6901726,738.6128494139562
549.4861922,511.9491654287576
554.2749019,423.91269844410454
559.0563139,32.177594574778595
563.8304402,38.68270087411838
568.597293,202.80865987768584
573.3568844,205.33401576142387
578.1092263,-129.476020468333
582.8543308,175.49543232115275
587.5922101,160.16910990522138
592.322876,-36.099415716339536
597.0463405,36.97896746161814
601.7626157,33.54882508351602
606.4717135,94.38090803402793
611.1736458,2.87689615464933
615.8684246,-12.067340089011395
620.5560617,159.21536013448258
625.2365691,488.8005890521222
629.9099585,1256.9333338403362
634.5762419,2214.8316403760186
639.2354312,2189.459155376384
643.887538,1880.119213423617
648.5325743,1018.7362705207579
653.1705518,487.63882769804786
657.8014823,456.6160258000018
662.4253775,108.68138700527743
667.0422493,163.6014540219985
671.6521092,7.521558885893683
676.2549691,-30.61757868768018
680.8508407,144.57052909643699
685.4397355,40.22026611570436
690.0216654,145.83728682970377
694.5966419,471.56929716313334
699.1646767,1054.3781078068587
703.7257814,1078.6254011933497
708.2799676,857.872302367381
712.827247,959.432128677483
717.367631,802.2707839864934
721.9011314,477.334914419127
726.4277595,51.04831483520411
730.9475271,56.93505081321018
735.4604456,-7.200438818128532
739.9665264,309.0036647909019
744.4657813,162.90111096495548
748.9582215,135.89031810403958
753.4438587,-18.676543732517075
757.9227042,-75.51208306283297
762.3947696,198.81906496039255
766.8600662,6.36465228226416
771.3186056,470.25884619465205
775.770399,366.32171621004454
780.215458,505.2430985779606
784.6537939,447.61578427279983
789.0854181,453.2594636310946
793.510342,964.0036158059133
797.9285769,1449.2452978952074
802.3401342,2009.755953722114
806.7450253,2085.0597922542966
811.1432614,2035.5915563847911
815.5348538,1802.7363483509034
819.9198139,1599.441004895693
824.2981531,1527.1030151962036
828.6698824,1190.4394209705383
833.0350133,806.9811995318823
837.393557,568.5304126431633
841.7455248,522.3847875012252
846.0909278,382.46074903201725
850.4297774,12.131152738867058
854.7620848,165.36584619422683
859.0878611,117.50537333875855
863.4071176,-130.64989077299742
867.7198655,68.1050355688626
872.026116,177.13293488258114
876.3258802,381.85363350739135
880.6191693,144.44329548604492
884.9059946,111.4787513914589
889.186367,277.2531595201767
893.4602979,9.056804050535902
897.7277982,43.71093364553599
901.9888793,225.80114080963222
906.2435521,556.092894490519
910.4918277,552.5474889930092
914.7337174,581.0513668027525
918.9692321,979.7243420484447
923.1983831,1150.6076269022233
927.4211813,995.0342875083979
931.6376378,1103.719421089646
935.8477637,1077.835631067568
940.0515701,1381.2955190170878
944.249068,1544.7249647894832
948.4402684,1440.0253120576126
952.6251825,1725.6900551742883
956.8038212,1830.8420391742366
960.9761955,2126.8385461683183
965.1423166,1843.9899803119515
969.3021953,1895.1463426889122
973.4558427,2006.8530813618609
977.6032699,1915.8558809631159
981.7444877,1929.5289001205792
985.8795072,1868.725502443187
990.0083394,1848.966389008563
994.1309953,2084.692771286125
998.2474857,3010.508504649457
1002.357822,4208.124867931639
1006.462014,4783.447496185294
1010.560075,3208.0579010626034
1014.652013,1463.3921532586082
1018.737841,545.2193970526387
1022.81757,187.4643191768646
1026.891209,27.803859224257394
1030.958771,-75.25067755130931
1035.020266,150.2618168520894
1039.075705,-35.88911644946347
1043.1251,60.46419968958435
1047.16846,131.99513003525044
1051.205797,507.64174988872946
1055.237121,1026.752827008463
1059.262444,2397.398810370688
1063.281777,5019.4275328394615
1067.295131,9799.942871998188
1071.302515,17083.07063037049
1075.303942,24217.91243365873
1079.299422,27494.661473788598
1083.288966,22293.455781416927
1087.272585,13174.840413737777
1091.250289,6203.873545768087
1095.222091,2182.1082080572723
1099.187999,695.3675019121729
1103.148026,196.7100684057432
1107.102183,35.56054728598065
1111.050479,0.6905787353916821
1114.992927,186.82006855379404
1118.929536,841.9251980838844
1122.860318,1856.3902884213867
1126.785283,3399.684976456496
1130.704443,6380.605977963968
1134.617808,10457.468945867558
1138.52539,14115.360163964238
1142.427198,14478.019115273426
1146.323244,11062.106590813595
1150.213538,6878.907479332194
1154.098093,4242.884165279619
1157.976917,2947.3041891036355
1161.850023,2175.7461375417133
1165.717421,2226.5557591900542
1169.579121,2220.3794866266016
1173.435135,2735.7662131047728
1177.285474,3385.714353417052
1181.130148,3815.8083389823787
1184.969169,4037.087712896361
1188.802547,3198.1810220765174
1192.630292,2370.9752366756984
1196.452416,1180.2750104370834
1200.26893,535.7411815512132
1204.079844,127.99667117753324
1207.88517,-103.95358297127132
1211.684917,5.729061705563254
1215.479098,50.61145635205139
1219.267722,463.3796598396457
1223.050801,47.075938753222545
1226.828346,117.21836016654288
1230.600366,325.40414208281527
1234.366874,368.45972294801504
1238.12788,477.68059131432346
1241.883395,207.51097563673466
1245.633429,465.6195387257512
1249.377994,376.3933250005748
1253.1171,130.49852266232756
1256.850759,18.37404179790883
1260.578981,-3.8465479273318124
1264.301776,149.51821135428872
1268.019157,-0.46014521543384035
1271.731133,-88.70164847681008
1275.437715,-4.191571550337358
1279.138915,227.05435135888365
1282.834743,209.1089936959088
1286.52521,160.7842758524048
1290.210328,52.76864086661044
1293.890106,420.1908954492874
1297.564555,835.707847687856
1301.233688,673.956514911245
1304.897514,900.6473110501156
1308.556044,690.7941313779756
1312.209289,478.1559716760594
1315.857261,113.32034734313766
1319.499969,55.502818404511345
1323.137425,131.63442660259443
1326.769641,-9.792176148064755
1330.396626,91.4813896474534
1334.018391,-30.03261881994149
1337.634948,-25.332104305300163
1341.246307,-2.8233010026233387
1344.85248,202.40421644185244
1348.453477,275.02544931513967
1352.049309,448.91859783167274
1355.639987,682.0835347340844
1359.225522,1025.573858539593
1362.805925,941.871505417932
1366.381207,1124.829553399627
1369.951379,1381.396183336099
1373.516452,1467.4830871863523
1377.076436,2146.493982542832
1380.631343,3110.9406549367704
1384.181184,4641.354484649112
1387.725969,5849.286923853058
1391.26571,5972.66662188404
1394.800417,4389.119895528824
1398.330102,2415.801077899361
1401.854776,979.9544285100492
1405.374448,253.01988492001237
1408.889132,-20.20153034841951
1412.398837,47.712571006316466
1415.903574,1016.1627983542294
1419.403355,2272.4539214897486
1422.89819,3947.0965135558417
1426.388091,6146.855350355382
1429.873069,8178.904567809733
1433.353134,9140.943093395545
1436.828298,8726.682166630304
1440.298571,7223.952358954433
1443.763965,5331.316111032319
1447.224491,3466.7254404775085
1450.68016,1991.2884029663928
1454.130983,1252.1058738101556
1457.576971,623.8846462227057
1461.018135,643.1290847646815
1464.454486,699.7992017424294
1467.886036,672.8291325198497
1471.312794,1017.3099523603232
1474.734774,958.2832993880793
1478.151985,830.8215702120187
1481.564439,696.6681410056408
1484.972146,1138.4221365397425
1488.375119,1321.6845949277122
1491.773368,1483.4762109092235
1495.166904,1117.1469937128422
1498.555739,289.6560235172483
1501.939883,128.73006614110818
1505.319349,16.61271708821687
1508.694146,48.08970435300034
1512.064286,96.24165358632945
1515.429781,1.5758093770573396
1518.790642,-82.32459394733496
1522.146879,156.98461212030816
1525.498505,109.08916515684814
1528.845529,252.5976720390472
1532.187965,616.0688411664464
1535.525822,845.6811984309434
1538.859112,1067.1306626198025
1542.187846,1425.414852566717
1545.512036,1574.6626978040117
1548.831693,2065.9198144019338
1552.146829,2436.297206858517
1555.457453,2465.892215382593
1558.763579,2922.4649511730704
1562.065216,3405.862293598606
1565.362377,4137.5293401261315
1568.655073,4901.0552675290855
1571.943315,5743.739908798502
1575.227114,6474.621099241583
1578.506482,7143.21635822719
1581.781431,7903.4407284429
1585.051971,8668.548949608872
1588.318114,9305.72164070781
1591.579872,9610.604257160458
1594.837255,8446.392788375771
1598.090275,6920.930281548728
1601.338945,4934.093996382246
1604.583274,3352.382697089788
1607.823275,2157.723685245329
1611.058959,1533.2075087021135
1614.290338,1730.9289406145786
1617.517422,933.9707561365708
1620.740224,994.7668043359449
1623.958755,702.6897451768723
1627.173027,613.6028856972348
1630.38305,622.6838793384732
1633.588838,431.1190241154045
1636.7904,251.11729710453574
1639.987749,401.401546805062
1643.180896,371.69796640249933
1646.369853,7.044548124216817
1649.554632,287.5731437117729
1652.735244,30.56977640579271
1655.9117,-38.9306206475062
1659.084013,51.49938545327586
1662.252193,125.18234195248806
1665.416254,-40.17569149170231
1668.576205,31.777573843664868
1671.732059,201.48078689640215
1674.883828,135.31147105255968
1678.031523,-8.494817386845625
1681.175157,20.762270073853415
1684.314739,-48.35955554090651
1687.450284,17.405052910105496
1690.581801,127.28729174941054
1693.709304,-77.65125193750782
1696.832803,43.28153592126591
1699.952311,114.14066192049404
1703.067839,199.0985019282507
1706.179399,158.2209498311795
1709.287003,239.79311975632436
1712.390663,137.69275584306888
1715.49039,160.4283169810583
1718.586197,209.2998623208473
1721.678095,46.442214630312264
1724.766096,39.38995704366516
1727.850213,-97.68791759494025
1730.930456,12.654095407727254
1734.006838,27.743570440301482
1737.079372,-63.83777115764087
1740.148067,31.51421313264518
1743.212938,222.16517293359948
1746.273996,86.37527577324136
1749.331252,52.11728007518559
1752.384718,41.21769457994924
1755.434408,-35.0066090921523
1758.480332,-6.944983059940114
1761.522503,-4.984598756599098
1764.560933,-18.956464321593103
1767.595634,-20.058066151087132
1770.626618,102.552968009898
1773.653896,126.93058269652238
1776.677482,10.460277646228406
1779.697388,-81.28297501385214
1782.713625,110.67949550228332
1785.726205,97.65984633014205
1788.735141,54.719306395180865
1791.740445,24.178804486204626
1794.742129,22.25159298086328
1797.740206,206.55110271034255
1800.734687,193.6870051923902
1803.725585,58.65270920250441
1806.712912,146.62090049452945
1809.69668,50.66106452192207
1812.676902,-6.20917833416388
1815.65359,-83.03589373755904
1818.626756,-44.68721143604944
1821.596413,-13.415966645889057
1824.562573,-51.05345111107954
1827.525247,35.02695551714078
1830.48445,-84.41118094759895
1833.440192,67.32148322020203
1836.392487,8.19020507436835
1839.341347,27.061941758606736
1842.286784,29.76399831913932
1845.22881,-5.28293329934877
1848.167439,50.17498277755385
1851.102682,60.56518306480302
1854.034553,-123.6912015164985
1856.963063,-2.067598720633214
1859.888226,217.33890638865205
1862.810053,44.346029134530454
1865.728557,48.16725337513935
1868.643751,45.1805641860019
1871.555648,-62.51359043035427
1874.46426,-117.40850668846451
1877.369599,86.21834654328586
1880.271679,8.645362273420687
1883.170512,8.309428688346998
1886.06611,131.74228671282708
1888.958487,108.95033736986852
1891.847655,0.1480548845524936
1894.733626,-13.572995005614302
1897.616414,21.639585211526082
1900.496032,-73.94101876973355
1903.372491,38.604247746513465
1906.245805,42.616331248221286
1909.115987,69.29103234303193
1911.983049,21.050905554964174
1914.847004,-45.12754340178208
1917.707866,129.58998187148745
1920.565646,12.625496222425227
1923.420359,69.32943944383942
1926.272016,88.15212768499578
1929.120631,-120.35496485814247
1931.966216,-39.78870175955808
1934.808786,4.194165108558536
1937.648351,20.829884455626143
1940.484927,40.36457003632677
1943.318525,-10.071465833738785
1946.149158,168.21595689150035
1948.97684,477.2227296208807
1951.801584,195.4293639870716
1954.623403,-0.3368416133635037
1957.44231,135.9281964165093
1960.258318,40.6903727784329
1963.071439,-35.31661625918696
1965.881688,-26.95670117953432
1968.689078,-25.101995533092122
1971.493621,45.91284811625246
