Ramanshift[cm-1],Intensity,,,,,,,,
771.3186056,15427.2,,,,,,,,
775.770399,14308.6,,,,,,,,
780.215458,14901,,,,,,,,
784.6537939,14083.4,,,,,,,,
789.0854181,14037,,,,,,,,
793.510342,14022.8,,,,,,,,
797.9285769,14684.2,,,,,,,,
802.3401342,14105.8,,,,,,,,
806.7450253,14373.4,,,,,,,,
811.1432614,14281.4,,,,,,,,
815.5348538,14088.8,,,,,,,,
819.9198139,13826.6,,,,,,,,
824.2981531,14242.2,,,,,,,,
828.6698824,14262.8,,,,,,,,
833.0350133,14130.2,,,,,,,,
837.393557,13946.4,,,,,,,,
841.7455248,14162.2,,,,,,,,
846.0909278,13999.6,,,,,,,,
850.4297774,14035.6,,,,,,,,
854.7620848,14003.8,,,,,,,,
859.0878611,14251.2,,,,,,,,
863.4071176,13707.6,,,,,,,,
867.7198655,14194.8,,,,,,,,
872.026116,14546.6,,,,,,,,
876.3258802,14920.8,,,,,,,,
880.6191693,14335.2,,,,,,,,
884.9059946,14425.6,,,,,,,,
889.186367,14894.8,,,,,,,,
893.4602979,13721.8,,,,,,,,
897.7277982,13637,,,,,,,,
901.9888793,14103.8,,,,,,,,
906.2435521,14501.8,,,,,,,,
910.4918277,13870.6,,,,,,,,
914.7337174,13813.2,,,,,,,,
918.9692321,13734,,,,,,,,
923.1983831,14313.6,,,,,,,,
927.4211813,13932,,,,,,,,
931.6376378,14739.8,,,,,,,,
935.8477637,14111.4,,,,,,,,
940.0515701,14283.4,,,,,,,,
944.249068,14329.8,,,,,,,,
948.4402684,13372.2,,,,,,,,
952.6251825,14462.8,,,,,,,,
956.8038212,13996.2,,,,,,,,
960.9761955,14605,,,,,,,,
965.1423166,14024.8,,,,,,,,
969.3021953,14125.2,,,,,,,,
973.4558427,14194.4,,,,,,,,
977.6032699,13929.2,,,,,,,,
981.7444877,14103,,,,,,,,
985.8795072,13998.2,,,,,,,,
990.0083394,14067.2,,,,,,,,
994.1309953,13785.6,,,,,,,,
998.2474857,14067.4,,,,,,,,
1002.357822,13363.2,,,,,,,,
1006.462014,13971.2,,,,,,,,
1010.560075,13647.4,,,,,,,,
1014.652013,14134.2,,,,,,,,
1018.737841,14515.2,,,,,,,,
1022.81757,13898.6,,,,,,,,
1026.891209,13911.2,,,,,,,,
1030.958771,13716.2,,,,,,,,
1035.020266,14069,,,,,,,,
1039.075705,13830.8,,,,,,,,
