duplicate_group,sha256,copies,source,relative_path
15,04b496fce35652640055dc3d249fbfa1a39defe6889d8be8519871fbe9cb640f,2,master_benchtop,24-10-21/Measures/Analitos elegidos/Blanks/GOAAB/Baseline Corrected/GOAAB_Blank_S1_C1_3_wb.csv
15,04b496fce35652640055dc3d249fbfa1a39defe6889d8be8519871fbe9cb640f,2,master_benchtop,24-10-21/Measures/Blanks/GOAAB/Baseline Corrected/GOAAB_Blank_S1_C1_3_wb.csv
16,058b6497b6632ef16558da2aa1b9af5f40cd3aa848056177de90d212384e3e5d,3,curated,Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-9M_750_5_5_L_S2.csv
16,058b6497b6632ef16558da2aa1b9af5f40cd3aa848056177de90d212384e3e5d,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-9M_750_5_5_L_S2.csv
16,058b6497b6632ef16558da2aa1b9af5f40cd3aa848056177de90d212384e3e5d,3,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-9M_750_5_5_L_S2.csv
17,05b4dcafde7ed15764d538ee68b4d03e576d91cd05025075bd85aa927d355191,3,curated,Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S3.csv
17,05b4dcafde7ed15764d538ee68b4d03e576d91cd05025075bd85aa927d355191,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S3.csv
17,05b4dcafde7ed15764d538ee68b4d03e576d91cd05025075bd85aa927d355191,3,master_portable,Test 4-ATP/Elegidos/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S3.csv
18,06b7459a8bae6ab7c66ab2697f2f818cf2442ddd07a4271d371b250b79f6eb6b,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-12M_750_5_5_M_S1.csv
18,06b7459a8bae6ab7c66ab2697f2f818cf2442ddd07a4271d371b250b79f6eb6b,2,master_portable,Test 4-ATP/Elegidos/03-07-24/4 ATP/750_5_5_M/AAB_4 ATP_10^-12M_750_5_5_M_S1.csv
19,06f6ea9bc9d174c1d3b2bae8b5a726fc84a1891df5441ae7572c92be052a2fce,2,master_benchtop,24-10-08/AAB/CSV/Metadata/V1S3 GOAuAg_02_crr_md.csv
19,06f6ea9bc9d174c1d3b2bae8b5a726fc84a1891df5441ae7572c92be052a2fce,2,master_benchtop,24-10-16/V1S1 GOAuAg/Metadata/V1S3 GOAuAg_02_crr_md.csv
