curated_path,curated_column_index,curated_column_name,master_source,master_path,master_column_index,master_column_name,points,axis_max_abs_difference,intensity_max_abs_difference,name_token_similarity,axis_match_1e-5,preferred_original_tree,path_length,curated_group,master_date,master_setting,curated_concentration_M,master_concentration_M,concentration_agrees
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,0.0001,0.0001,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,0.0001,0.0001,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,5,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-4M_750_5_5_L_S3.csv,5,5,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,0.0001,0.0001,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,5,5,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S1.csv,5,5,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,1,1,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,1,1,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,2,2,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,2,2,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,3,3,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,3,3,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
Raman_spectra_data/Blind samples/Original spectra/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,4,4,master_portable,Test 4-ATP/24-09-24/4 ATP/750_5_5_L/AAB_4 ATP_10^-5M_750_5_5_L_S2.csv,4,4,512,0.0,0.0,0.5333333333333333,True,True,69,Blind samples,24-09-24,750_5_5_L,1e-05,1e-05,True
