manifest_order,prepared_file,prepared_sha256,sample_type,concentration_M,concentration_label,prepared_replicate,prepared_accumulation,source_collection,source_master_path,source_master_column_index,source_master_column_name,source_scan_id,source_date,source_setting,source_replicate,intensity_max_abs_difference,axis_max_abs_difference,axis_match_1e-5,concentration_agrees,expected_calibration_date,expected_calibration_setting,date_matches_expected,setting_matches_expected,lineage_class,scientific_status,source_reuse_count,source_scan_first_prepared_file,source_scan_is_reused,statistical_independence_status
11,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc1.csv,ff00c1c13b35190b9623993dadac7ab17c01445b02e70d7ae81967a6b998c40b,sample,1e-13,100fM,3,1,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,1,1,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#1,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
12,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc2.csv,da451d7ddf88c33a5b0c07374e53b3cdc49d08a6fcce3fa26a2887d8b7a3fd50,sample,1e-13,100fM,3,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,2,2,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#2,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
13,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc3.csv,96ee85564803e9fc149f8fdb31391a7e3b8d33b01420e3a6daa068cdaa9a67f3,sample,1e-13,100fM,3,3,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,3,3,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#3,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
14,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc4.csv,1caec026244700719b23d77b5787ce31c7f36923880baa11cb10e958c3a31da2,sample,1e-13,100fM,3,4,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,4,4,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#4,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
15,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc5.csv,12e1ee72055a4c2225655c86fe6e7a0082d9c25f66ebd2bda181ee3b81333dd3,sample,1e-13,100fM,3,5,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,5,5,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#5,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
16,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc1.csv,0aa5a5b08415f677fb69cffc90c7c04feca80683e9eac274469ba4f78034db16,sample,1e-07,100nM,1,1,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,1,1,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#1,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc1.csv,False,no_exact_reuse_detected_within_prepared_set
17,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc2.csv,a850c10885a974c6cb38e293ded020fe340c37ec94a98b87a1ee33112ff0e292,sample,1e-07,100nM,1,2,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,2,2,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#2,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc2.csv,False,no_exact_reuse_detected_within_prepared_set
18,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc3.csv,678e1dff2fb72c2a4c41bd52e07579bb353c95b6bd522d98b6088fb32c0c8b12,sample,1e-07,100nM,1,3,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,3,3,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#3,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc3.csv,False,no_exact_reuse_detected_within_prepared_set
19,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc4.csv,38c9edf000af1a1415ef2c10a47a98bf93e608773ae17282be4f03191a9d6932,sample,1e-07,100nM,1,4,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,4,4,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#4,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc4.csv,False,no_exact_reuse_detected_within_prepared_set
20,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc5.csv,eea8159e3bdb60b7c4b069be9e877b547287fa73dfc120cfde73bd4fbd897304,sample,1e-07,100nM,1,5,master_portable,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,5,5,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#5,03-07-24,750_5_5_L,3,0.0,4.998398708266905e-07,True,True,03-07-24,750_5_5_L,True,True,exact_intensity_axis_context_consistent_sample,source_intensity_exact_axis_within_1e-5_context_consistent,1,data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc5.csv,False,no_exact_reuse_detected_within_prepared_set
