Raman shift cm-1,4ATP_1mM_rep3_acc3_processed_intensity
-93.47115107,264.5795444293664
-87.69374369,30.020700244354458
-81.9253076,38.86236739949825
-76.16582701,-49.45772115790283
-70.41528615,141.55141307323603
-64.67366933,-18.878567357105254
-58.94096086,-90.92481406772077
-53.21714512,25.12381648604977
-47.50220652,15.353180454250785
-41.79612954,37.707360357631146
-36.09889866,123.89319742087045
-30.41049843,220.13928425838714
-24.73091343,34.30872171497713
-19.0601283,4.933128696622763
-13.39812769,67.59096010351206
-7.744896327,-59.763323587591586
-2.100418946,1.5749866562893509
3.535319659,54.17367348728959
9.162334658,-10.719388712631101
14.78064118,26.5462455295915
20.39025432,-56.177663361741
25.99118913,9.077820170501127
31.58346061,121.86446824865098
37.16708375,25.20389321911812
42.74207347,-6.646402769640794
48.30844468,29.934351018341843
53.86621222,23.21339182354516
59.41539093,-76.5825434661376
64.95599558,-2.736318895262741
70.48804091,75.02342423194266
76.01154164,-16.600518796199545
81.52651243,-27.734525175091683
87.03296792,51.21104480828148
92.5309227,130.0998455622668
98.02039134,40.63017897430422
103.5013884,7.231310270723917
108.9739282,115.2531736092694
114.4380255,107.31421614316916
119.8936944,197.42865165173262
125.3409495,282.662401490836
130.779805,168.2886733001293
136.2102753,-33.78669816112422
141.6323747,-49.69570649670359
147.0461174,108.22774262111395
152.4515176,97.90078775860755
157.8485895,81.83931314817653
163.2373472,12.89038748595074
168.6178049,5.4872594657581715
173.9899766,135.67486360899088
179.3538764,121.57549426855533
184.7095182,94.79865914812214
190.0569161,135.36173807516272
195.396084,46.13849812230127
200.7270358,6.455505096817948
206.0497854,33.59765219649448
211.3643466,-67.85918170358087
216.6707333,28.257632613246706
221.9689593,45.113067544765606
227.2590382,21.258612329567402
232.5409839,55.748459592503266
237.8148101,-90.60895348342196
243.0805303,-63.43145230116819
248.3381582,39.292636079545716
253.5877075,21.933266526297878
258.8291917,-14.02439845748718
264.0626244,-27.845997626895464
269.288019,43.94411608988022
274.5053891,104.65094338435006
279.7147481,-59.178827215476076
284.9161094,257.83053427978655
290.1094865,1564.8565268385366
295.2948927,5498.366427196254
300.4723414,14640.113958740389
305.6418459,27387.594322881094
310.8034194,38525.58749756844
315.9570752,44247.321298341776
321.1028267,45984.34537593317
326.2406869,46833.83209661188
331.370669,47579.4109217992
336.4927863,47618.39112990994
341.6070517,47376.71105169561
346.7134786,47371.38724556672
351.8120798,47030.55935022726
356.9028684,47071.86213158979
361.9858576,46850.605603504286
367.0610602,46520.00741689448
372.1284892,46560.81459978354
377.1881577,46178.30925851237
382.2400784,46249.14738917466
387.2842644,46154.56677949696
392.3207284,45923.42898948683
397.3494833,45908.529346082854
402.370542,45542.99093670976
407.3839172,45388.29402819685
412.3896217,45383.7405970016
417.3876683,45309.471350109154
422.3780697,45057.23640508442
427.3608386,44633.999514843425
432.3359876,44290.99976993644
437.3035295,43871.78772384682
442.2634769,43703.20434003806
447.2158423,43972.43924485332
452.1606383,43591.25592066929
457.0978776,43193.49628409255
462.0275727,43392.20830247937
466.9497361,42985.80971326351
471.8643802,42298.255404253156
476.7715176,41854.387823975085
481.6711608,41645.5371582254
486.5633221,41715.14007161002
491.448014,41376.491962077795
496.3252488,40728.659620742255
501.195039,40217.582081153596
506.0573969,39237.38683247985
510.9123349,38323.36457628103
515.7598651,37618.822302355504
520.6,36454.2880612384
525.4327518,35744.22760927314
530.2581327,35168.080109976094
535.076155,34614.23053382417
539.8868309,34457.0758802321
544.6901726,33359.05778552446
549.4861922,32163.18228970962
554.2749019,31571.79121504035
559.0563139,31102.928712723446
563.8304402,30928.36441407311
568.597293,30542.89685235917
573.3568844,30235.668189337055
578.1092263,29806.138701170545
582.8543308,29621.94010910971
587.5922101,29527.528689829793
592.322876,28617.092072119885
597.0463405,28324.344613861722
601.7626157,28430.02922441678
606.4717135,28079.400694975346
611.1736458,27677.456936579376
615.8684246,27064.060648842624
620.5560617,26639.028438426027
625.2365691,26893.345610562454
629.9099585,26874.724492798017
634.5762419,26728.27322934266
639.2354312,26829.801912061354
643.887538,25887.83955010785
648.5325743,24788.132928218427
653.1705518,23991.20362342008
657.8014823,22833.942940165587
662.4253775,22053.67857807307
667.0422493,21838.374701807752
671.6521092,21459.593700157213
676.2549691,20857.94636648171
680.8508407,20583.556555964602
685.4397355,20102.6732225281
690.0216654,19670.419936686274
694.5966419,19639.019536207405
699.1646767,19670.001970618945
703.7257814,19646.584008810663
708.2799676,19861.89010688013
712.827247,19996.129527280224
717.367631,19306.805687619948
721.9011314,18139.02905817983
726.4277595,16869.710611312054
730.9475271,16116.623688203807
735.4604456,15613.91812694211
739.9665264,15296.27964462613
744.4657813,14984.959419806328
748.9582215,14239.76166007188
753.4438587,13229.752871801953
757.9227042,12579.713436331826
762.3947696,12022.29816248469
766.8600662,11120.689758570003
771.3186056,11062.993005971788
775.770399,10730.455573182688
780.215458,9918.46661454078
784.6537939,9546.866501849778
789.0854181,9309.162524029442
793.510342,8976.829966616711
797.9285769,8908.732842835241
802.3401342,9000.457557491045
806.7450253,8795.96961407159
811.1432614,8806.709598260004
815.5348538,8197.128155738585
819.9198139,7339.047027528693
824.2981531,6950.761602891915
828.6698824,6253.206382946635
833.0350133,5064.268471674608
837.393557,4600.305678254961
841.7455248,4213.0449065756
846.0909278,3526.819169094695
850.4297774,3589.2007450237543
854.7620848,3190.0784205591553
859.0878611,2693.401243594195
863.4071176,2423.0153426417237
867.7198655,2517.1803468831386
872.026116,2381.6153310191476
876.3258802,1857.9381612377729
880.6191693,1623.0573446106137
884.9059946,1118.7524388402053
889.186367,961.8118051338643
893.4602979,380.39698371275153
897.7277982,17.754457078703126
901.9888793,564.2562111291336
906.2435521,850.7782459812988
910.4918277,1128.2369309078458
914.7337174,1265.765659552988
918.9692321,1571.4682017846862
923.1983831,1613.5465119327346
927.4211813,1217.6536336118043
931.6376378,1241.3837939920813
935.8477637,1177.009368360228
940.0515701,1525.9323378482004
944.249068,1574.7701367716109
948.4402684,1042.5630335999194
952.6251825,957.6289196385442
956.8038212,830.160021951513
960.9761955,803.3923377968495
965.1423166,775.5109205216468
969.3021953,585.5644868765085
973.4558427,458.88533538144475
977.6032699,476.617957557748
981.7444877,426.58812843824853
985.8795072,443.7349796387025
990.0083394,373.0138925684405
994.1309953,773.7090254950999
998.2474857,2182.052490971175
1002.357822,4071.3176725075464
1006.462014,5405.739757232986
1010.560075,4211.747792031947
1014.652013,2021.4472991823495
1018.737841,641.2300020185503
1022.81757,103.28791932162858
1026.891209,41.16429524232444
1030.958771,-48.94667892727739
1035.020266,399.86978862527394
1039.075705,1023.409397923082
1043.1251,1822.7384536977333
1047.16846,2792.1170656947797
1051.205797,4184.551655113923
1055.237121,6492.489221878324
1059.262444,10746.989270726466
1063.281777,15322.85292824416
1067.295131,15569.716341545107
1071.302515,14667.756872244641
1075.303942,15260.469336907612
1079.299422,14470.742862369672
1083.288966,14970.876245740212
1087.272585,14898.282974758567
1091.250289,10269.710269388048
1095.222091,5942.267332983163
1099.187999,3642.1234683904186
1103.148026,2860.2333379662123
1107.102183,2987.044513255445
1111.050479,2789.9737706203923
1114.992927,4012.928249853805
1118.929536,5701.949626831734
1122.860318,8805.355567982067
1126.785283,13394.59289685862
1130.704443,14781.77601652234
1134.617808,14106.787794204098
1138.52539,14315.489632882123
1142.427198,14218.685651923759
1146.323244,14169.00394613139
1150.213538,14309.016894396438
1154.098093,14057.602255503261
1157.976917,14452.778013414612
1161.850023,14392.448311102999
1165.717421,14099.35771312796
1169.579121,14163.536854213307
1173.435135,14152.617799114574
1177.285474,14426.16983144953
1181.130148,14204.186885152776
1184.969169,12922.698318863408
1188.802547,10862.37731194227
1192.630292,8546.930785401786
1196.452416,6276.213565502083
1200.26893,4805.773825215951
1204.079844,3730.257100491228
1207.88517,3446.5850262045715
1211.684917,3405.3077106226883
1215.479098,3280.6768939391586
1219.267722,3492.365207480296
1223.050801,2692.577923919005
1226.828346,2479.145733319503
1230.600366,2184.4366628898097
1234.366874,1396.5374571560133
1238.12788,1381.881647183869
1241.883395,1012.2993857293986
1245.633429,667.6856461247553
1249.377994,699.3519301136002
1253.1171,715.2606469228958
1256.850759,673.3929053578613
1260.578981,520.095125729913
1264.301776,586.9033757155921
1268.019157,436.1490577262739
