Raman shift cm-1,4ATP_1uM_rep1_acc5_processed_intensity
-93.47115107,348.5155628290226
-87.69374369,44.838156249592686
-81.9253076,-38.06929653415591
-76.16582701,-30.380568274663148
-70.41528615,122.79129245602775
-64.67366933,-86.88136543161086
-58.94096086,-72.81375454881501
-53.21714512,-52.01356607552977
-47.50220652,25.115168593047812
-41.79612954,-39.60594662806691
-36.09889866,72.49770741806687
-30.41049843,70.98180289382753
-24.73091343,88.30569896710179
-19.0601283,1.3250266907107253
-13.39812769,-5.920353788690598
-7.744896327,-77.22386182766803
-2.100418946,-145.67851039550752
3.535319659,124.43482151907408
9.162334658,-41.204829533830846
14.78064118,11.217329379063969
20.39025432,2.603253559466321
25.99118913,23.947502838509397
31.58346061,81.58281354888533
37.16708375,61.495646417511004
42.74207347,23.522497858974738
48.30844468,-56.89165789125546
53.86621222,-76.25493162553462
59.41539093,-3.847178529329433
64.95599558,-132.6216170011051
70.48804091,42.86351630857679
76.01154164,5.58566175238429
81.52651243,-153.40141265521396
87.03296792,51.413653105359806
92.5309227,184.27620630136042
98.02039134,-12.634374754940389
103.5013884,-44.4663107060138
108.9739282,17.3215529700254
114.4380255,33.369701164659766
119.8936944,-23.176672003091547
125.3409495,247.2049697496211
130.779805,4.463733413302755
136.2102753,-78.2159610395866
141.6323747,-41.91978956532498
147.0461174,62.84865242405441
152.4515176,5.349357870900362
157.8485895,-24.039171518397144
163.2373472,85.99515849616392
168.6178049,125.39080936958564
173.9899766,299.14961069914557
179.3538764,203.67466069807486
184.7095182,258.00852430020586
190.0569161,393.1875326833135
195.396084,577.0835247586508
200.7270358,344.86106126310204
206.0497854,592.4523348341465
211.3643466,424.66311015114314
216.6707333,659.3256129656929
221.9689593,457.4324443548487
227.2590382,574.5551347362363
232.5409839,437.3195089183187
237.8148101,467.48946881587347
243.0805303,352.5016787257422
248.3381582,491.75181220362754
253.5877075,240.55105062045968
258.8291917,338.4318292349329
264.0626244,8.308674397530524
269.288019,112.17710954802035
274.5053891,-211.79104787377435
279.7147481,-174.23186022588237
284.9161094,56.79438516801554
290.1094865,2605.2189910321395
295.2948927,10286.35640629383
300.4723414,29039.873316264595
305.6418459,47837.82248010343
310.8034194,46721.558282301194
315.9570752,45140.500362322506
321.1028267,44755.71609781691
326.2406869,43908.38679258197
331.370669,43481.48692706687
336.4927863,42584.57573693713
341.6070517,42106.11163208123
346.7134786,41406.17254485651
351.8120798,40768.790716588
356.9028684,40098.76585592398
361.9858576,39538.79096169293
