Raman shift cm-1,blank_rep3_acc5_processed_intensity
-93.52472366,996.2377250251544
-87.74731628,124.8011292801217
-81.97888019,-111.65919713180548
-76.2193996,34.58881175131921
-70.46885874,55.683561304905325
-64.72724191,-139.48716280853046
-58.99453344,-185.90358518174241
-53.2707177,31.44269692881923
-47.55577911,94.47878076642365
-41.84970212,98.43817763657091
-36.15247124,356.2530312883465
-30.46407101,443.0577387590439
-24.78448602,258.38004003002004
-19.11370089,211.2359116741975
-13.45170028,108.53168359417398
-7.798468914,-125.81114027788198
-2.153991534,-77.71850210555972
3.481747071,93.0103399272285
9.10876207,77.6860607229215
14.72706859,-1.6271443168371462
20.33668173,-80.35051498449062
25.93761654,14.719387731199959
31.52988803,284.66642286844757
37.11351116,265.96311592072084
42.68850089,47.77241969489378
48.25487209,65.19279118684078
53.81263964,66.43831303976388
59.36181834,-166.73330718827833
64.90242299,-155.0133525787785
70.43446832,149.97598743413255
75.95796905,104.95083005605753
81.47293984,-99.33944997006635
86.97939533,116.69184477876915
92.47735012,245.47401534561422
97.96681875,23.374875738294797
103.4478158,22.23412003417587
108.9203557,65.51674510163107
114.3844529,-22.863668178885725
119.8401218,338.9088974305448
125.2873769,720.3114811757349
130.7262324,283.94503199193906
136.1567027,-207.54789849469793
141.5788021,32.89426664401057
146.9925448,352.9053295659264
152.397945,247.55245571148174
157.7950169,25.577768140922363
163.1837747,20.64409512364422
168.5642323,265.62038465200254
173.936404,341.3361792057576
179.3003038,62.582310392174385
184.6559456,23.242159235580246
190.0033435,355.02659323398393
195.3425114,402.7155825567439
200.6734632,76.22208376852201
205.9962128,-105.43843719440387
211.310774,-21.092303567344857
216.6171607,21.027275455010045
221.9153867,-36.821659306567696
227.2054656,-4.835260085564389
232.4874113,36.77881327726226
237.7612375,14.622774083999396
243.0269577,60.25466580910047
248.2845856,66.74403309857308
253.5341349,-44.20411568087732
258.7756191,-62.114503618228184
264.0090518,64.29859836162206
269.2344464,186.00184782692486
274.4518165,201.7728393177104
279.6611755,76.20202070510688
284.8625368,-127.44125516646763
290.0559139,-100.01784000129764
295.2413201,497.08017061289894
300.4187688,1436.4750088346168
305.5882733,2278.712916147825
310.7498468,3060.9580324364997
315.9035027,3731.362802554578
321.0492541,3948.1103016092934
326.1871143,3840.335865029532
331.3170964,3806.617332620205
336.4392137,3824.173115831448
341.5534792,3745.485136802051
346.659906,3642.843346837848
351.7585072,3480.4394910312176
356.8492959,3262.185923994674
