Raman shift cm-1,4ATP_10fM_rep2_acc5_processed_intensity
-93.47115107,613.8407615555038
-87.69374369,104.50612431959692
-81.9253076,-64.85919261411617
-76.16582701,45.84860808491631
-70.41528615,32.19827607531435
-64.67366933,-210.92782971647065
-58.94096086,-32.132829461696765
-53.21714512,-35.62442382943815
-47.50220652,-47.55907681312567
-41.79612954,23.737140533216717
-36.09889866,128.29116243336406
-30.41049843,88.26338009211352
-24.73091343,83.5424297486289
-19.0601283,25.401190349447447
-13.39812769,-36.74378978917171
-7.744896327,-80.87672156196292
-2.100418946,-11.399257816581496
3.535319659,119.58321432698398
9.162334658,-133.25205698335043
14.78064118,57.963719563011146
20.39025432,-95.14763859383788
25.99118913,-9.621072807918672
31.58346061,255.34229254908104
37.16708375,77.48344326054558
42.74207347,50.78736247495149
48.30844468,20.726256664810435
53.86621222,-28.4063331681075
59.41539093,-93.91090167928442
64.95599558,-64.83832901429088
70.48804091,72.59074440480593
76.01154164,87.50398253531692
81.52651243,-209.57853288436098
87.03296792,102.56381741372387
92.5309227,243.86242955904686
98.02039134,-88.07563712133805
103.5013884,19.450232571935604
108.9739282,19.81878666515854
114.4380255,31.936272186439723
119.8936944,47.204170861009025
125.3409495,295.71283383251085
130.779805,31.630259892150207
136.2102753,-38.00144752088135
141.6323747,-96.57019517233061
147.0461174,96.86829188239098
152.4515176,54.45947266188903
157.8485895,-94.16643006449542
163.2373472,84.25500330110592
168.6178049,81.54515234905637
173.9899766,284.9842521161578
179.3538764,309.65719218613657
184.7095182,375.2777534723988
190.0569161,398.28954386239656
195.396084,425.83228807081025
200.7270358,305.3996425707498
206.0497854,475.5743108776507
211.3643466,382.82192250782396
216.6707333,458.84231190103685
221.9689593,436.2741902391691
227.2590382,440.5359745492959
232.5409839,444.39893180792
237.8148101,389.0120550311366
243.0805303,379.17228341774
248.3381582,337.8120404396353
253.5877075,250.57420287177467
258.8291917,287.43492661837536
264.0626244,68.80834710428351
269.288019,118.09954798707392
274.5053891,-144.55770821942747
279.7147481,-96.00976410713436
284.9161094,-137.46594711170465
290.1094865,1712.066646844451
295.2948927,7606.850355121262
300.4723414,21303.594722425958
305.6418459,39796.76536789702
310.8034194,45841.62482268252
315.9570752,44420.62631715778
321.1028267,43931.26117226868
326.2406869,43241.44488862266
331.370669,42712.70359526186
336.4927863,41967.9565602824
341.6070517,41391.41423270802
346.7134786,40836.7479839393
351.8120798,40105.17823161447
356.9028684,39572.12130463778
361.9858576,38924.61926465474
367.0610602,38000.834158173515
372.1284892,37580.021509768885
377.1881577,36592.81156701356
382.2400784,36151.440837562746
387.2842644,35467.70574941978
392.3207284,34661.750130607616
397.3494833,34085.6212641143
402.370542,33082.42523203673
407.3839172,32395.49608781586
412.3896217,31704.454117370708
417.3876683,31114.153143382122
422.3780697,30147.876869729684
427.3608386,29209.670672906097
432.3359876,28144.99012189843
437.3035295,27190.182776180132
442.2634769,26302.101191879898
447.2158423,25975.285212894803
452.1606383,25016.34963040289
457.0978776,24067.622298591832
462.0275727,23620.968956787678
466.9497361,22491.512412930468
471.8643802,22047.87537112572
476.7715176,20857.84815871652
481.6711608,19981.28672960637
486.5633221,18976.27494956492
491.448014,18276.69047362113
496.3252488,17518.478262816483
501.195039,16656.39200905487
506.0573969,15587.87521421595
510.9123349,14986.846476472529
515.7598651,14558.931019210951
520.6,13437.868642910358
525.4327518,12833.24533701986
530.2581327,11918.894946053857
535.076155,11617.180805376716
539.8868309,10557.09640237079
544.6901726,9818.416395619814
549.4861922,9296.818074584073
554.2749019,8019.391563856778
559.0563139,7887.412519642436
563.8304402,7439.579128811711
568.597293,6066.270371867551
573.3568844,5782.850322437476
578.1092263,5403.598680512514
582.8543308,4581.809851481747
587.5922101,4111.289576838986
592.322876,3868.7865538941987
597.0463405,3254.5764195899537
601.7626157,2626.695205281845
606.4717135,2484.5749684998373
611.1736458,2153.2365490566153
615.8684246,1707.909678665943
620.5560617,1198.0670896640513
625.2365691,1083.045601962469
629.9099585,429.9108612023556
634.5762419,79.45118010917213
639.2354312,456.2806231289869
643.887538,104.44103022333002
648.5325743,196.27577729133918
653.1705518,94.18020766070549
657.8014823,-70.29996802529058
662.4253775,272.2895451325385
667.0422493,40.55413515509281
671.6521092,9.019725668695173
676.2549691,-108.01961617556663
680.8508407,-117.69834257556795
685.4397355,41.414063884287316
690.0216654,-81.27268506816836
694.5966419,105.99917363628992
699.1646767,-224.64962723996723
703.7257814,27.4798436950623
708.2799676,-40.7968856956868
712.827247,-100.42526484995687
717.367631,45.435710564939654
721.9011314,56.440922941368626
726.4277595,511.02650979033933
730.9475271,7.913915149416425
735.4604456,127.37192098333253
739.9665264,-255.83484736634637
744.4657813,158.95421394783625
748.9582215,75.61976732348194
753.4438587,502.92147394841595
757.9227042,445.5269186257756
762.3947696,161.75607593456152
766.8600662,363.67772592682377
771.3186056,-489.84693256050014
775.770399,31.604397851966496
780.215458,-100.85926923730949
784.6537939,176.06821530785965
789.0854181,325.64448240544516
793.510342,110.03439231256925
797.9285769,-138.04555277606778
802.3401342,102.7927482405903
806.7450253,29.22757329500746
811.1432614,-105.3309225973644
815.5348538,78.22652687774462
819.9198139,82.17856851207762
824.2981531,58.81636681185046
828.6698824,-208.74399607817395
833.0350133,51.11775150763788
837.393557,127.87996851843491
841.7455248,-15.678099432629097
846.0909278,-18.50253652695028
850.4297774,174.13509131471073
854.7620848,3.947841597168008
859.0878611,-97.20240348691368
863.4071176,384.19675557898154
867.7198655,108.77009610699679
872.026116,-36.839985858958244
876.3258802,-269.11297169659156
880.6191693,36.67049840867185
884.9059946,66.39522048455183
889.186367,-286.5240640284537
893.4602979,125.88144488644684
897.7277982,112.46282898589561
901.9888793,52.514035578860785
906.2435521,-10.50852393392779
910.4918277,284.57124421203116
914.7337174,246.92115453394217
918.9692321,324.21678148254796
923.1983831,51.840785901520576
927.4211813,84.83067076666339
931.6376378,-180.4766364223433
935.8477637,59.15074700198238
940.0515701,-25.8583076875002
944.249068,17.715407639345358
948.4402684,400.735246838547
952.6251825,-145.5570094211398
956.8038212,147.54162951556282
960.9761955,-178.04219149806158
965.1423166,59.417059585030074
969.3021953,1.285000047289941
973.4558427,11.597627074745105
977.6032699,125.60591434516209
981.7444877,-19.890302203155443
985.8795072,10.49478104672744
990.0083394,-115.00633886186188
994.1309953,41.19299287850117
998.2474857,33.03597804200763
1002.357822,238.42297027554196
1006.462014,-32.64381542139381
1010.560075,152.76824649998343
1014.652013,-48.642385337609085
1018.737841,-198.32644337331112
1022.81757,115.75908488770256
1026.891209,41.739321125927745
1030.958771,180.69328047940144
1035.020266,-25.88761634306138
1039.075705,43.746426857291226
1043.1251,-128.8302861920256
1047.16846,-43.627263105885504
1051.205797,2.6894786720495176
1055.237121,-112.66693016948557
