Wavelength,Al_4-ATP-10^-2M_C1_M2_I2
352.0102828,48.96533397
353.1435523,54.52531018
354.2766141,60.45611436
355.4094683,66.75774653
356.5421151,73.43020667
357.6745543,80.47349479
358.8067861,87.88761089
359.9388106,95.67255497
361.0706277,103.828327
362.2022375,112.3549271
363.3336402,121.2523551
364.4648356,130.5206111
365.595824,140.159695
366.7266053,152.1123342
367.8571795,167.6967697
368.9875468,177.7198012
370.1177072,182.708188
371.2476608,191.5567538
372.3774075,208.3181078
373.5069475,226.4583563
374.6362807,237.2402294
375.7654073,238.6329204
376.8943273,234.635401
378.0230407,229.8901524
379.1515477,226.5656344
380.2798481,224.2232344
381.4079422,221.0069776
382.5358299,215.9504444
383.6635113,210.9973707
384.7909865,208.8591005
385.9182555,207.8200001
387.0453183,201.4475432
388.172175,185.8298878
389.2988257,164.878922
390.4252704,146.9130375
391.5515091,138.4587495
392.6775419,139.6665294
393.8033689,142.0080189
394.9289901,135.5123927
396.0544056,122.1898848
397.1796153,115.0094922
398.3046194,120.6890503
399.429418,131.9672002
400.5540109,140.4278069
401.6783984,149.2377575
402.8025805,166.7107946
403.9265571,191.248512
405.0503285,210.1584329
406.1738945,213.8626136
407.2972553,206.4015906
408.4204109,199.482685
409.5433614,199.2801314
410.6661067,203.0144853
411.7886471,206.569565
412.9109824,210.9896358
414.0331129,220.748649
415.1550384,236.793334
416.2767591,252.935289
417.398275,261.3390669
418.5195862,261.7124377
419.6406927,262.7178408
420.7615946,271.8687119
421.8822919,285.2024808
423.0027846,291.6050455
424.1230729,288.2235384
425.2431567,285.9340942
426.3630362,295.4610418
427.4827113,312.2569472
428.6021821,320.6081711
429.7214487,310.3497364
430.8405111,284.3894505
431.9593694,251.2578391
433.0780236,217.7721128
434.1964738,190.5230838
435.31472,175.6355463
436.4327622,173.5751807
437.5506006,179.2730754
438.6682351,186.0530846
439.7856659,187.1300448
440.9028929,179.576239
442.0199163,168.7459003
443.136736,163.1625469
444.2533521,164.6973277
445.3697647,167.4496951
446.4859738,165.7328185
447.6019795,160.5488826
448.7177818,157.0043372
449.8333808,157.650106
450.9487765,162.1437642
452.0639689,170.4204022
453.1789582,181.3711437
454.2937443,191.7524381
455.4083273,197.9531921
456.5227074,195.9863174
457.6368844,184.0377514
458.7508585,169.4752161
459.8646297,167.9429357
460.9781981,188.3714552
462.0915636,219.7604341
463.2047265,240.3275352
464.3176866,241.8319928
465.4304442,237.00785
466.5429991,240.2462343
467.6553515,250.1450541
468.7675014,255.6223939
469.8794489,251.7214114
470.9911939,244.0718315
472.1027367,242.3038772
473.2140771,252.2624066
474.3252153,269.5723276
475.4361513,279.4180033
476.5468852,271.7268853
477.657417,257.2719299
478.7677467,256.2310813
479.8778745,271.543842
480.9878003,286.6596803
482.0975242,287.4145838
483.2070462,276.437054
484.3163665,267.5433511
485.425485,269.7129715
486.5344018,276.6045135
487.6431169,273.4012289
488.7516305,254.4718657
489.8599425,230.1966579
490.968053,213.6882829
492.0759621,204.5437123
493.1836697,190.739814
494.291176,166.4677209
495.398481,142.4719693
496.5055848,133.2564111
497.6124873,137.8192599
498.7191887,142.2372733
499.8256889,139.5387851
500.9319881,137.075079
502.0380863,145.5151349
503.1439836,169.995555
504.2496799,210.6830416
505.3551753,263.7785005
506.46047,323.1044551
507.5655639,384.3415108
508.670457,443.8691058
509.7751495,494.7795744
510.8796414,531.0421951
511.9839327,552.3249057
513.0880235,560.1716867
514.1919138,555.6001788
515.2956037,541.5301982
516.3990932,520.0494134
517.5023824,489.3247798
518.6054713,448.3903452
519.70836,399.6802024
520.8110485,345.4357887
521.9135369,287.2930724
523.0158252,227.7739669
524.1179134,170.1302311
525.2198017,119.8633041
526.32149,82.9947588
527.4229785,58.19473188
528.5242671,36.31582394
529.6253559,12.83770867
530.726245,-4.977958136
531.8269344,-8.470786264
532.9274242,-0.334542175
534.0277143,8.979187872
535.1278049,16.01356766
536.227696,28.14075676
537.3273877,48.18017925
538.42688,63.56767612
539.5261729,62.64530273
540.6252665,54.9521378
541.7241608,60.46204083
542.8228559,83.64119468
543.9213519,110.6996515
545.0196488,127.731433
546.1177466,133.179559
547.2156454,136.2134473
548.3133452,145.7808266
549.4108461,160.1996817
550.5081482,170.4757956
551.6052514,173.1910221
552.7021558,174.3029117
553.7988616,180.1516672
554.8953686,188.3933107
555.991677,189.8581646
557.0877869,180.3021205
558.1836982,167.1845441
559.279411,161.1300703
560.3749254,165.588934
561.4702414,177.4866245
562.5653591,188.5458287
563.6602785,187.4674966
564.7549996,175.2987892
565.8495226,171.6022191
566.9438474,189.6576995
568.0379741,216.490773
569.1319027,229.7438993
570.2256334,223.4544547
571.3191661,210.5119949
572.4125009,205.9557022
573.5056378,210.2632528
574.5985769,210.4195088
575.6913183,198.9662797
576.7838619,185.201671
577.8762079,182.1786629
578.9683563,188.4015314
580.0603071,188.4045112
581.1520604,171.0463601
582.2436162,144.143401
583.3349745,126.0980196
584.4261355,122.8909454
585.5170992,122.3912909
