Wavelength,Al_4-ATP-10^-2M_C1_M1_I1
2261.0646590772,118.00547699886371
2260.2629854072,100.42634890720375
2259.46117958816,84.42742157242867
2258.65924159269,70.0086949945385
2257.85717139339,57.170169173533225
2257.05496896288,45.911844109412854
2256.25263427373,36.233719802177376
2255.45016729853,28.135796251826804
2254.64756800986,21.61807345836111
2253.84483638029,16.680551421780308
2253.04197238237,13.32323014208444
2252.23897598865,11.546109619273452
2251.43584717168,11.349189853347465
2250.632585904,19.181053783706208
2249.82919215812,28.136366937934184
2249.02566590657,37.3156054671978
2248.22200712187,46.066523049667545
2247.4182157765,54.15073500787877
2246.61429184298,61.712399263554175
2245.81023529377,69.06174685558832
2245.00604610138,76.37606880140602
2244.20172423825,83.45325508379051
2243.39726967686,89.64739957463266
2242.59268238966,94.05823457486252
2241.7879623491,95.91038766198771
2240.98310952761,94.91883555850093
2240.17812389764,91.41470958506778
2239.37300543158,86.1596860583793
2238.56775410187,79.97251202718326
2237.76236988091,73.41067323006266
2236.95685274109,66.69135301491988
2236.1512026548,59.8549532676241
2235.34541959444,53.004536673392714
2234.53950353237,46.41563458365541
2233.73345444095,40.42108169195319
2232.92727229254,35.16072107119513
2232.1209570595,30.416804063931426
2231.31450871416,25.716054335546062
2230.50792722886,20.67172615622603
2229.70121257591,15.331776020119403
2228.89436472765,10.27753634801741
2228.08738365638,6.395955280969167
2227.28026933439,4.461305106298586
2226.47302173398,4.767294539228198
2225.66564082744,7.0104718728159625
2224.85812658703,10.480680619847785
2224.05047898503,14.451263193232972
2223.24269799371,18.55265931234186
2222.4347835853,22.90750787056912
2221.62673573206,27.952212307903675
2220.81855440621,34.09728111595336
2220.01023957999,41.48486013856392
2219.20179122561,49.971842853407416
2218.39320931529,59.284233647689234
2217.58449382123,69.1807934545435
2216.77564471563,79.48900906750752
2215.96666197066,89.97955366684995
2215.15754555851,100.16560530349355
2214.34829545135,109.17883802145705
2213.53891162133,115.85648218114753
2212.72939404062,119.07826996275864
2211.91974268136,118.22650240378594
2211.10995751569,113.49560243116115
2210.30003851573,105.82687874753901
2209.4899856536,96.48748254457732
2208.67979890143,86.56519363458094
2207.86947823131,76.68459171615511
2207.05902361533,67.06824043788956
2206.2484350256,57.82793448992027
2205.43771243419,49.235314533264514
2204.62685581316,41.7765169353415
2203.81586513459,35.98292123502737
2203.00474037052,32.189246247490686
2202.19348149302,30.413319324755058
2201.3820884741,30.468979723222162
2200.57056128581,32.24036218793862
2199.75889990017,35.88177510716809
2198.94710428919,41.723878199106316
2198.13517442487,49.89843045222213
2197.32311027922,59.95850576960696
2196.51091182423,70.80859245831947
2195.69857903187,81.0223186379437
2194.88611187412,89.34455832271487
2194.07351032294,95.08392436940082
2193.26077435029,98.20905400165866
2192.44790392813,99.13223818311799
2191.63489902837,98.31264030271069
2190.82175962297,95.91801812667141
2190.00848568384,91.76597914395528
2189.1950771829,85.58588503852546
2188.38153409205,77.41604926823636
2187.5678563832,67.84432892921699
2186.75404402823,57.91267373204774
2185.94009699903,48.725058178717454
2185.12601526747,41.013072637346795
2184.31179880541,34.96333147691279
2183.49744758471,30.39910450625221
2182.68296157723,27.11857492597975
2181.86834075479,25.104850460747514
2181.05358508925,24.473700696989404
2180.23869455241,25.236208265929733
2179.42366911609,27.079397230743066
2178.6085087521,29.36079621051178
2177.79321343225,31.36367063008141
2176.97778312832,32.64506768365129
2176.16221781209,33.21020766904624
2175.34651745533,33.372111088076785
2174.53068202982,33.39590841230533
2173.71471150731,33.19742714374066
2172.89860585956,32.33480440188786
2172.08236505829,30.310048564245
2171.26598907525,26.958627346015735
2170.44947788215,22.652930087938923
2169.63283145072,18.19853551899526
2168.81604975266,14.505845898872131
2167.99913275967,12.213402865335881
2167.18208044344,11.45893634115441
2166.36489277566,11.92757007378328
2165.54756972799,13.160539077041088
2164.73011127211,14.92256778799331
2163.91251737966,17.34844119054985
2163.09478802231,20.740667154817913
2162.27692317169,25.187273048576927
2161.45892279943,30.34039604409677
2160.64078687715,35.556149920801936
2159.82251537648,40.273992296045634
2159.00410826902,44.31223322703375
2158.18556552637,47.83805992148036
2157.36688712011,51.05144521865308
2156.54807302184,53.86039338903892
2155.72912320311,55.82043593909267
2154.91003763551,56.393746827519465
2154.09081629059,55.35969582390927
2153.27145913989,53.104157048082044
2152.45196615495,50.563724657200396
2151.63233730731,48.811679534256314
2150.81257256849,48.528014584898884
2149.99267191001,49.674391104029624
2149.17263530336,51.541291283688906
2148.35246272006,53.11363230941044
2147.53215413158,53.55334974096773
2146.71170950941,52.5502405861323
2145.89112882503,50.36362308195696
