Wavelength,AAB_4-ATP^10-15M_C2_M3_I1
2263.03847140215,71.76942503821422
2262.23679773216,62.20607738651098
2261.43499191311,53.755744289063756
2260.63305391764,46.418425745872554
2259.83098371835,40.19412175693736
2259.02878128783,35.082832322258206
2258.22644659868,31.084557441835067
2257.42397962349,28.199297115667953
2256.62138033482,26.427051343756858
2255.81864870524,25.76782012610179
2255.01578470732,26.22160346270274
2254.21278831361,27.7884013535597
2253.40965949664,30.468213798672664
2252.60639822895,26.34700195175615
2251.80300448308,31.757166549353453
2250.99947823153,46.40595662107547
2250.19581944682,64.26601738436484
2249.39202810146,75.97084130129211
2248.58810416793,79.26999079118734
2247.78404761873,78.67426797878622
2246.97985842633,80.96594268637982
2246.17553656321,90.81705943666819
2245.37108200182,101.42729796897531
2244.56649471462,103.07227763815933
2243.76177467406,101.18238870829558
2242.95692185257,103.78647713841707
2242.15193622259,104.02324575456795
2241.34681775654,94.07534728924539
2240.54156642683,80.66661245152834
2239.73618220586,76.66246805560854
2238.93066506604,83.55449612236168
2238.12501497976,88.26147831664228
2237.31923191939,80.59384291445156
2236.51331585732,65.88490217537847
2235.7072667659,54.0972276779546
2234.9010846175,47.06757857420838
2234.09476938445,42.818914880931615
2233.28832103911,42.7445069266531
2232.48173955381,48.052305765737444
2231.67502490087,54.9242268467173
2230.86817705261,58.13759210591685
2230.06119598133,56.7745012286032
2229.25408165934,53.479087180485166
2228.44683405894,50.81725988545256
2227.63945315239,50.64217304953181
2226.83193891199,52.02505917318432
2226.02429130999,49.99891857298556
2225.21651031867,43.966056682112736
2224.40859591025,39.21410012797328
2223.60054805701,35.17059285163852
2222.79236673116,28.853880687096712
2221.98405190494,25.635693222122136
2221.17560355057,29.52446513765033
2220.36702164025,33.81735779347752
2219.55830614619,30.554230380246537
2218.74945704058,20.123113669225592
2217.94047429561,10.701917879364013
2217.13135788346,10.484124626626445
2216.3221077763,16.592775285802155
2215.51272394629,18.263844262883648
2214.70320636558,15.009499625566889
2213.89355500632,15.312752153760067
2213.08376984064,19.180385437088518
2212.27385084068,22.713353960801182
2211.46379797856,28.122889574085107
2210.65361122638,34.88092467542596
2209.84329055626,38.06434279650997
2209.03283594029,38.01776867297697
2208.22224735056,38.45474375819579
2207.41152475914,39.008177201342875
2206.60066813812,36.39280452043878
2205.78967745954,30.475424900992824
2204.97855269548,25.460382339454185
2204.16729381797,25.505817220153766
2203.35590079906,31.1901509174389
2202.54437361076,38.59335272862159
2201.73271222512,42.58600493517332
2200.92091661414,41.18114011045129
2200.10898674983,35.688879877989855
2199.29692260418,31.76961846001514
2198.48472414918,36.34765852848307
2197.67239135682,46.23612473868401
2196.85992419907,49.4890254219325
2196.0473226479,43.160906265759614
2195.23458667525,37.492657206264624
2194.42171625308,39.00900453222853
2193.60871135333,43.04400070707818
2192.79557194793,45.23559752723458
2191.9822980088,46.78124074853898
2191.16888950785,47.91995986183484
2190.35534641701,46.26451886308078
2189.54166870816,42.00439766921074
2188.72785635319,37.53048991268204
2187.91390932398,31.902393334868282
2187.09982759242,25.172036494053064
2186.28561113036,22.852073076160014
2185.47125990967,25.537368163252886
2184.65677390218,26.421051462283575
2183.84215307975,23.417254578603067
2183.0273974142,20.26099662205679
2182.21250687736,17.93646987039123
2181.39748144104,13.710865878545349
2180.58232107706,7.736070625971472
2179.7670257572,5.597618715933445
2178.95159545327,8.796382591139746
2178.13603013704,9.938811997244308
2177.32032978029,5.492327089209542
2176.50449435478,1.9593881184961641
2175.68852383227,3.9296986777336835
2174.87241818451,7.295327770606049
2174.05617738325,7.137135541283104
2173.2398014002,3.9069833444338986
2172.42329020711,0.10323281373684434
2171.60664377568,-2.3345695403150546
2170.78986207762,-1.549879902592746
2169.97294508463,1.5226314273674542
2169.1558927684,3.475674262466419
2168.33870510061,5.492634958344012
2167.52138205295,11.025212690597542
2166.70392359706,14.307375480750473
2165.88632970462,7.764834382496074
2165.06860034727,-1.411360584507515
