Wavelength,Al_4-ATP-10^-2M_C1_M2_I3
352.0102828,45.8113404
353.1435523,40.79014828
354.2766141,36.34350251
355.4094683,32.4714031
356.5421151,29.17385004
357.6745543,26.45084333
358.8067861,24.30238297
359.9388106,22.72846897
361.0706277,21.72910132
362.2022375,21.30428002
363.3336402,21.45400508
364.4648356,22.17827648
365.595824,23.47709424
366.7266053,20.33673599
367.8571795,24.12829289
368.9875468,16.3484189
370.1177072,11.18437613
371.2476608,25.61970972
372.3774075,42.78878141
373.5069475,52.83903769
374.6362807,57.32989596
375.7654073,68.96549643
376.8943273,72.96032713
378.0230407,63.66849909
379.1515477,65.56257692
380.2798481,75.49746129
381.4079422,64.41351379
382.5358299,47.24841346
383.6635113,51.53987187
384.7909865,39.17044204
385.9182555,28.39268163
387.0453183,19.50809645
388.172175,7.711748637
389.2988257,18.07998556
390.4252704,34.3553848
391.5515091,22.00642112
392.6775419,29.47142481
393.8033689,19.03624493
394.9289901,23.59356813
396.0544056,45.73769973
397.1796153,83.86811998
398.3046194,112.455201
399.429418,112.7975277
400.5540109,130.4944287
401.6783984,111.3636132
402.8025805,136.0331206
403.9265571,156.7668297
405.0503285,168.4844488
406.1738945,175.652587
407.2972553,170.1502766
408.4204109,152.3454502
409.5433614,144.9854419
410.6661067,154.8021307
411.7886471,135.4644525
412.9109824,105.3923505
414.0331129,73.75862084
415.1550384,78.67031718
416.2767591,74.48559151
417.398275,48.62340987
418.5195862,47.87617071
419.6406927,40.00885796
420.7615946,18.31204063
421.8822919,39.30668761
423.0027846,54.02342738
424.1230729,54.31698444
425.2431567,18.61445359
426.3630362,36.78562507
427.4827113,44.7147858
428.6021821,63.47360333
429.7214487,92.77788808
430.8405111,82.63539275
431.9593694,81.99415226
433.0780236,77.74629795
434.1964738,77.84217712
435.31472,67.74605814
436.4327622,62.51661691
437.5506006,66.92306466
438.6682351,55.18936972
439.7856659,34.83642833
440.9028929,29.15730599
442.0199163,21.61916646
443.136736,27.94328833
444.2533521,39.18824811
445.3697647,62.08509631
446.4859738,51.17143902
447.6019795,48.667236
448.7177818,37.1393035
449.8333808,45.29592561
450.9487765,39.03913898
452.0639689,39.78117451
453.1789582,48.16713584
454.2937443,31.65508001
455.4083273,58.22045557
456.5227074,63.255504
457.6368844,58.40035398
458.7508585,69.71809751
459.8646297,77.57757382
460.9781981,99.81320278
462.0915636,113.5964771
463.2047265,114.0451614
464.3176866,109.0329117
465.4304442,111.3498583
466.5429991,119.9550106
467.6553515,126.8810952
468.7675014,147.1708186
469.8794489,147.0443391
470.9911939,147.3132469
472.1027367,122.7633456
473.2140771,130.7060048
474.3252153,130.4853441
475.4361513,127.2295168
476.5468852,130.2502892
477.657417,114.3883495
478.7677467,117.9070463
479.8778745,99.50427534
480.9878003,97.15513399
482.0975242,89.98412
483.2070462,80.31095632
484.3163665,75.66732065
485.425485,102.5957807
486.5344018,107.4458274
487.6431169,95.7134982
488.7516305,72.49188454
489.8599425,73.30457502
490.968053,90.18832807
492.0759621,117.6801402
493.1836697,128.2219368
494.291176,115.6644645
495.398481,103.7825446
496.5055848,66.06870736
497.6124873,91.24467859
498.7191887,99.46293496
499.8256889,122.9260667
500.9319881,118.9781878
502.0380863,123.1482024
503.1439836,129.1564043
504.2496799,130.714812
505.3551753,131.8292964
506.46047,118.4653986
507.5655639,105.6053706
508.670457,96.57391479
509.7751495,121.1177298
510.8796414,121.4243613
511.9839327,105.7421638
513.0880235,70.57114205
514.1919138,55.63775088
515.2956037,41.40521237
516.3990932,61.70825498
517.5023824,42.94373221
518.6054713,32.41394047
519.70836,38.47402092
520.8110485,18.2286218
521.9135369,0.193802737
523.0158252,-7.213421677
524.1179134,7.215076151
525.2198017,11.78279785
526.32149,5.650241458
527.4229785,4.339743434
528.5242671,12.75534898
529.6253559,22.98109876
530.726245,36.12729949
531.8269344,54.57326784
532.9274242,67.04319149
534.0277143,58.55745434
535.1278049,51.45534873
536.227696,58.57987823
537.3273877,60.39113047
538.42688,60.40189467
539.5261729,65.82174093
540.6252665,33.14642789
541.7241608,29.58203002
542.8228559,52.08790005
543.9213519,60.09341428
545.0196488,95.79699861
546.1177466,97.65284312
547.2156454,87.122772
548.3133452,78.7268099
549.4108461,82.97089112
550.5081482,88.40548817
551.6052514,82.89486893
552.7021558,77.34563683
553.7988616,82.66040612
554.8953686,112.069572
555.991677,125.4418036
557.0877869,146.3952888
558.1836982,128.6674756
559.279411,123.8406685
560.3749254,122.2930367
