#Wave,#Intensity1,#Intensity2,#Intensity1,#Intensity2,#Intensity3,#Intensity1,#Intensity2,#Intensity3,#Intensity2,#Intensity3,#Intensity2
2198.932701,6357,5692,6813,5680,5360,5841,5349,5042,6932,5891,7273
2198.120637,6286,5691,6735,5761,5400,5873,5266,5079,6885,5885,7012
2197.308438,6259,5674,6913,5661,5362,5837,5322,5079,6987,5958,7220
2196.496105,6313,5724,6818,5746,5294,5852,5241,5017,7033,5914,7079
2195.683638,6347,5617,6786,5791,5299,5864,5297,4999,6867,5905,7196
2194.871037,6280,5738,6691,5773,5286,5894,5334,5060,6944,5932,7169
2194.058301,6315,5693,6782,5693,5314,5780,5282,5130,6978,5995,7142
2193.24543,6354,5705,6797,5760,5343,5818,5287,5035,6972,5977,7126
2192.432425,6236,5733,6744,5804,5342,5842,5309,4978,6983,5930,7187
2191.619286,6279,5801,6808,5777,5353,5895,5221,5115,6877,6049,7193
2190.806012,6262,5753,6758,5794,5299,5852,5253,5069,6961,5979,7012
2189.992604,6333,5647,6746,5794,5210,5771,5258,5026,7007,5936,7053
2189.179061,6320,5677,6819,5783,5331,5847,5289,5120,6988,5962,7135
2188.365383,6282,5731,6770,5744,5321,5825,5356,5096,7042,5963,7115
2187.55157,6268,5682,6757,5757,5326,5860,5334,5025,6943,6003,7231
2186.737623,6316,5802,6787,5831,5287,5853,5325,5020,6996,5925,7215
2185.923542,6248,5707,6713,5738,5283,5889,5308,5072,6925,5943,7121
2185.109325,6310,5672,6740,5728,5345,5833,5275,5108,6856,5913,7134
2184.294974,6294,5675,6751,5709,5309,5835,5292,5082,6969,5965,7192
2183.480488,6230,5681,6737,5713,5213,5846,5221,4962,6934,5880,7162
2182.665867,6329,5755,6690,5784,5340,5823,5183,5065,7070,6004,7136
2181.851112,6373,5669,6745,5648,5280,5812,5362,5111,7025,5955,7266
2181.036221,6291,5736,6741,5713,5281,5830,5243,5034,6876,5982,7104
2180.221196,6262,5701,6800,5777,5285,5808,5283,5058,7045,5944,7175
2179.406035,6309,5652,6746,5684,5366,5837,5227,5025,6965,5885,7112
2178.59074,6358,5668,6761,5720,5238,5785,5321,5053,6909,5879,7126
2177.77531,6292,5644,6731,5674,5285,5804,5298,5003,6975,5935,6978
2176.959744,6289,5667,6716,5754,5348,5831,5248,5100,6989,5866,7167
2176.144044,6244,5722,6764,5724,5287,5814,5243,5028,6932,5983,7116
2175.328208,6335,5757,6768,5705,5381,5847,5311,4998,6984,5973,7186
2174.512238,6264,5734,6568,5745,5384,5786,5279,5054,6835,5900,7112
2173.696132,6336,5737,6773,5707,5274,5833,5281,5085,6943,5916,7089
2172.879892,6260,5584,6656,5749,5249,5768,5168,5070,7057,5941,7114
2172.063516,6181,5700,6774,5709,5323,5849,5184,5077,7002,5898,7120
2171.247004,6427,5706,6821,5660,5218,5789,5231,5015,6977,5835,7133
2170.430358,6265,5658,6778,5714,5316,5905,5231,5038,6934,5893,7106
2169.613576,6310,5736,6701,5844,5306,5919,5338,5009,7040,5950,7237
2168.796659,6230,5689,6737,5796,5322,5884,5364,5096,6923,5897,7157
2167.979607,6333,5681,6774,5693,5338,5897,5314,5042,6972,5933,7146
2167.162419,6263,5714,6871,5661,5411,5782,5351,4965,6958,5903,7033
2166.345096,6271,5654,6893,5696,5308,5756,5245,4993,7009,6020,7223
2165.527638,6372,5678,6764,5744,5274,5954,5281,5074,6928,5912,7189
2164.710044,6348,5831,6726,5761,5300,5795,5242,5001,6930,5911,7181
2163.892314,6347,5731,6691,5818,5292,5938,5248,4973,6954,6024,7265
2163.07445,6333,5786,6850,5753,5345,5988,5349,5060,6853,5957,7109
2162.256449,6237,5730,6757,5773,5335,5706,5314,5040,6995,5925,7076
2161.438313,6287,5669,6736,5739,5307,5820,5211,5040,6964,5934,7142
2160.620042,6300,5700,6794,5752.324496,5286,5793,5330,4988,6980,5932,7271
2159.801635,6379,5684,6744,5765.651201,5297,5802,5428,5107,7012,6027,7149
2158.983092,6336,5766,6790,5778.980114,5313,5867,5314,5048,6986,5981,7189
2158.164414,6322,5738,6821,5792.311236,5237,5850,5277,5071,7059,5978,7182
2157.345599,6353,5699,6875,5805.644568,5310,5833,5308,5050,6983,5898,7166
2156.52665,6386,5688,6868,5818.98011,5297,5852,5266,5053,6991,5963,7228
2155.707564,6318,5757,6854,5832.317862,5285,5924,5357,5094,7148,5926,7096
2154.888343,6329,5650,6863,5845.657825,5311,5887,5306,5047,7029,5902,7211
2154.068986,6345,5770,6846,5859,5291,5871,5384,5023,6981,5951,7104
2153.249493,6368,5766,6730,5721,5303,5825,5230,5070,7014,6023,7164
2152.429864,6307,5757,6804,5750,5353,5858,5310,5029,7054,5986,7175
2151.610099,6391,5783,6830,5833,5415,5847,5358,5061,6972,6002,7208
2150.790198,6424,5706,6832,5815,5290,5783,5338,5052,6970,5987,7229
2149.970162,6358,5685,6819.604112,5900,5289.000332,5809,5333,5050,7074,5925,7194
2149.149989,6326,5789,6807.206168,5797,5288.000497,5740,5305,5029,7006,5915,7158
2148.329681,6434,5787,6794.806169,5813,5287.000497,5855,5247,5115,6997,6070,7189
2147.509236,6316,5794,6782.404113,5760,5286.000332,5858,5191,5091,7033,5941,7152
2146.688655,6244,5797,6770,5762,5285,5919,5268,4991,7014,5962,7211
2145.867938,6466,5787,6868,5773,5356,5861,5296,5062,7003,6009,7237
2145.047086,6338,5804,6789,5876,5284,5788,5207,5088,7006,6028,7246
2144.226097,6412,5649,6826,5633,5312,5915,5338,5091,6967,5934,7181
2143.404971,6358,5709,6732,5724,5316,5836,5265,5071,6957,5931,7202
2142.58371,6415,5832,6776,5814,5275,5845,5367,5044,7048,6043,7147
2141.762312,6384,5761,6823,5823,5339,5944,5288,5022,7105,6092,7199
2140.940778,6403,5805,6876,5763,5329,5880,5330,5137,7033,6040,7214
2140.119108,6379,5769,6904,5827,5281,5902,5253,5055,7060,5979,7214
2139.297302,6466,5793,6946,5779,5308,5931,5240,5095,6991,6019,7275
2138.475359,6360,5810,6762,5715,5410,5808,5243,5042,7001,5992,7179
2137.653279,6325,5789,6749,5783,5314,5863,5288,5066,7034,6006,7229
2136.831064,6356,5787,6858,5779,5371,5824,5269,5086,6958,6012,7115
2136.008712,6361,5761,6861,5727,5322,5890,5325,5108,7070,5985,7121
2135.186223,6448,5760,6838,5774,5328,5948,5333,5094,6979,5992,7233
2134.363598,6422,5883,6838,5822,5363,5938.450787,5344,5164,6995,6114,7360
2133.540837,6428,5733,6839,5810,5424,5928.899988,5371,5062,7018,6028,7254
2132.717938,6332,5849,6875,5770,5317,5919.347605,5429,5051,7056,6011,7299
2131.894904,6368,5855,6900,5751,5324,5909.793636,5275,5129,6981,6058,7150
2131.071732,6377,5735,6873,5817,5360,5900.238082,5296,5100,7028,6084,7368
2130.248425,6463,5816,6762,5793,5429,5890.680941,5276,5109,7055,5936,7213
2129.42498,6416,5819,6890,5780,5374,5881.122214,5278,5103,7113,6041,7253
2128.601399,6492,5785,6856,5796,5333,5871.561901,5235,4987,7070,6051,7229
2127.777681,6467,5775,6864,5851,5383,5862,5392,5043,7062,5965,7269
2126.953826,6447,5796,6885,5861,5326,5917,5320,5051,7079,6007,7341
2126.129834,6438,5757,6923,5870,5316,5826,5279,5063,7093,6013,7235
2125.305706,6435,5779,6900,5780,5281,5960,5325,5015,7061,6032,7225
2124.481441,6406,5833,6930,5740,5350,5941,5302,5065,6962,6114,7290
2123.657039,6491,5812,6955,5727,5300,5861,5402,5067,7065,5995,7304
2122.8325,6416,5831,6865,5752,5347,5887,5344,5192,7038,5991,7244
2122.007824,6392,5861,6878,5777,5381,5914,5357,5076,7115,5949,7254
2121.183011,6464,5878,6865,5814,5433,5917,5314,5105,7041,5996,7213
2120.358061,6418,5858,6857,5808,5375,5963,5348,5108,7045,6015,7257
2119.532975,6445,5839,6863,5744,5335,5910,5274,5071,7044,6039,7293
2118.707751,6399,5793,6827,5662,5395,5864,5297,5090,7126,5990,7262
2117.88239,6408,5912,6914,5726,5390,5932,5310,5109,7170,6004,7259
2117.056892,6470,5810,6921,5831,5371,5958,5367,5110,7146,6181,7298
2116.231257,6456,5839,6885,5947,5335,5914,5396,5069,7071,6087,7200
2115.405484,6449,5849,6898,5882,5373,5889,5356,5100,7168,6067,7295
2114.579575,6421,5850,6887,5775,5419,5886,5339,5129,7097,5989,7278
2113.753528,6451,5909,6883,5834,5358,5846,5367,5107,7154,6016,7336
2112.927344,6463,5926,6903,5885,5292,5921,5314,5105,7092,6050,7342
2112.101023,6493,5868,6941,5786,5415,5875,5366,5088,7058,6050,7409
2111.274565,6529,5910,6841,5840,5312,5934,5370,5109,7102,6082,7240
2110.447969,6614,5877,6989,5780,5370,5927,5344,5135,7031,6075,7281
2109.621236,6454,5793,6942,5868,5396,5907,5330,5179,7101,6095,7427
2108.794365,6437,5879,6922,5841,5343,5950,5394,5044,7129,6034,7353
2107.967357,6512,5803,6861,5876,5415,5862,5426,5110,7179,5964,7326
2107.140212,6523,5885,6872,5768,5316,5981,5303,5100,7202,6182,7321
2106.312929,6540,5918,6958,5849,5400,5902,5341,5208,7188,6040,7331
2105.485509,6531,5948,6959,5854,5407,5925,5361,5209,7229,6045,7330
2104.657951,6604,5843,6969,5882,5395,5938,5389,5115,7187,6035,7343
2103.830255,6538,5866,7024,5931,5442,5885,5367,5115,7088,6002,7325
2103.002422,6459,5961,7004,5888,5494,5948,5368,5139,7238,6063,7307
2102.174452,6474,5866,6844,5860,5412,5890,5411,5147,7227,6095,7270
2101.346344,6577,5835,6924,5768,5384,5993,5358,5171,7110,6054,7257
2100.518098,6484,5924,6891,5792,5420,5901,5374,5183,7166,6103,7413
2099.689714,6591,5958,7085,5853,5417,6052,5334,5064,7227,5999,7392
2098.861193,6575,5977,6949,5881,5482,5981,5342,5210,7144,6121,7314
2098.032533,6582,5933,6902,5927,5433,5949,5393,5229,7265,6178,7317
2097.203736,6577,5909,6910,5905,5461,5974,5391,5139,7146,6080,7373
2096.374802,6535,5856,7067,5880,5464,5912,5464,5111,7264,6057,7356
2095.545729,6492,5996,6999,5846,5466,6032,5388,5150,7185,6048,7464
2094.716519,6609,5932,6997,5837,5489,5996,5405,5181,7232,6205,7283
2093.88717,6629,6030,6957,5841,5467,6005,5303,5138,7273,6206,7351
2093.057684,6688,5975,7040,5860,5394,5920,5334,5112,7170,6146,7446
2092.22806,6615,5819,6918,5881,5410,5964,5429,5115,7162,6075,7262
2091.398297,6542,5971,6999,5806,5431,6058,5371,5096,7173,6110,7429
2090.568397,6581,5917,7025,5883,5414,5994,5418,5114,7225,6083,7408
2089.738359,6560,5850,6926,5872,5489,6004,5363,5102,7189,6127,7408
2088.908182,6515,5873,6891,5858,5388,6008,5355,5159,7281,6047,7211
