#Wave,#Intensity1,#Intensity2,#Intensity3
2261.862186,5794,5219,4960
2261.060512,5756,5204,4974
2260.258706,5749,5192,4891
2259.456768,5627,5198,4956
2258.654698,5812,5148,4940
2257.852495,5753,5241,4973
2257.050161,5698,5148,5005
2256.247694,5767,5163,4932
2255.445094,5728,5221,5047
2254.642363,5751,5258,4939
2253.839499,5678,5218,4878
2253.036502,5758,5194,4973
2252.233374,5647,5141,4953
2251.430112,5687,5147,4987
2250.626719,5724,5184,5003
2249.823192,5672,5170,4941
2249.019534,5669,5205,4948
2248.215742,5736,5212,4968
2247.411818,5709,5256,5022
2246.607762,5712,5186,4960
2245.803573,5738,5191,4944
2244.999251,5710,5280,4933
2244.194796,5693,5149,4961
2243.390209,5724,5161,4920
2242.585489,5744,5162,5021
2241.780636,5753,5194,5045
2240.97565,5696,5296,5037
2240.170532,5873,5208,5050
2239.365281,5746,5206,4977
2238.559896,5734,5193,5059
2237.754379,5795,5222,4927
2236.948729,5782,5252,4944
2236.142946,5730,5162,4996
2235.33703,5757,5194,5014
2234.530981,5859,5190,4957
2233.724799,5638,5191.310875,5007
2232.918484,5698,5192.621967,4962
2232.112035,5805,5193.933276,4974
2231.305454,5724,5195.2448,4944
2230.498739,5726,5196.556542,4973
2229.691891,5740,5197.868499,4959
2228.88491,5801,5199.180674,5005
2228.077796,5847,5200.493065,4974
2227.270548,5776,5201.805673,4987
2226.463167,5794,5203.118498,5001
2225.655653,5766,5204.431539,4982
2224.848005,5763,5205.744797,5022
2224.040224,5809,5207.058273,4987
2223.23231,5755,5208.371965,5000
2222.424262,5779,5209.685874,5000
2221.616081,5811,5211,5071
2220.807766,5812,5229,5040
2219.999318,5760,5245,5079
2219.190736,5781,5232,5048
2218.38202,5760,5279,5062
2217.573171,5841,5281,4983
2216.764188,5816,5293,5118
2215.955072,5913,5249,4976
2215.145822,5766,5304,5113
2214.336438,5764,5237,4981
2213.52692,5803,5248,5091
2212.717269,5749,5221,5020
2211.907484,5798,5370,5052
2211.097565,5798,5355,5009
2210.287512,5776,5254,5004
2209.477325,5827,5247,5017
2208.667005,5757,5302,5048
2207.85655,5828,5283,5045
2207.045961,5816,5293,4998
2206.235239,5864,5224,4977
2205.424382,5740,5308,5015
2204.613392,5822,5252,5025
2203.802267,5824,5225,5058
2202.991008,5826,5333,5000
2202.179615,5824,5316,5066
2201.368088,5856,5340,5041
2200.556426,5859,5386,5050
2199.744631,5848,5183,5066
2198.932701,5841,5349,5042
2198.120637,5873,5266,5079
2197.308438,5837,5322,5079
2196.496105,5852,5241,5017
2195.683638,5864,5297,4999
2194.871037,5894,5334,5060
2194.058301,5780,5282,5130
2193.24543,5818,5287,5035
2192.432425,5842,5309,4978
2191.619286,5895,5221,5115
2190.806012,5852,5253,5069
2189.992604,5771,5258,5026
2189.179061,5847,5289,5120
2188.365383,5825,5356,5096
2187.55157,5860,5334,5025
2186.737623,5853,5325,5020
2185.923542,5889,5308,5072
2185.109325,5833,5275,5108
2184.294974,5835,5292,5082
2183.480488,5846,5221,4962
2182.665867,5823,5183,5065
2181.851112,5812,5362,5111
2181.036221,5830,5243,5034
2180.221196,5808,5283,5058
2179.406035,5837,5227,5025
2178.59074,5785,5321,5053
2177.77531,5804,5298,5003
2176.959744,5831,5248,5100
2176.144044,5814,5243,5028
