#Wave,#Intensity1,#Intensity2
2261.862186,6116,5567
2261.060512,6037,5415
2260.258706,6158,5514
2259.456768,6140,5576
2258.654698,6160,5567
2257.852495,6215,5546
2257.050161,6130,5528
2256.247694,6126,5498
2255.445094,6074,5547
2254.642363,6157,5613
2253.839499,5979,5565
2253.036502,6044,5503
2252.233374,6142,5494
2251.430112,6046,5436
2250.626719,6055,5561
2249.823192,6119,5549
2249.019534,6011,5465
2248.215742,6161,5533
2247.411818,6109,5484
2246.607762,6059,5515
2245.803573,6129,5576
2244.999251,6115,5537
2244.194796,6101,5525
2243.390209,6086,5523
2242.585489,6128,5574
2241.780636,6079,5562
2240.97565,6144,5570
2240.170532,6123,5626
2239.365281,6081,5601
2238.559896,6099,5543
2237.754379,6126,5522
2236.948729,6200,5596
2236.142946,6129,5586
2235.33703,6136,5559
2234.530981,6155,5589
2233.724799,6212,5576
2232.918484,6104,5574
2232.112035,6048,5575
2231.305454,6093,5568
2230.498739,6111,5573
2229.691891,6319,5642
2228.88491,6192,5566
2228.077796,6217,5611
2227.270548,6171,5643
2226.463167,6129,5586
2225.655653,6155,5560
2224.848005,6209,5647
2224.040224,6221,5645
2223.23231,6191,5603
2222.424262,6172,5622
2221.616081,6181,5570
2220.807766,6167,5538
2219.999318,6158,5643
2219.190736,6231,5632
2218.38202,6227,5590
2217.573171,6221,5633
2216.764188,6308,5617
2215.955072,6344,5646
2215.145822,6236,5632
2214.336438,6166,5704
2213.52692,6185,5713
2212.717269,6299,5672
2211.907484,6325,5709
2211.097565,6241,5684
2210.287512,6220,5658
2209.477325,6175,5704
2208.667005,6239,5668
2207.85655,6191,5537
2207.045961,6241,5725
2206.235239,6221,5653
2205.424382,6273,5609
2204.613392,6337,5690
2203.802267,6236,5668
2202.991008,6269,5690
2202.179615,6192,5726
2201.368088,6201,5677
2200.556426,6263,5766
2199.744631,6251,5723
2198.932701,6357,5692
2198.120637,6286,5691
2197.308438,6259,5674
2196.496105,6313,5724
2195.683638,6347,5617
2194.871037,6280,5738
2194.058301,6315,5693
2193.24543,6354,5705
2192.432425,6236,5733
2191.619286,6279,5801
2190.806012,6262,5753
2189.992604,6333,5647
2189.179061,6320,5677
2188.365383,6282,5731
2187.55157,6268,5682
2186.737623,6316,5802
2185.923542,6248,5707
2185.109325,6310,5672
2184.294974,6294,5675
2183.480488,6230,5681
2182.665867,6329,5755
2181.851112,6373,5669
2181.036221,6291,5736
2180.221196,6262,5701
2179.406035,6309,5652
2178.59074,6358,5668
2177.77531,6292,5644
2176.959744,6289,5667
2176.144044,6244,5722
2175.328208,6335,5757
2174.512238,6264,5734
2173.696132,6336,5737
2172.879892,6260,5584
2172.063516,6181,5700
2171.247004,6427,5706
2170.430358,6265,5658
2169.613576,6310,5736
2168.796659,6230,5689
2167.979607,6333,5681
2167.162419,6263,5714
2166.345096,6271,5654
2165.527638,6372,5678
2164.710044,6348,5831
2163.892314,6347,5731
2163.07445,6333,5786
2162.256449,6237,5730
2161.438313,6287,5669
2160.620042,6300,5700
2159.801635,6379,5684
2158.983092,6336,5766
2158.164414,6322,5738
2157.345599,6353,5699
2156.52665,6386,5688
2155.707564,6318,5757
2154.888343,6329,5650
2154.068986,6345,5770
2153.249493,6368,5766
2152.429864,6307,5757
2151.610099,6391,5783
2150.790198,6424,5706
2149.970162,6358,5685
2149.149989,6326,5789
2148.329681,6434,5787
2147.509236,6316,5794
2146.688655,6244,5797
2145.867938,6466,5787
2145.047086,6338,5804
2144.226097,6412,5649
2143.404971,6358,5709
2142.58371,6415,5832
2141.762312,6384,5761
2140.940778,6403,5805
2140.119108,6379,5769
2139.297302,6466,5793
2138.475359,6360,5810
2137.653279,6325,5789
2136.831064,6356,5787
2136.008712,6361,5761
2135.186223,6448,5760
2134.363598,6422,5883
2133.540837,6428,5733
2132.717938,6332,5849
2131.894904,6368,5855
2131.071732,6377,5735
2130.248425,6463,5816
2129.42498,6416,5819
2128.601399,6492,5785
2127.777681,6467,5775
2126.953826,6447,5796
2126.129834,6438,5757
2125.305706,6435,5779
2124.481441,6406,5833
2123.657039,6491,5812
2122.8325,6416,5831
2122.007824,6392,5861
2121.183011,6464,5878
2120.358061,6418,5858
2119.532975,6445,5839
2118.707751,6399,5793
2117.88239,6408,5912
2117.056892,6470,5810
2116.231257,6456,5839
2115.405484,6449,5849
2114.579575,6421,5850
2113.753528,6451,5909
2112.927344,6463,5926
2112.101023,6493,5868
2111.274565,6529,5910
2110.447969,6614,5877
2109.621236,6454,5793
2108.794365,6437,5879
2107.967357,6512,5803
2107.140212,6523,5885
2106.312929,6540,5918
2105.485509,6531,5948
2104.657951,6604,5843
2103.830255,6538,5866
2103.002422,6459,5961
2102.174452,6474,5866
2101.346344,6577,5835
2100.518098,6484,5924
2099.689714,6591,5958
2098.861193,6575,5977
2098.032533,6582,5933
2097.203736,6577,5909
2096.374802,6535,5856
2095.545729,6492,5996
2094.716519,6609,5932
2093.88717,6629,6030
2093.057684,6688,5975
2092.22806,6615,5819
2091.398297,6542,5971
2090.568397,6581,5917
2089.738359,6560,5850
2088.908182,6515,5873
2088.077868,6543,6017
2087.247415,6543,5905
2086.416824,6659,5960
2085.586095,6584,5924
2084.755228,6569,5977
2083.924222,6545,5868
2083.093078,6520,5974
2082.261796,6575,5959
2081.430376,6624,5968
2080.598817,6649,5963
2079.76712,6668,5777
2078.935284,6574,6041
2078.10331,6565,5925
2077.271197,6634,5929
2076.438946,6690,5912
2075.606556,6667,5890
2074.774028,6614,5992
2073.941361,6591,5891
2073.108556,6543,5943
2072.275612,6568,5906
2071.442529,6661,5999
2070.609307,6670,5896
2069.775947,6545,5976
2068.942448,6574,6008
2068.10881,6611,6022
2067.275033,6605,5904
2066.441117,6595.502373,6016
2065.607063,6586.003165,5977
2064.772869,6576.502374,5967
2063.938537,6567,5985
2063.104066,6638,6043
2062.269455,6566,5908
2061.434706,6619,5917
2060.599817,6533,5950
2059.764789,6704,6012
2058.929623,6609,5927
2058.094317,6657,5989
2057.258872,6600,6054
2056.423287,6686,5938
2055.587564,6657,5942
2054.751701,6600,5983
2053.915698,6581,6014
