#Wave,#Intensity1,#Intensity2,#Intensity1
588.4959612,5446,4943,5779
589.5863331,5515,5067,5783
590.676508,5441,5036,5718
591.7664857,5511,4919,5784
592.8562664,5452,4998,5692
593.9458501,5479,4957,5812
595.0352368,5487,4903,5725
596.1244266,5470,5017,5741
597.2134196,5422,5024,5778
598.3022158,5472,4982,5793
599.3908152,5562,5018,5752
600.4792179,5429,5023,5733
601.567424,5507,4980,5749
602.6554334,5454,4965,5710
603.7432463,5430,5010,5834
604.8308626,5458,5015,5724
605.9182825,5523,4999,5787
607.005506,5520,4989,5814
608.092533,5490,5049,5762
609.1793638,5519,5039,5729
610.2659982,5412,4979,5797
611.3524364,5447,5042,5722
612.4386785,5433,4976,5802
613.5247244,5469,4936,5785
614.6105742,5518,4971,5761
615.6962279,5521,4989,5698
616.7816857,5533,5058,5797
617.8669475,5497,5058,5777
618.9520134,5520,4995,5728
620.0368834,5467,5004,5763
621.1215577,5555,5033,5805
622.2060361,5575,5000,5889
623.2903189,5556,5003,5798
624.374406,5517,4969,5793
625.4582975,5548,4976,5794
626.5419934,5533,5044,5845
627.6254937,5506,5044,5829
628.7087986,5511,5108,5870
629.7919081,5656,5007,5832
630.8748222,5513,5007,5856
631.9575409,5571,5076,5931
633.0400644,5525,5031,5765
634.1223926,5595,5035,5837
635.2045256,5622,5070,5920
636.2864635,5602,5020,5776
637.3682063,5561,5106,5849
638.449754,5589,5073,5904
639.5311067,5531,5096,5846
640.6122644,5687,5123,5796
641.6932273,5586,5061,5771
642.7739952,5573,5059,5913
643.8545684,5562,5063,5938
644.9349467,5641,5076,5905
646.0151304,5606,5149,5910
647.0951194,5562,5071,5931
648.1749137,5577,5124,5956
649.2545135,5666,5105,5890
650.3339187,5556,5072,5913
651.4131294,5676,5128,5882
652.4921457,5544,5070,5894
653.5709676,5642,5061,5843
654.6495951,5651,5052,5954
655.7280284,5601,5129,5891
656.8062674,5559,5056,5946
657.8843121,5672,5083,5927
658.9621627,5730,5091,5941
660.0398192,5671,5098,5926
661.1172816,5690,5060,5978
662.19455,5595,5120,5981
663.2716245,5637,5059,5984
664.348505,5628,5074,5950
665.4251916,5678,5066,5935
666.5016843,5678,5108,5909
667.5779833,5632,5091,5985
668.6540886,5636,5032,5971
669.7300001,5647,5103,5935
670.805718,5591,5097,5967
671.8812423,5725,5091,5932
672.956573,5643,5074,5980
674.0317103,5646,5081,5970
675.106654,5682,5070,5868
676.1814044,5595,5080.504724,5991
677.2559614,5618,5091.007557,5935
678.330325,5626,5101.508501,5939
679.4044954,5581,5112.007556,5922
680.4784725,5659,5122.504722,5860
681.5522565,5624,5133,5883
682.6258473,5647,5111,5889
683.6992451,5598,5133,5910
684.7724497,5635,5037,5834
685.8454614,5595,5176,5925
686.9182802,5574,5135,5851
687.990906,5657,5059,5974
689.063339,5582,5043,5893
690.1355791,5598,5070,5958
691.2076265,5554,5097,6016
692.2794812,5601,5057,5970
693.3511432,5579,5118,5955
694.4226125,5533,5076,5951
695.4938893,5614,5096,5857
696.5649736,5563,5059,5931
697.6358653,5628,5041,5935
698.7065646,5684,5021,5928
699.7770715,5624,5097,5898
700.8473861,5723,5141,5962
701.9175084,5705,5048,5939
702.9874384,5684,5117,6042
704.0571762,5608,5059,5986
705.1267218,5614,5064,5942
706.1960753,5660,5108,5990
707.2652367,5674,5195,6001
708.3342061,5630,5138,5941
709.4029835,5734,5093,5907
710.471569,5702,5159,5963
711.5399626,5700,5126,6028
712.6081643,5663,5072,5987
713.6761743,5725,5209,5983
714.7439925,5741,5163,6025
715.811619,5591,5057,6070
716.8790538,5710,5115,6051
717.946297,5753,5071,6061
