#Wave,#Intensity2,#Intensity3
2261.862186,6780,5810
2261.060512,6705,5716
2260.258706,6786,5847
2259.456768,6827,5799
2258.654698,6745,5788
2257.852495,6772,5718
2257.050161,6726,5862
2256.247694,6803,5807
2255.445094,6719,5722
2254.642363,6730,5823
2253.839499,6730,5807
2253.036502,6643,5723
2252.233374,6735,5778
2251.430112,6691,5853
2250.626719,6715,5766
2249.823192,6817,5730
2249.019534,6639,5819
2248.215742,6823,5712
2247.411818,6728,5796
2246.607762,6746,5774
2245.803573,6729,5844
2244.999251,6743,5844
2244.194796,6782,5825
2243.390209,6695,5819
2242.585489,6765,5779
2241.780636,6834,5853
2240.97565,6810,5840
2240.170532,6864,5867
2239.365281,6854,5854
2238.559896,6829,5796
2237.754379,6739,5749
2236.948729,6793,5814
2236.142946,6857,5823
2235.33703,6928,5875
2234.530981,6799,5791
2233.724799,6851,5798
2232.918484,6739,5769
2232.112035,6770,5805
2231.305454,6818,5852
2230.498739,6893,5922
2229.691891,6783,5818
2228.88491,6863,5859
2228.077796,6787,5787
2227.270548,6851,5905
2226.463167,6745,5834
2225.655653,6782,5811
2224.848005,6888,5883
2224.040224,6869,5850
2223.23231,6835,5863
2222.424262,6963,5936
2221.616081,6940,5839
2220.807766,6842,5893
2219.999318,6837,5826
2219.190736,6912,5917
2218.38202,6962,5878
2217.573171,6904,5849
2216.764188,6988,5927
2215.955072,7025,5910
2215.145822,6850,5958
2214.336438,6864,5863
2213.52692,6883,5886
2212.717269,6955,5872
2211.907484,7005,5958
2211.097565,6936,5914
2210.287512,7140,5927
2209.477325,7009,5884
2208.667005,6999,5873
2207.85655,6980,5851
2207.045961,6949,5937
2206.235239,6934,5869
2205.424382,6977,5912
2204.613392,6919,5898
2203.802267,6927,5945
2202.991008,6869,5884
2202.179615,7023,5909
2201.368088,6974,5909
2200.556426,6886,5856
2199.744631,6971,5934
2198.932701,6932,5891
2198.120637,6885,5885
2197.308438,6987,5958
2196.496105,7033,5914
2195.683638,6867,5905
2194.871037,6944,5932
2194.058301,6978,5995
2193.24543,6972,5977
2192.432425,6983,5930
2191.619286,6877,6049
2190.806012,6961,5979
