#Wave,#Intensity1,#Intensity2,#Intensity3
587.4573995,6322,5863,5753
588.5477715,6335,5840,5715
589.6379463,6271,5833,5777
590.727924,6281,5840,5727
591.8177047,6351,5836,5738
592.9072884,6307,5851,5803
593.9966751,6299,5841,5727
595.085865,6319,5799,5737
596.1748579,6335,5820,5792
597.2636541,6471,5895,5743
598.3522535,6305,5863,5737
599.4406563,6468,5870,5754
600.5288623,6349,5827,5676
601.6168717,6445,5865,5744
602.7046846,6306,5901,5726
603.7923009,6340,5888,5768
604.8797208,6357,5792,5743
605.9669443,6241,5840,5724
607.0539713,6340,5844,5718
608.1408021,6283,5869,5741
609.2274365,6365,5864,5742
610.3138748,6244,5857,5775
611.4001168,6274,5865,5692
612.4861627,6393,5908,5760
613.5720125,6356,5828,5771
614.6576662,6276,5778,5776
615.743124,6259,5840,5824
616.8283858,6356,5846,5838
617.9134517,6348,5921,5743
618.9983217,6281,5884,5747
620.082996,6334,5926,5773
621.1674744,6364,5860,5833
622.2517572,6363,5922,5737
623.3358443,6282,5890,5796
624.4197358,6419,5892,5841
625.5034317,6418,5962,5868
626.586932,6463,5828,5801
627.6702369,6502,5890,5775
628.7533464,6532,5801,5858
629.8362605,6279,5903,5774
630.9189792,6420,5966,5862
632.0015027,6468,5902,5822
633.0838309,6437,5967,5806
634.1659639,6465,5931,5804
635.2479018,6380,6004,5874
636.3296446,6392,5977,5851
637.4111923,6422,6004,5831
638.492545,6497,5976,5822
639.5737027,6480,5846,5853
640.6546656,6487,5908,5868
641.7354335,6455,5970,5871
642.8160067,6464,6032,5753
643.8963851,6484,5982,5876
644.9765687,6561,5972,5937
646.0565577,6349,5981,5915
647.136352,6508,5991,5951
648.2159518,6474,6004,5795
649.295357,6551,5926,5855
650.3745677,6476,6014,5832
651.453584,6472,6078,5923
652.5324059,6487,5902,5869
653.6110335,6439,6057,5917
654.6894667,6435,5989,5933
655.7677057,6474,5963,5945
656.8457504,6540,6033,5938
657.923601,6530,6003,5931
659.0012575,6369,5948,5900
660.07872,6554,5986,5941
661.1559884,6548,6011,5945
662.2330628,6650,5987,5956
663.3099433,6409,5974,5921
664.3866299,6513,6021,5910
665.4631227,6557,6016,5851
666.5394216,6499,6102,5840
667.6155269,6546,5993,5867
668.6914384,6593,5974,6015
669.7671563,6503,6003,5928
670.8426806,6425,5968,5932
671.9180114,6530,5999,5921
672.9931486,6430,5992,5851
674.0680924,6480,5998,5882
675.1428427,6483,5996,5884
676.2173997,6409,5978,5895
677.2917633,6410,5948,5845
678.3659337,6524,5942,5911
679.4399109,6393,6033,5885
680.5136948,6358,5975,5890
681.5872856,6399,5999,5916
682.6606834,6428,5940,5887
683.7338881,6460,6062,5887
684.8068997,6465,6041,6010
685.8797185,6439,6125,5905
686.9523443,6495,6037,5883
688.0247773,6530,5994,5952
689.0970174,6480,5977,5876
690.1690648,6487,6049,5973
691.2409195,6497,5849,5930
692.3125815,6491,6021,5941
693.3840508,6416,5978,5889
694.4553276,6425,5999,5948
695.5264119,6535,5966,5837
696.5973036,6513,6016,5940
697.6680029,6493,6023,5907
698.7385099,6536,5982,5897
699.8088244,6551,6058,6048
700.8789467,6518,6025,6043
