#Wave,#Intensity1,#Intensity2,#Intensity4
587.405392,10955,10756,9499
588.4959612,10927,10665,9585
589.5863331,10815,10631,9546
590.676508,11033,10820,9501
591.7664857,11031,10844,9583
592.8562664,11016,10930,9581
593.9458501,11001,10854,9562
595.0352368,11055,10757,9579
596.1244266,10935,10787,9612
597.2134196,11165,10921,9557
598.3022158,11097,10912,9765
599.3908152,11065,10905,9557
600.4792179,10955,10886,9627
601.567424,10943,10664,9620
602.6554334,10868,10883,9536
603.7432463,11091,10895,9663
604.8308626,11086,10801,9615
605.9182825,11026,10932,9570
607.005506,10940,10872,9544
608.092533,10822,10955,9570
609.1793638,11040,10882,9712
610.2659982,11082,10878,9628
611.3524364,11042,10812,9513
612.4386785,10919,10940,9655
613.5247244,11014,10943,9553
614.6105742,11005,10751,9613
615.6962279,11084,10849,9656
616.7816857,11131,10899,9615
617.8669475,11021,10974,9624
618.9520134,11012,10693,9639
620.0368834,10968,10941,9628
621.1215577,11091,11010,9661
622.2060361,11231,10924,9626
623.2903189,11226,11038,9782
624.374406,11007,10929,9619
625.4582975,11013,10926,9716
626.5419934,11154,10988,9781
627.6254937,11234,11064,9663
628.7087986,11098,10976,9686
629.7919081,11187,10977,9757
630.8748222,11143,10998,9691
631.9575409,11033,10982,9848
633.0400644,11212,11065,9684
634.1223926,11240,11092,9773
635.2045256,11232,11043,9800
636.2864635,11267,11159,9871
637.3682063,11243,11146,9985
638.449754,11251,11317,9943
639.5311067,11362,11170,9833
640.6122644,11355,11057,9890
641.6932273,11384,11093,9828
642.7739952,11396,11118,9900
643.8545684,11277,11070,9924
644.9349467,11383,11221,9875
646.0151304,11269,11244,9891
647.0951194,11454,11281,9985
648.1749137,11522,11276,9864
649.2545135,11269,11138,9943
650.3339187,11399,11307,9933
651.4131294,11349,11245,9917
652.4921457,11452,11279,10041
653.5709676,11389,11205,9844
654.6495951,11257,11171,9881
655.7280284,11408,11206,10001
656.8062674,11579,11234,9929
657.8843121,11442,11355,10008
658.9621627,11473,11344,10000
660.0398192,11508,11298,9929
661.1172816,11447,11320,9894
662.19455,11464,11282,10188
663.2716245,11339,11351,10049
664.348505,11516,11245,9923
665.4251916,11492,11277,9948
666.5016843,11437,11196,9925
667.5779833,11484,11334,9869
668.6540886,11461,11238,10031
669.7300001,11651,11246,10097
670.805718,11592,11232,10049
671.8812423,11465,11351,10036
672.956573,11355,11326,9936
674.0317103,11503,11371,9990
675.106654,11483,11209,9987
676.1814044,11640,11409,9955
677.2559614,11429,11197,9932
678.330325,11487,11275,10050
679.4044954,11316,11423,10018
680.4784725,11509,11440,9894
681.5522565,11398,11312,9994
682.6258473,11379,11418,9942
683.6992451,11422,11147,9944
684.7724497,11405,11224,9987
685.8454614,11494,11218,10184
686.9182802,11460,11326,9959
687.990906,11413,11236,9941
689.063339,11447,11257,10035
690.1355791,11592,11282,9932
691.2076265,11384,11156,9933
692.2794812,11536,11196,9964
693.3511432,11695,11345,9944
694.4226125,11580,11271,10054
695.4938893,11575,11241,10033
696.5649736,11570,11215,10094
697.6358653,11548,11344,9911
698.7065646,11715,11416,10151
699.7770715,11509,11308,10059
700.8473861,11789,11280,10133
701.9175084,11527,11422,10086
702.9874384,11523,11523,10216
704.0571762,11729,11407,10017
705.1267218,11655,11330,10084
706.1960753,11759,11423,10043
707.2652367,11578,11284,10052
708.3342061,11648,11463,10075
709.4029835,11680,11431,10145
710.471569,11740,11595,10204
711.5399626,11825,11425,10147
712.6081643,11749,11552,10151
713.6761743,11914,11418,10098
714.7439925,11643,11519,10233
715.811619,11618,11454,10177
716.8790538,11774,11536,10348
717.946297,11946,11570,10224
719.0133487,11865,11638,10223
720.0802088,11766,11652,10298
721.1468774,11764,11609,10204
722.2133546,12073,11639,10287
723.2796405,12024,11783,10353
724.345735,11873,11647,10329
725.4116381,11959,11593,10338
726.4773501,12059,11671,10263
727.5428708,11843,11779,10354
728.6082004,11928,11748,10229
729.6733389,11920,11828,10296
730.7382863,11798,11754,10453
731.8030427,11998,11723,10227
732.8676081,11819,11728,10480
733.9319826,12081,11711,10378
734.9961663,12000,11726,10437
736.060159,12115,11655,10510
737.123961,11894,11639,10436
738.1875723,11898,11698,10543
739.2509928,11955,11881,10446
740.3142227,11982,11915,10463
741.377262,11974,11758,10479
742.4401107,12057,11677,10389
743.5027689,12071,11734,10402
744.5652366,12088,11708,10585
745.6275139,12104,11671,10528
746.6896009,12116,11790,10461
747.7514974,11998,11692,10398
748.8132038,12005,11672,10366
749.8747198,12124,11724,10449
750.9360457,12001,11722,10460
751.9971814,12180,11929,10532
753.058127,12010,11716,10404
754.1188825,11954,11831,10457
755.179448,12016,11743,10295
756.2398236,11993,11703,10485
757.3000092,12002,11755,10404
758.3600049,12047,11744,10491
759.4198108,12068,11816,10462
760.479427,11947,11835,10418
761.5388533,12207,11866,10437
762.59809,12005,11757,10360
763.657137,12168,11805,10513
764.7159944,12076,11719,10353
765.7746623,11891,11699,10473
766.8331406,11811,11707,10508
767.8914295,11932,11836,10513
768.9495289,12070,11772,10577
770.0074389,12030,11906,10498
771.0651596,11762,11737,10406
772.122691,12059,11651,10320
773.1800332,11927,11702,10404
774.2371862,12039,11899,10487
775.29415,12106,11930,10538
776.3509247,12156,11966,10492
777.4075103,12011,11830,10378
778.4639069,12082,11826,10537
779.5201145,12010,11714,10539
780.5761332,12176,11893,10515
781.6319631,12162,11752,10515
782.687604,11988,11806,10450
783.7430562,11954,11702,10537
784.7983196,12179,11768,10616
785.8533943,12108,11995,10516
786.9082804,12263,11905,10549
787.9629778,12181,11840,10529
789.0174867,12065,11878,10571
790.071807,12122,11936,10569
791.1259389,12279,11914,10767
792.1798823,12335,12055,10635
793.2336373,12235,11982,10581
794.287204,12094,11930,10563
795.3405824,12145,11918,10671
796.3937725,12265,11975,10710
797.4467744,12227,12007,10698
798.4995882,12186,11952,10580
799.5522138,12272,12001,10806
800.6046513,12332,12132,10715
801.6569008,12387,11997,10518
802.7089623,12275,12014,10676
803.7608359,12324,11998,10906
804.8125216,12302,12119,10800
805.8640194,12392,12160,10868
806.9153294,12247,12090,10752
807.9664516,12271,12000,10833
809.0173861,12403,12078,10861
810.068133,12662,12363,10933
811.1186922,12572,12082,10767
812.1690638,12402,12129,10803
813.2192479,12391,12216,10887
814.2692445,12440,12240,10886
815.3190536,12457,12157,10832
816.3686753,12498,12118,10894
817.4181097,12415,12054,10782
818.4673567,12276,12246,10919
819.5164165,12549,12222,10856
820.565289,12548,12259,10857
821.6139743,12560,12228,10890
822.6624725,12629,12150,10806
823.7107836,12496,12296,10809
824.7589077,12494,12142,10852
825.8068447,12532,12337,10901
826.8545948,12548,12232,10858
827.902158,12545,12288,10923
828.9495342,12543,12171,10876
829.9967237,12569,12101,10883
831.0437263,12593,12079,10922
832.0905423,12520,12187,10931
833.1371715,12445,12044,10882
834.1836141,12448,12165,10938
835.22987,12528,12357,10914
836.2759394,12457,12193,10783
837.3218223,12613,12206,10758
838.3675187,12372,12217,11010
839.4130286,12557,12000,10820
840.4583522,12553,12278,10916
841.5034894,12469,12130,10808
842.5484404,12377,12110,10832
843.593205,12497,12022,10935
844.6377835,12455,12239,10948
845.6821758,12472,12114,10950
846.726382,12365,12153,10812
847.770402,12459,12217,10857
848.8142361,12472,12107,10854
849.8578842,12637,12189,10911
850.9013463,12481,12147,10875
851.9446225,12563,12192,10961
852.9877128,12436,12127,10941
854.0306174,12401,12090,10836
855.0733362,12532,12223,10748
856.1158692,12518,12205,10898
857.1582166,12515,12127,10987
858.2003783,12586,12225,10780
859.2423544,12549,12087,10983
860.284145,12369,12391,10959
861.32575,12584,12215,10819
862.3671696,12535,12335,10909
863.4084038,12472,12198,10939
864.4494526,12447,12278,10978
865.4903161,12437,12143,10914
866.5309943,12484,12126,10835
867.5714872,12570,12237,10936
868.611795,12616,12193,11009
869.6519176,12626,12291,11161
870.691855,12636,12331,11026
871.7316074,12629,12208,10879
872.7711748,12529,12152,10897
873.8105572,12709,12274,11019
874.8497547,12550,12431,10937
875.8887672,12740,12457,11043
876.9275949,12478,12281,11065
877.9662379,12705,12287,10964
879.004696,12643,12343,11094
880.0429694,12770,12235,10983
881.0810582,12638,12381,11072
882.1189623,12846,12338,11233
883.1566818,12757,12297,11118
884.1942168,12813,12387,11289
885.2315673,12815,12387,11166
886.2687333,12805,12391,11229
887.305715,12829,12365,11223
888.3425122,12901,12397,11232
889.3791251,12708,12483,11259
890.4155537,12770,12669,11218
891.4517981,12887,12637,11196
892.4878583,12874,12376,11152
893.5237344,13023,12561,11039
894.5594263,12600,12380,11130
895.5949342,12838,12457,11226
896.630258,12953,12520,11330
897.6653979,12994,12616,11420
898.7003538,13004,12487,11339
899.7351259,12822,12500,11231
900.7697141,12847,12532,11184
901.8041185,12949,12665,11184
902.8383391,12932,12493,11245
903.872376,12984,12688,11390
904.9062292,12869,12484,11384
905.9398988,12832,12581,11315
906.9733848,12796,12543,11163
908.0066873,12917,12519,11400
909.0398063,13061,12605,11324
910.0727418,13060,12620,11228
911.1054938,12957,12597,11103
912.1380626,12752,12579,11286
913.1704479,12869,12574,11216
914.20265,12836,12496,11207
915.2346689,12885,12577,11328
916.2665045,12958,12584,11295
917.298157,12952,12542,11208
918.3296264,12841,12447,11247
919.3609127,12849,12548,11202
920.392016,13047,12678,11179
921.4229363,12978,12491,11458
922.4536737,12923,12643,11311
923.4842282,12911,12389,11301
924.5145998,12925,12517,11244
925.5447886,12980,12543,11289
926.5747946,12966,12542,11261
927.6046179,12974,12673,11255
928.6342585,12869,12586,11177
929.6637165,12771,12405,11168
930.6929919,12834,12441,11261
931.7220847,12914,12363,11227
932.750995,12948,12670,11215
933.7797229,12954,12561,11230
934.8082683,12842,12573,11210
935.8366314,12768,12550,11297
936.8648121,12711,12602,11259
937.8928105,12805,12550,11131
938.9206266,12863,12766,11296
939.9482606,12825,12468,11123
940.9757123,12887,12386,11180
942.002982,12893,12627,11092
943.0300696,12869,12464,11093
944.0569751,12923,12605,11228
945.0836986,12992,12521,11281
946.1102402,12800,12494,11287
947.1365999,13012,12581,11338
948.1627777,12955,12460,11235
949.1887736,12846,12544,11345
