#Wave,#Intensity1,#Intensity2,#Intensity4,#Intensity17
548.0131718,10650,10485,9234,6335
549.1108717,10464,10361,9185,6225
550.2083726,10608,10465,9187,6273
551.3056746,10580,10512,9314,6140
552.4027778,10644,10389,9179,6312
553.4996823,10560,10483,9324,6258
554.596388,10564,10430,9211,6192
555.6928951,10657,10370,9237,6221
556.7892035,10616,10621,9228,6307
557.8853133,10733,10500,9278,6248
558.9812246,10700,10535,9212,6258
560.0769375,10531,10474,9344,6256
561.1724519,10639,10519,9266,6292
562.2677679,10735,10491,9244,6334
563.3628856,10676,10762,9437,6399
564.4578049,10841,10472,9400,6388
565.5525261,10766,10631,9560,6335
566.647049,10921,10631,9268,6372
567.7413738,10764,10584,9431,6433
568.8355005,10863,10503,9374,6364
569.9294292,10825,10752,9357,6461
571.0231598,10774,10741,9587,6301
572.1166925,10865,10714,9375,6303
573.2100273,10983,10784,9457,6331
574.3031643,10833,10806,9541,6313
575.3961034,10914,10890,9484,6383
576.4888447,10924,10642,9437,6355
577.5813884,10914,10729,9569,6492
578.6737344,10801,10667,9320,6423
579.7658827,10954,10647,9577,6430
580.8578335,10759,10728,9555,6402
581.9495868,10907,10876,9469,6521
583.0411426,11075,10897,9371,6462
584.132501,10933,10629,9602,6439
585.223662,10942,10713,9322,6399
586.3146257,10980,10793,9567,6377
587.405392,10955,10756,9499,6451
588.4959612,10927,10665,9585,6486
589.5863331,10815,10631,9546,6417
590.676508,11033,10820,9501,6600
591.7664857,11031,10844,9583,6301
592.8562664,11016,10930,9581,6467
593.9458501,11001,10854,9562,6472
595.0352368,11055,10757,9579,6453
596.1244266,10935,10787,9612,6425
597.2134196,11165,10921,9557,6510
598.3022158,11097,10912,9765,6457
599.3908152,11065,10905,9557,6516
600.4792179,10955,10886,9627,6587
601.567424,10943,10664,9620,6487
602.6554334,10868,10883,9536,6432
603.7432463,11091,10895,9663,6536
604.8308626,11086,10801,9615,6567
605.9182825,11026,10932,9570,6568
607.005506,10940,10872,9544,6568.750203
608.092533,10822,10955,9570,6569.500271
609.1793638,11040,10882,9712,6570.250203
610.2659982,11082,10878,9628,6571
611.3524364,11042,10812,9513,6468
612.4386785,10919,10940,9655,6628
613.5247244,11014,10943,9553,6469
614.6105742,11005,10751,9613,6582
615.6962279,11084,10849,9656,6628
616.7816857,11131,10899,9615,6470
617.8669475,11021,10974,9624,6643
618.9520134,11012,10693,9639,6598
620.0368834,10968,10941,9628,6564
621.1215577,11091,11010,9661,6551
622.2060361,11231,10924,9626,6671
623.2903189,11226,11038,9782,6541
624.374406,11007,10929,9619,6619
625.4582975,11013,10926,9716,6625
626.5419934,11154,10988,9781,6541
627.6254937,11234,11064,9663,6548
628.7087986,11098,10976,9686,6606
629.7919081,11187,10977,9757,6642
630.8748222,11143,10998,9691,6628
631.9575409,11033,10982,9848,6600
633.0400644,11212,11065,9684,6592
634.1223926,11240,11092,9773,6661
635.2045256,11232,11043,9800,6798
636.2864635,11267,11159,9871,6683
637.3682063,11243,11146,9985,6735
638.449754,11251,11317,9943,6737
639.5311067,11362,11170,9833,6675
640.6122644,11355,11057,9890,6658
641.6932273,11384,11093,9828,6689
642.7739952,11396,11118,9900,6712
643.8545684,11277,11070,9924,6752
644.9349467,11383,11221,9875,6680
646.0151304,11269,11244,9891,6796
647.0951194,11454,11281,9985,6698
648.1749137,11522,11276,9864,6642
649.2545135,11269,11138,9943,6934
650.3339187,11399,11307,9933,6719
651.4131294,11349,11245,9917,6778
652.4921457,11452,11279,10041,6704
653.5709676,11389,11205,9844,6727
654.6495951,11257,11171,9881,6764
655.7280284,11408,11206,10001,6778
656.8062674,11579,11234,9929,6787
657.8843121,11442,11355,10008,6758
658.9621627,11473,11344,10000,6912
660.0398192,11508,11298,9929,6846
661.1172816,11447,11320,9894,6803
662.19455,11464,11282,10188,6724
663.2716245,11339,11351,10049,6872
664.348505,11516,11245,9923,6896
665.4251916,11492,11277,9948,6743
666.5016843,11437,11196,9925,6864
667.5779833,11484,11334,9869,6724
668.6540886,11461,11238,10031,6828
669.7300001,11651,11246,10097,6863
670.805718,11592,11232,10049,6774
671.8812423,11465,11351,10036,6752
672.956573,11355,11326,9936,6741
674.0317103,11503,11371,9990,6855
675.106654,11483,11209,9987,6799
676.1814044,11640,11409,9955,6841
677.2559614,11429,11197,9932,6823
678.330325,11487,11275,10050,6735
679.4044954,11316,11423,10018,6844
680.4784725,11509,11440,9894,6882
681.5522565,11398,11312,9994,6851
682.6258473,11379,11418,9942,6741
683.6992451,11422,11147,9944,6747
684.7724497,11405,11224,9987,6813
685.8454614,11494,11218,10184,6799
686.9182802,11460,11326,9959,6819
687.990906,11413,11236,9941,6698
689.063339,11447,11257,10035,6723
690.1355791,11592,11282,9932,6853
691.2076265,11384,11156,9933,6761
692.2794812,11536,11196,9964,6832
693.3511432,11695,11345,9944,6816
694.4226125,11580,11271,10054,6912
695.4938893,11575,11241,10033,6702
696.5649736,11570,11215,10094,6837
697.6358653,11548,11344,9911,6716
698.7065646,11715,11416,10151,6901
699.7770715,11509,11308,10059,6845
700.8473861,11789,11280,10133,6803
701.9175084,11527,11422,10086,6940
702.9874384,11523,11523,10216,6779
704.0571762,11729,11407,10017,6898
705.1267218,11655,11330,10084,6875
706.1960753,11759,11423,10043,6771
707.2652367,11578,11284,10052,6874
708.3342061,11648,11463,10075,6882
709.4029835,11680,11431,10145,6942
710.471569,11740,11595,10204,7047
711.5399626,11825,11425,10147,6890
712.6081643,11749,11552,10151,7077
713.6761743,11914,11418,10098,6965
714.7439925,11643,11519,10233,7036
715.811619,11618,11454,10177,7042
716.8790538,11774,11536,10348,6915
717.946297,11946,11570,10224,7045
719.0133487,11865,11638,10223,7011
720.0802088,11766,11652,10298,7017
721.1468774,11764,11609,10204,6938
722.2133546,12073,11639,10287,7036
723.2796405,12024,11783,10353,7090
724.345735,11873,11647,10329,6983
725.4116381,11959,11593,10338,6999
726.4773501,12059,11671,10263,7083
727.5428708,11843,11779,10354,7046
728.6082004,11928,11748,10229,7163
729.6733389,11920,11828,10296,7060
730.7382863,11798,11754,10453,7137
731.8030427,11998,11723,10227,6964
732.8676081,11819,11728,10480,7113
733.9319826,12081,11711,10378,7046
734.9961663,12000,11726,10437,7023
736.060159,12115,11655,10510,7072
737.123961,11894,11639,10436,7080
738.1875723,11898,11698,10543,7155
739.2509928,11955,11881,10446,7151
740.3142227,11982,11915,10463,7165
741.377262,11974,11758,10479,7134
742.4401107,12057,11677,10389,7116
743.5027689,12071,11734,10402,7115
744.5652366,12088,11708,10585,7151
745.6275139,12104,11671,10528,7188
746.6896009,12116,11790,10461,7120
747.7514974,11998,11692,10398,7143
748.8132038,12005,11672,10366,7170
749.8747198,12124,11724,10449,7085
750.9360457,12001,11722,10460,7090
751.9971814,12180,11929,10532,7140
753.058127,12010,11716,10404,7136
754.1188825,11954,11831,10457,7202
755.179448,12016,11743,10295,7228
756.2398236,11993,11703,10485,7179
757.3000092,12002,11755,10404,7151
