Raman shift cm-1,blank_rep1_acc1_processed_intensity
-93.52472366,842.9168546497718
-87.74731628,60.24363658939911
-81.97888019,-74.21238211110776
-76.2193996,52.862258952272676
-70.46885874,9.499339268339996
-64.72724191,-84.39630560197647
-58.99453344,-114.93395998536351
-53.2707177,60.31591454407555
-47.55577911,96.55161189973123
-41.84970212,-0.4649992658907678
-36.15247124,351.5075825377661
-30.46407101,512.9976064771116
-24.78448602,233.60068094345917
-19.11370089,221.44234145911182
-13.45170028,95.65457746741436
-7.798468914,-219.78469240588845
-2.153991534,-25.291651262030385
3.481747071,127.6619061328451
9.10876207,10.570878108801196
14.72706859,125.02636775615059
20.33668173,-44.450187868796334
25.93761654,-107.89222624126788
31.52988803,241.82863966189728
37.11351116,110.21079992368337
42.68850089,-29.149919171404918
48.25487209,119.73723002323047
53.81263964,14.313286826618537
59.36181834,-182.00662900102805
64.90242299,-181.87373464317523
70.43446832,103.17772720500601
75.95796905,98.87686439359871
81.47293984,-162.47232175750642
86.97939533,127.94406483233782
92.47735012,269.9992700209887
97.96681875,-11.085513288452312
103.4478158,81.18856941992902
108.9203557,85.95228633556226
114.3844529,-89.63835477017955
119.8401218,282.274110522785
125.2873769,606.7456153899939
130.7262324,204.50186135976986
136.1567027,-165.20244068938757
141.5788021,48.91936242160012
146.9925448,259.37217109010896
152.397945,168.33140606287924
157.7950169,42.19792504501404
163.1837747,-8.66227818588656
168.5642323,229.69599738522257
173.936404,361.977683649884
179.3003038,24.989481899614503
184.6559456,38.51418837630891
190.0033435,378.60836579042245
195.3425114,310.22016157381626
200.6734632,42.169405832975116
205.9962128,-103.87570968242983
211.310774,-32.88681081790406
216.6171607,77.5452054831429
221.9153867,-24.63564408080373
227.2054656,-16.051912287169515
232.4874113,39.33182489457553
237.7612375,-11.949866225172652
243.0269577,105.20793333675849
248.2845856,70.64868565339928
253.5341349,-81.90885691115695
258.7756191,-13.691327004736152
264.0090518,40.85370985958517
269.2344464,168.08858145187867
274.4518165,213.33595088615508
279.6611755,-5.742524091963741
284.8625368,-99.79506685407587
290.0559139,-73.45169979975617
295.2413201,457.22215993282083
300.4187688,1575.393173240052
305.5882733,2481.6445449787825
310.7498468,3289.8938490283003
315.9035027,3910.117889260004
321.0492541,4009.975170649483
326.1871143,3990.4007989468014
331.3170964,3972.5051801808336
336.4392137,3966.70577081808
341.5534792,3821.029815568574
346.659906,3663.2815249447317
351.7585072,3586.1819311850827
356.8492959,3315.2832018225818
361.932285,3267.8585070868385
367.0074876,3227.3933958239722
372.0749167,3002.803692681813
377.1345851,2880.9058623261453
382.1865058,2516.7529002426486
387.2306918,2281.1109272941467
392.2671558,2192.190328262291
397.2959107,1889.379118470808
402.3169694,1787.4048165362965
407.3303446,1701.8162960133086
412.3360492,1403.1281258276285
417.3340958,1117.223554683053
422.3244971,994.6516650890576
427.307266,1023.5927929311001
432.2824151,1084.1592574314532
437.2499569,1193.8158519177578
442.2099043,906.3855507008539
447.1622697,435.96149351004397
452.1070657,472.0190016192828
457.044305,340.15009190328783
461.9740001,102.57084893965657
466.8961635,76.80340403276296
471.8108076,-130.04787092109018
476.717945,-15.469299149683593
481.6175882,149.41506046896757
486.5097495,85.5872187781265
491.3944414,124.33215736152624
496.2716763,-76.74649118161915
501.1414665,32.314789741062214
506.0038244,333.46180660042955
510.8587623,3.1096946055590706
515.7062925,-139.26648490724892
520.5464274,31.643231088639823
525.3791792,89.50796215330001
530.2045601,17.77009391531101
535.0225824,-189.39611270465502
539.8332583,20.06271146730569
544.6366,14.380090465226658
549.4326196,0.36324293581310485
554.2213293,518.6452993257567
559.0027413,99.66253114630672
563.7768676,-162.77314397583314
568.5437204,516.472065351807
573.3033118,348.58445245887697
578.0556537,10.500574632409553
582.8007583,262.2045946998401
587.5386375,225.87654561670752
592.2693034,0.861544833165226
596.9927679,71.35958890436495
601.7090431,216.2633571166557
606.4181409,31.606202558212317
611.1200732,-153.4937053797007
615.814852,114.04182214732555
620.5024891,201.09358505580713
625.1829965,60.16824571524785
629.8563859,377.11520439693686
634.5226693,392.19354315907503
639.1818586,38.36600734357489
643.8339654,4.496858458340284
648.4790017,-37.07656064922344
653.1169792,54.30643822301772
657.7479097,41.36993649341139
662.3718049,-225.8500468571965
666.9886767,-167.59221647104232
671.5985366,32.38638936824759
676.2013965,89.1721373596888
680.7972681,14.229943801704849
685.386163,3.8633552444116503
689.9680928,-8.361785674388784
694.5430693,25.339215074657886
699.1111041,197.3609139743255
703.6722088,113.87800476039774
708.226395,74.76839239341211
712.7736744,205.05723485235308
