Raman shift cm-1,4ATP_1mM_rep3_acc5_processed_intensity
-93.47115107,561.2455216144145
-87.69374369,28.631813485551852
-81.9253076,-52.631821126634094
-76.16582701,89.92362962727579
-70.41528615,80.7360432036771
-64.67366933,-95.36487653411743
-58.94096086,-128.05432810207284
-53.21714512,-44.80607874844439
-47.50220652,-45.060944628829056
-41.79612954,3.348001080160266
-36.09889866,117.88605983279348
-30.41049843,153.3358909419107
-24.73091343,86.97379158703754
-19.0601283,51.72546684221669
-13.39812769,29.868832158366487
-7.744896327,-80.935347411618
-2.100418946,-49.079562329283675
3.535319659,30.34966182926528
9.162334658,-25.692458404255973
14.78064118,-3.4343091718798533
20.39025432,-45.629021090645175
25.99118913,-35.2379184635693
31.58346061,122.89127947076886
37.16708375,80.94956333551217
42.74207347,33.12074860193727
48.30844468,-8.26126377008029
53.86621222,-77.12490583856311
59.41539093,-52.46255041992541
64.95599558,-88.48768549040476
70.48804091,80.99543381376935
76.01154164,161.8857155829976
81.52651243,-129.68979710570542
87.03296792,16.72025218263249
92.5309227,278.2287166000857
98.02039134,22.9286984286145
103.5013884,-13.653757099179472
108.9739282,109.5281841494651
114.4380255,-28.646352605003734
119.8936944,107.62840125649092
125.3409495,287.2074740865728
130.779805,62.68005053171618
136.2102753,-115.90381667725259
141.6323747,-45.510476276125736
147.0461174,31.439067622265213
152.4515176,-7.706045360620031
157.8485895,-49.92961753905528
163.2373472,-87.49715405070359
168.6178049,-28.233897392661802
173.9899766,155.45753281797596
179.3538764,103.37894520212207
184.7095182,11.431868261977655
190.0569161,97.91037678877098
195.396084,55.85276907550882
200.7270358,-3.9264102213132617
206.0497854,-6.060799934357114
211.3643466,-40.56709825312145
216.6707333,-13.362233983682266
221.9689593,-12.802521588815644
227.2590382,0.026962482750853667
232.5409839,12.029815763464022
237.8148101,9.133648438190704
243.0805303,64.91822185550923
248.3381582,-48.51593490579158
253.5877075,-74.04705413399867
258.8291917,103.86273167532565
264.0626244,30.91819964490894
269.288019,-29.31659435878003
274.5053891,38.348937642438855
279.7147481,-105.82199517903211
284.9161094,-160.3912185120687
290.1094865,79.82757419641925
295.2948927,1025.9726696369246
300.4723414,3530.806795471777
305.6418459,7105.191678683363
310.8034194,10362.341848050002
315.9570752,12346.75132867471
321.1028267,13127.555225695978
326.2406869,13591.193399644542
331.370669,13833.84279764253
