Raman shift cm-1,4ATP_100pM_rep1_acc5_processed_intensity
-93.47115107,687.9991703759315
-87.69374369,173.52814473952793
-81.9253076,8.637534340246418
-76.16582701,80.4874279480519
-70.41528615,98.28829724709101
-64.67366933,16.531989670637664
-58.94096086,-52.862565260652744
-53.21714512,-49.48072922819816
-47.50220652,42.144939465215145
-41.79612954,181.72293466843556
-36.09889866,251.7527397243208
-30.41049843,195.05489806633759
-24.73091343,99.51049272755486
-19.0601283,48.229889008334766
-13.39812769,10.406957205176496
-7.744896327,-22.139068935035056
-2.100418946,17.50347739786821
3.535319659,92.96809522426442
9.162334658,81.35495425555095
14.78064118,6.660360485898181
20.39025432,13.313554196086457
25.99118913,119.00376450340674
31.58346061,181.72868179577665
37.16708375,124.11795775646668
42.74207347,40.078933337667635
48.30844468,6.939455685939966
53.86621222,-32.582044747663545
59.41539093,-87.66158323081457
64.95599558,-61.62843860522058
70.48804091,20.039447949529926
76.01154164,33.156534701017904
81.52651243,20.330166096776033
87.03296792,80.35827559948996
92.5309227,133.5095747213778
98.02039134,97.22208396356716
103.5013884,27.00236528208444
108.9739282,-16.128350664989128
114.4380255,29.410764792074843
119.8936944,186.5887275846763
125.3409495,276.32704296045057
130.779805,147.04867397983813
136.2102753,-12.010365809212592
141.6323747,23.365136126314354
147.0461174,135.11603514012478
152.4515176,109.139327182924
157.8485895,-12.979901768550203
163.2373472,-39.59385569874206
168.6178049,78.08775047119518
173.9899766,191.57803375620196
179.3538764,192.71911179062118
184.7095182,166.09810427026466
190.0569161,191.0152501035172
195.396084,197.34740222948992
200.7270358,136.3720444004843
206.0497854,70.94612498391663
211.3643466,44.05343787370648
216.6707333,23.357995443740762
221.9689593,-11.874927932431437
227.2590382,-29.007140356299473
232.5409839,-8.29556661311224
237.8148101,19.18546005926207
243.0805303,19.74889653865677
248.3381582,6.007945713940536
253.5877075,26.95702816437626
258.8291917,91.18511168982533
264.0626244,142.30363188502542
269.288019,151.4352288640897
274.5053891,123.63518287379146
279.7147481,31.258418568575614
284.9161094,-95.10559009880848
290.1094865,-114.81426797671958
295.2948927,5.6391796649692765
300.4723414,86.92904625936147
305.6418459,44.18185292564934
310.8034194,71.86212455614688
315.9570752,278.0422489846072
321.1028267,445.7808978944074
326.2406869,400.2329811037502
331.370669,261.8327290120274
336.4927863,189.74122276164553
341.6070517,186.73061930129484
346.7134786,182.45889298135126
351.8120798,124.69125317146728
356.9028684,38.960130027030004
361.9858576,10.058188969224943
367.0610602,44.83083102364867
372.1284892,79.6132058595158
377.1881577,138.18094390640863
382.2400784,305.5874401055212
387.2842644,546.2886202265552
392.3207284,715.0292780667855
397.3494833,733.8297380077835
402.370542,608.4017417956013
407.3839172,374.8575216805654
412.3896217,144.92223190211575
417.3876683,24.231689872635513
422.3780697,-7.554053870746827
427.3608386,6.298481374055257
432.3359876,75.7392916891875
437.3035295,149.8235938182699
442.2634769,125.59559067178247
447.2158423,24.829348767452842
452.1606383,-41.21573973791135
457.0978776,-55.29202562634339
462.0275727,-40.383488051515855
466.9497361,28.23529278267185
471.8643802,121.3419833357014
476.7715176,181.6496018670406
481.6711608,247.8612839629171
486.5633221,333.1732367829426
491.448014,349.2228905585321
496.3252488,328.7204383413956
501.195039,388.90318204547594
506.0573969,404.45090785011195
510.9123349,214.53608699238492
515.7598651,38.63918290189203
520.6,107.48034235068864
525.4327518,213.02908231476454
530.2581327,131.79665067348344
535.076155,12.95617639020017
539.8868309,29.710804561158184
544.6901726,120.51501634350777
549.4861922,158.7672818610166
554.2749019,76.06285565401816
559.0563139,-46.56139645434765
563.8304402,-18.76525265156056
568.597293,111.02273530887447
573.3568844,105.32239472336599
578.1092263,4.81768275818218
582.8543308,0.17552480102238377
587.5922101,34.85453939167958
592.322876,6.53126562788357
597.0463405,-19.408218691701663
601.7626157,-25.828043610394047
606.4717135,-60.25700597881892
611.1736458,-52.820841286758565
615.8684246,40.111712246778666
620.5560617,92.41449029105272
625.2365691,47.19598080781924
629.9099585,25.65802847046848
634.5762419,70.22512673410256
639.2354312,82.48413520142265
643.887538,32.551245919182406
648.5325743,-6.657003318098759
653.1705518,-1.4889782287381195
657.8014823,0.36835211563033
662.4253775,-22.430429341149306
667.0422493,-16.000786869104218
671.6521092,29.515923216926012
676.2549691,47.269450116675955
680.8508407,16.34478138282111
685.4397355,-21.103583843214324
690.0216654,-35.45877357866388
694.5966419,-23.94481737758565
699.1646767,0.01287647381124657
703.7257814,25.665873125938305
708.2799676,63.134835844036616
712.827247,100.43512654572464
717.367631,80.02721285668898
721.9011314,4.641088519067438
726.4277595,-4.580279898862358
730.9475271,101.09337113081068
735.4604456,189.4056808382952
739.9665264,181.89964634021052
744.4657813,158.63659530844325
748.9582215,147.92449806017441
753.4438587,89.22941812564507
757.9227042,1.2263184303531176
762.3947696,-16.656423230815875
766.8600662,81.01356195972508
771.3186056,228.5959149161303
775.770399,307.25502322089744
780.215458,240.53047850092247
784.6537939,69.55519646778518
789.0854181,-42.01313370092746
793.510342,18.6366718971737
797.9285769,148.85585091828997
802.3401342,191.37389176981378
806.7450253,149.65545253588954
811.1432614,90.99993286263508
815.5348538,22.654136129270334
819.9198139,-26.189311116760212
824.2981531,-4.755617561323525
828.6698824,39.73757825018779
833.0350133,29.912761302343092
837.393557,-2.1827542208025754
841.7455248,2.1578623967359185
846.0909278,18.021157397592596
850.4297774,8.65850934433418
854.7620848,-19.436123376845615
859.0878611,-44.81068786430993
863.4071176,-1.9791017750819684
867.7198655,171.14930112379216
872.026116,350.59274629839337
876.3258802,336.8432095016113
880.6191693,213.73447755808624
884.9059946,196.20486319874823
889.186367,199.50066259524732
893.4602979,77.61191368274243
897.7277982,6.198520954984186
901.9888793,115.87357670541431
906.2435521,175.14617828224377
910.4918277,33.44965104434569
914.7337174,-85.44935469244606
918.9692321,9.643011164011625
923.1983831,186.3161871865589
927.4211813,252.45456989463833
931.6376378,214.46653056924163
935.8477637,177.91770036840973
940.0515701,158.01523760215548
944.249068,96.46718364131358
948.4402684,22.659295215138158
952.6251825,40.6696663980879
956.8038212,144.79317393712995
960.9761955,209.18716040467592
965.1423166,172.9331213975932
969.3021953,113.49209769352557
973.4558427,114.54858771635935
977.6032699,153.10758069017567
981.7444877,158.02164927630037
985.8795072,115.23751500152198
990.0083394,68.57364366902829
994.1309953,35.877990090303726
998.2474857,-6.827751041411922
1002.357822,-45.48532547271486
1006.462014,-19.498066620797886
1010.560075,96.56498046469929
1014.652013,234.405103025018
1018.737841,267.89380094349235
1022.81757,188.48655491683732
1026.891209,160.36347699077388
1030.958771,237.70316020268078
1035.020266,242.20524939769697
1039.075705,110.3990797716046
1043.1251,38.04250645268793
1047.16846,108.56310226253242
1051.205797,138.3418636774272
1055.237121,15.492248991350952
1059.262444,-96.13255315487505
1063.281777,41.95232340199932
1067.295131,451.818560618311
1071.302515,893.5180958650046
1075.303942,1135.9002073320798
1079.299422,1138.7437892998696
1083.288966,941.8062829910369
1087.272585,606.5264035437809
1091.250289,257.6551362115047
1095.222091,25.350924976888834
1099.187999,-40.17023510251659
1103.148026,-4.630305464420772
1107.102183,17.25376538620266
1111.050479,2.209100481754348
1114.992927,6.147730294623813
1118.929536,20.41934070863452
1122.860318,-6.079637931925234
1126.785283,9.122165622623164
1130.704443,231.81725529630552
1134.617808,607.0098249968019
1138.52539,836.5793311099108
1142.427198,770.136164509195
1146.323244,599.3365818276584
1150.213538,521.1928603154262
1154.098093,448.2952258475357
1157.976917,291.4231391337196
1161.850023,209.7106878159473
1165.717421,306.09135722952936
1169.579121,420.97402103641383
1173.435135,394.77118768112564
1177.285474,302.5878992500206
1181.130148,323.5625808069347
1184.969169,435.6138705255862
1188.802547,439.05092364142956
1192.630292,301.270104241273
1196.452416,174.1316824824297
1200.26893,99.22556741990607
1204.079844,5.120860332584776
1207.88517,-76.84881536103276
1211.684917,-26.16163096285191
1215.479098,142.47988331260873
1219.267722,220.4757311211152
1223.050801,114.99334404715977
1226.828346,13.152231171201365
1230.600366,29.445133744534246
1234.366874,49.24325157230178
1238.12788,43.81707664992097
1241.883395,99.38274351120295
1245.633429,149.10792029816238
1249.377994,79.87771029619829
1253.1171,-10.770693276320323
1256.850759,10.521533422315244
1260.578981,77.73807899722631
1264.301776,74.85987157412974
1268.019157,-1.3844360111075593
1271.731133,-61.05588992474186
1275.437715,13.843556075648022
1279.138915,180.70764759014497
1282.834743,199.37331288501778
1286.52521,15.779385392562311
1290.210328,-98.85853373017439
1293.890106,-12.321075398978202
1297.564555,70.3949494133372
1301.233688,38.077806344235555
1304.897514,39.48550874518588
1308.556044,108.0242337358574
1312.209289,88.39137659812866
1315.857261,-2.5697718363556135
1319.499969,34.1407903191934
1323.137425,211.16661404166933
1326.769641,336.5046857762552
1330.396626,331.7960455129752
1334.018391,286.0709133724937
1337.634948,258.53221831383
1341.246307,209.94163225753792
1344.85248,94.8380283084029
1348.453477,-40.24158444420013
1352.049309,-67.44508276546753
1355.639987,49.83772224695548
1359.225522,153.5228509412756
1362.805925,114.57917058903345
1366.381207,29.635369612339872
1369.951379,28.152416184663224
1373.516452,90.94107687523882
1377.076436,153.2488250607606
1380.631343,209.29614044994517
1384.181184,277.0461531786528
1387.725969,329.4572365319339
1391.26571,330.594167896046
1394.800417,319.75070553207763
1398.330102,336.7847226743076
1401.854776,325.7714791510446
1405.374448,216.41890028394818
1408.889132,41.66770428091354
1412.398837,-55.707382081462626
1415.903574,16.69571559007241
1419.403355,161.75381811653017
1422.89819,265.98098339382886
1426.388091,351.2006546166507
1429.873069,407.4326405758432
1433.353134,377.8134788884282
1436.828298,312.16080885436116
1440.298571,249.11679762738015
1443.763965,126.77211874800658
1447.224491,-24.100743044948683
1450.68016,-66.25766666805974
1454.130983,15.13141370314613
1457.576971,101.16713615922157
1461.018135,116.09761260038019
1464.454486,73.95662386726087
1467.886036,22.879494714908127
1471.312794,6.34159922741031
1474.734774,38.94395321028083
1478.151985,89.02089190314774
1481.564439,86.13644843920781
1484.972146,12.269758979812003
1488.375119,-32.64673595647642
1491.773368,24.672587536331285
