Wavelength,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
341.627339126167,-4.705421792282761,-132.12776656055306,11.234841415734664,2.1101996019888674,-52.30785654227732
346.733765937444,-43.18125677873171,39.46024308273269,-12.032378863107766,134.19870677394113,-25.79379299489213
351.832367152647,-16.8191522730678,59.09438774265274,1.1814575718713982,241.82180190118518,7.035931828408081
356.923155819479,4.455522168862011,10.413003433628504,44.088572142674096,259.5088378224311,27.257969050651425
362.006144959822,21.350938328968567,-11.001386265672956,113.1180685641725,214.9169467934232,27.89020733181141
367.081347569912,22.507176411291866,5.009458738623451,194.7243586947709,225.96003282160112,28.405091295069383
372.148776620548,35.78116556203054,55.41595396468749,261.3403506627262,337.9390062397132,64.89885440256438
377.208445057238,205.9641556920197,167.60736434008885,382.5881034847394,535.1678398215935,192.44077271298104
382.260365800428,486.84245186315945,428.75098461339536,648.2736887425051,804.2595214740662,422.8924442703664
387.304551745658,719.226525791035,791.7617932120979,925.4466551996393,1038.233343352636,643.6363539438818
392.341015763761,802.7515284306716,860.0564345827135,975.2883021935368,1062.260690684397,697.5751542296208
397.369770701036,636.3424132491033,540.4749240514622,790.3950567585492,860.598132219173,560.4795420433336
402.390829379441,350.13112253693646,313.02676583755476,554.9109680408678,611.7613402607041,354.514848164259
407.404204596762,181.3606766817743,237.93563665031078,387.5092524203899,456.78995867311846,190.49603976585473
412.409909126805,105.31691437530066,116.18725094833401,296.31148091181507,366.7750344349465,83.66995545433221
417.407955719567,52.15916482649189,40.61807125997029,236.1244004099127,256.76484211261027,16.414003495337226
422.398357101434,-3.3537896804565275,-14.289042771362858,161.18259990258244,137.37310255137967,-7.114266521104568
427.381125975327,-63.68335797651368,-43.70258267272597,109.41349534135846,108.00234746062408,11.251783029961885
432.356275020917,33.751920592857644,63.945807733514286,137.19768334296626,196.07964120705526,38.99927556605404
437.32381689477,168.47651607677312,186.39628865322464,172.9934198929393,273.24464948585904,43.879383558280864
442.283764230553,24.117350249445657,97.75008546670077,125.13925881467283,223.01424705149867,26.241704284349225
447.236129639179,-100.29222941627995,-36.88583576957151,41.716576208109785,93.45386500303964,2.3313675585986147
452.18092570901,35.241770163745194,7.2467133946029385,-3.0986119135860264,-7.277088285815964,-24.026870778775343
457.118165006017,35.205384611514084,-50.47443507386895,2.155993884657832,-27.92505615654733,-45.43255012326058
462.047860073961,-81.92514540021368,-111.74673851526067,62.53314844118988,27.78241495442029,-32.216218919944424
466.970023434547,-29.46547625293706,24.753438285244876,134.39592464042573,98.83881210564925,30.290578188595326
471.884667587632,35.55047140143425,30.49675988405464,164.06350634220175,132.56450267902886,117.14686804904147
476.791805011364,106.5246569875381,88.21086967952832,214.84414548625378,167.36880734994998,201.48278608702276
481.691448162363,263.00465329930216,291.5252741772306,336.7730882723083,241.96160309022707,271.266193327104
486.583609475902,313.4916881154608,291.26365975132603,420.1331128791344,306.12851484145517,305.12469467225765
491.46830136606,251.61602624776648,235.32894925267323,361.6017314657602,308.889803447532,287.0010869859591
496.345536225905,189.73503429045212,170.3476801722186,239.66419909104732,280.83411473723515,242.16756185735338
501.215326427657,135.47925476463107,50.055614976977985,194.81447289373966,262.656250071781,209.80914022581646
506.077684322854,104.70743904300271,48.46162490942979,215.1557193973976,230.63286943000566,183.88142340153456
510.932622242522,56.98842976454642,20.818688867549632,190.2332788129336,168.24166041595421,137.13205204710013
515.78015249734,17.82962900137914,-39.17420462584175,130.39706608159804,121.02874263271778,96.18529744897855
520.6202873778,44.04888858778051,18.503588883722664,130.52824664864167,113.59567649966593,111.25379796294294
525.453039154387,8.488316161548507,31.85275673375597,170.07328097858263,109.24433580127624,157.79481578124728
530.27842007773,-50.066391044920714,-2.078894745062004,162.79486501111415,75.01892615044099,158.44321625004545
535.09644237877,44.87332828176724,15.901336777146415,127.56595131774924,25.420183415514444,93.05074941880082
539.907118268929,82.96858785481066,-0.11325567188779218,134.76262975510474,19.553689449784088,22.662140166218933
544.710459940263,-19.449942911586426,-1.9088126966166854,175.48059773103114,105.19571371482431,17.869156629698608
549.506479565627,101.92174813045526,120.68950792973325,179.18103990167978,206.39190355537977,77.00143265649749
554.29518929884,248.28743094021524,140.1610328920408,101.98934105704905,163.72632851238632,113.861793638538
559.076601274846,-4.751080479707717,-81.0879111633567,3.6449621608076654,-4.38890398314151,64.68309903868641
