Wavelength,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
757.9429916,9.57809,-65.4159,22.7039,33.75652,-16.31775,-8.591345382,-38.69898427,-9.051234772,-12.86776245,-51.02378785
762.415057,-75.04562,10.77399,-78.49622,-12.77332,-115.34617,-86.59399911,-48.85992058,-4.017778353,4.152815433,-53.92159102
766.8803536,2.38493,-74.56631,27.99542,-17.61627,-15.95086,41.15398489,2.764382584,101.9391774,76.9616942,28.56433137
771.3388929,83.74921,96.7878,109.37762,32.66925,32.80259,249.075482,207.2257253,207.8562157,152.7620179,109.4646247
775.7906864,30.20537,-37.11185,-21.82647,-33.17168,-36.38379,191.9079401,158.2799156,184.298913,123.9365376,98.48531979
780.2357454,-19.2352,54.81399,37.57145,5.06087,-4.72214,-5.86548666,-9.577263485,102.5061211,27.33116899,30.30658803
784.6740813,-27.27015,-7.84893,133.35595,23.64476,14.20457,-36.90182259,10.89709423,75.41349605,11.06231719,1.214912351
789.1057055,29.65314,12.4079,-24.04571,0.78997,11.88633,104.5351998,27.18394835,82.96765395,86.36585677,29.14194971
793.5306294,177.83053,51.60167,-43.53165,104.99515,33.68032,256.7666605,124.3721025,76.43325799,117.9729974,61.54334184
797.9488643,196.12389,186.62348,24.38143,22.89703,7.27377,236.953065,198.3221397,56.13072812,73.24844392,75.61978201
802.3604216,93.79801,45.39324,-18.33489,13.90833,65.98935,101.809777,22.6504671,47.17965611,80.45187735,90.02694048
806.7653126,117.13426,-6.6036,40.52386,216.71087,155.02801,112.8052692,-30.32147915,75.02117201,161.7677613,99.17392467
811.1635487,113.61566,61.59792,52.18706,135.01263,38.95341,158.1331761,46.65473129,121.785695,151.7119122,73.27444762
815.5551412,5.99006,-30.9348,45.86836,-53.10999,-50.9325,40.59185598,45.96650307,145.4844743,12.60828854,22.5131109
819.9401013,34.20088,228.53767,139.52829,-47.93432,25.09356,-3.178348638,61.79008355,134.6744348,-62.28585223,-7.344519886
824.3184404,151.95203,4.38969,87.83799,56.09731,42.44952,112.6791856,29.70461415,88.53689031,16.01281494,-4.602711307
828.6901698,119.38844,35.12452,-3.5996,134.89704,14.14061,103.9888468,-41.24414223,18.28352448,95.97426683,1.385429116
833.0553007,-29.50731,-84.65233,-61.15608,51.89615,-22.14015,-33.16970142,-112.3727605,-24.93538756,65.29395844,-7.059722833
837.4138444,-7.01631,-78.61481,-18.21503,3.3554,17.45375,-46.4353413,-107.807597,-13.39818242,0.512302749,-20.74222625
841.7658122,102.01217,115.51677,97.56699,85.63876,71.23489,24.47292753,6.326555222,15.21090656,-14.34966617,-26.55269733
846.1112152,27.55634,54.16333,-4.62631,28.84093,-26.03632,18.88546939,24.81930707,36.97804489,0.638400503,-18.64613355
850.4500648,-36.34566,-39.42563,-19.83159,-55.5344,-21.3029,3.179795321,4.136516091,64.35635239,9.96662346,-1.795092032
854.7823722,-5.18862,31.63096,47.58086,-33.69637,0.10673,56.72348965,39.409092,79.86140739,3.530597951,12.002082
